id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|488|vc|2|2|322,0,0,-1.17983e-09,0,0,0,0,0,0,-6.35714e-12,0,0,0,0,False,69.0|322,488
8|488|vc|3|2|322,0,0,2.71802e-09,0,0,0,0,0,0,2.89582e-11,0,0,0,0,False,69.0|322,488
8|488|vc|4|2|322,0,0,-2.22606e-10,0,0,0,0,0,0,-1.33351e-10,0,0,0,0,False,69.0|322,488
8|488|vc|5|2|322,0,0,2.58831e-09,0,0,0,0,0,0,-3.29845e-11,0,0,0,0,False,69.0|322,488
8|488|vc|6|2|322,0,0,-1.55588e-09,0,0,0,0,0,0,2.41784e-11,0,0,0,0,False,69.0|322,488
8|488|vc|7|2|322,0,0,4.92485e-10,0,0,0,0,0,0,-2.81328e-11,0,0,0,0,False,69.0|322,488
8|488|vc|8|2|322,0,0,9.07119e-10,0,0,0,0,0,0,1.37996e-11,0,0,0,0,False,69.0|322,488
8|847|cc|1|1|69,0,0,-1.06959e-09,0,0,0,0,0,0,-1.183e-11,0,0,0,0,False,69.0|69,847
8|847|cc|2|1|69,0,0,-4.49161e-10,0,0,0,0,0,0,3.85774e-11,0,0,0,0,False,69.0|69,847
8|847|cc|3|1|69,0,0,9.59039e-10,0,0,0,0,0,0,-1.89777e-11,0,0,0,0,False,69.0|69,847
8|847|cc|4|1|69,0,0,-3.77042e-10,0,0,0,0,0,0,-1.1449e-11,0,0,0,0,False,69.0|69,847
8|847|cc|5|1|69,0,0,-2.05919e-09,0,0,0,0,0,0,1.64514e-11,0,0,0,0,False,69.0|69,847
8|847|cc|6|1|69,0,0,-2.15918e-09,0,0,0,0,0,0,3.86065e-11,0,0,0,0,False,69.0|69,847
