rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,8|1159|8|1159|sample|12|292|12|292|28.0,83947.1,769.308,0.159,122,0.27368,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,83947.1,769.308,0.159,85.8855,0.27368,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,83947.1,769.308,0.159,14.859,0.27368,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,83947.1,768.947,0.159,5.74356,0.27368,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,83947.1,768.947,0.159,942489,0.27368,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,83947.1,766.631,0.159001,2.42608,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,83947.1,766.631,0.159,409988,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,83947.1,766.631,0.159,0.00260762,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,83947.1,766.631,0.159001,0.0712575,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,83947.1,766.631,0.159,0.313993,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,83947.1,766.631,0.159001,0.00164088,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,83947.1,766.631,0.159001,0.000110689,0.27368,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,83947.1,766.631,0.159,1.30835e-06,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,83947.1,766.631,0.159,6.49038e-06,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,83947.1,766.631,0.159,6.89688e+07,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,83947.1,766.631,0.159001,0.0159101,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,83947.1,766.631,0.159,22.1144,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,83947.1,766.631,0.159,2.16773e-05,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,83947.1,766.631,0.159,0.00209281,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,83947.1,766.631,0.159,574.12,0.27368,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,83947.1,766.631,0.159,0.000197776,0.27368,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,83947.1,769.305,0.159,0.0110364,0.273709,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,83947.1,769.305,0.159,0.0129321,0.273709,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,83947.1,769.305,0.159,0.00193559,0.273709,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,83947.1,769.305,0.159,0.0407396,0.273709,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,83947.1,769.244,0.159,0.00304852,0.273709,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,83947.1,769.244,0.159,9.82446e-05,0.273709,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,83947.1,769.244,0.159,0.000297536,0.273709,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,83947.1,769.4,0.159,0.000103359,0.273709,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,83947.1,769.4,0.159001,0.0915205,0.273709,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,83947.1,769.244,0.159,9.52624e-06,0.273709,True,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,83947.1,766.479,0.159001,61.1234,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,83947.1,766.479,0.159,0.55487,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,83947.1,766.479,0.159,0.357085,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,83947.1,766.479,0.159,0.00287178,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,83947.1,766.479,0.159,10055.5,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,83947.1,766.479,0.159,4.78781e-06,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,83947.1,766.479,0.159,652.282,0.273709,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,83947.1,766.479,0.159,15.1003,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,83947.1,766.479,0.159,172740,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,83947.1,766.479,0.159,3.99215,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,83947.1,766.479,0.159,0.0592373,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,83947.1,766.479,0.159,1.13094,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,83947.1,766.479,0.159,0.0134037,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,83947.1,766.479,0.159,27.2087,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,83947.1,766.479,0.159,2.27813e-07,0.273709,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,83947.1,766.479,0.159,2.43023e-05,0.273709,False,69.0|103,1197
