id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|488|vc|5|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|6|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|7|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|488|vc|8|2|322,1316.65,2.03438,0.0464924,93.315,0.069159,0.0451147,1316.65,2.03438,0.0464924,93.315,0.0691593,0.0451154,False,69.0|322,488
8|847|cc|1|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|2|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|3|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|4|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|5|1|69,1316.65,0.868667,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|6|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|7|1|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|cc|8|1|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|sample|10|69,1316.65,0.833203,0.0464877,93.3138,0.0691594,0.250107,1316.65,0.833202,0.0464877,93.3137,0.0691597,0.250108,True,32.0|69,847
8|847|sample|11|69,1316.65,1.30113,0.046491,93.3138,0.0691594,0.250107,1316.65,1.30113,0.046491,93.3137,0.0691597,0.250108,True,22.0|69,847
8|847|sample|12|69,1316.65,1.30113,0.046491,93.3138,0.0691594,0.250107,1316.65,1.30113,0.046491,93.3137,0.0691597,0.250108,True,22.0|69,847
8|847|sample|3|69,1316.65,4.71779,0.0464907,93.3138,0.0691594,0.250107,1316.65,4.71779,0.0464907,93.3137,0.0691597,0.250108,True,55.0|69,847
8|847|sample|4|69,1316.65,4.71779,0.0464907,93.3138,0.0691594,0.250107,1316.65,4.71779,0.0464907,93.3137,0.0691597,0.250108,True,55.0|69,847
8|847|sample|5|69,1316.65,4.71779,0.0464907,93.3138,0.0691594,0.250107,1316.65,4.71779,0.0464907,93.3137,0.0691597,0.250108,True,55.0|69,847
8|847|sample|6|69,1316.65,4.71779,0.0464907,93.3138,0.0691594,0.250107,1316.65,4.71779,0.0464907,93.3137,0.0691597,0.250108,True,55.0|69,847
8|847|sample|7|69,1316.65,0.833203,0.0464877,93.3138,0.0691594,0.250107,1316.65,0.833202,0.0464877,93.3137,0.0691597,0.250108,True,32.0|69,847
8|847|sample|8|69,1316.65,0.833202,0.0464877,93.3138,0.0691594,0.250107,1316.65,0.833202,0.0464877,93.3137,0.0691597,0.250108,True,32.0|69,847
8|847|sample|9|69,1316.65,0.833202,0.0464877,93.3138,0.0691594,0.250107,1316.65,0.833202,0.0464877,93.3137,0.0691597,0.250108,True,32.0|69,847
8|847|vc|1|2|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|2|2|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|3|2|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|4|2|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|5|2|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|6|2|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|7|2|69,1316.65,0.868666,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|847|vc|8|2|69,1316.65,0.868665,0.0464928,93.315,0.0691594,0.250107,1316.65,0.868665,0.0464928,93.315,0.0691597,0.250108,False,69.0|69,847
8|474|cc|1|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|2|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|3|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|4|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|5|1|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|6|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|7|1|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|cc|8|1|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|sample|10|276,1316.65,0.668766,0.0477145,93.3138,0.0109341,0.250114,1316.65,0.668765,0.0477145,93.3137,0.0109341,0.250115,True,32.0|276,474
8|474|sample|11|276,1316.65,0.950936,0.0464891,93.3138,0.0109341,0.250114,1316.65,0.950936,0.046489,93.3137,0.0109341,0.250115,True,22.0|276,474
8|474|sample|12|276,1316.65,0.950935,0.0464891,93.3138,0.0109341,0.250114,1316.65,0.950936,0.046489,93.3137,0.0109341,0.250115,True,22.0|276,474
8|474|sample|3|276,1316.65,1.57907,0.0464879,93.3138,0.0109341,0.250114,1316.65,1.57907,0.0464878,93.3137,0.0109341,0.250115,True,55.0|276,474
8|474|sample|4|276,1316.65,1.57907,0.0464879,93.3138,0.0109341,0.250114,1316.65,1.57907,0.0464878,93.3137,0.0109341,0.250115,True,55.0|276,474
8|474|sample|5|276,1316.65,1.57907,0.0464879,93.3138,0.0109341,0.250114,1316.65,1.57907,0.0464878,93.3137,0.0109341,0.250115,True,55.0|276,474
8|474|sample|6|276,1316.65,1.57907,0.0464879,93.3138,0.0109341,0.250114,1316.65,1.57907,0.0464878,93.3137,0.0109341,0.250115,True,55.0|276,474
8|474|sample|7|276,1316.65,0.668766,0.0477145,93.3138,0.0109341,0.250114,1316.65,0.668765,0.0477145,93.3137,0.0109341,0.250115,True,32.0|276,474
8|474|sample|8|276,1316.65,0.668766,0.0477145,93.3138,0.0109341,0.250114,1316.65,0.668765,0.0477145,93.3137,0.0109341,0.250115,True,32.0|276,474
8|474|sample|9|276,1316.65,0.668766,0.0477145,93.3138,0.0109341,0.250114,1316.65,0.668765,0.0477145,93.3137,0.0109341,0.250115,True,32.0|276,474
8|474|vc|1|2|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|2|2|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|3|2|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|4|2|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|5|2|276,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|6|2|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|7|2|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|474|vc|8|2|276,1316.65,0.698118,0.0464944,93.315,0.0109341,0.250114,1316.65,0.698117,0.0464944,93.315,0.0109341,0.250115,False,69.0|276,474
8|462|cc|1|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|2|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|3|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|4|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|5|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|6|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
8|462|cc|7|1|292,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,1316.65,2.57694,0.0464945,93.315,0.115494,0.250105,False,69.0|292,462
