rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|847|sample|10|69,663.948,0.719998,0.22557,18.7133,0.313129,1.38112,True,32.0|69,847
1,8|847|sample|11|69,663.948,0.719998,0.0332132,18.7133,0.313129,1.38112,True,22.0|69,847
1,8|847|sample|12|69,663.948,0.719998,0.0332135,18.7133,0.313129,1.38112,True,22.0|69,847
1,8|847|sample|3|69,663.948,0.719998,0.00176754,18.7133,0.313129,1.38112,True,55.0|69,847
1,8|847|sample|4|69,663.948,0.719998,0.00176749,18.7133,0.313129,1.38112,True,55.0|69,847
1,8|847|sample|5|69,663.948,0.719998,0.00176752,18.7133,0.313129,1.38112,True,55.0|69,847
1,8|847|sample|6|69,663.948,0.719998,0.00176752,18.7133,0.313129,1.38112,True,55.0|69,847
1,8|847|sample|7|69,663.948,0.719998,0.225568,18.7133,0.313129,1.38112,True,32.0|69,847
1,8|847|sample|8|69,663.948,0.719998,0.225569,18.7133,0.313129,1.38112,True,32.0|69,847
1,8|847|sample|9|69,663.948,0.719998,0.225569,18.7133,0.313129,1.38112,True,32.0|69,847
1,8|847|vc|1|2|69,663.948,0.719995,0.0450891,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|2|2|69,663.948,0.719995,0.0450878,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|3|2|69,663.948,0.719995,0.0450879,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|4|2|69,663.948,0.719995,0.0450876,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|5|2|69,663.948,0.719995,0.0450882,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|6|2|69,663.948,0.719995,0.0450875,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|7|2|69,663.948,0.719995,0.0450876,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|847|vc|8|2|69,663.948,0.719995,0.045087,18.7119,0.313129,1.38112,False,69.0|69,847
1,8|474|cc|1|1|276,663.948,0.719995,0.0147598,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|2|1|276,663.948,0.719995,0.0147599,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|3|1|276,663.948,0.719995,0.0147599,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|4|1|276,663.948,0.719995,0.0147598,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|5|1|276,663.948,0.719995,0.0147595,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|6|1|276,663.948,0.719995,0.0147597,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|7|1|276,663.948,0.719995,0.0147594,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|cc|8|1|276,663.948,0.719995,0.0147593,18.7119,-0.0995742,2.26257,False,69.0|276,474
1,8|474|sample|10|276,663.948,0.719998,0.679989,18.7133,-0.0995742,2.26257,True,32.0|276,474
1,8|474|sample|11|276,663.948,0.719998,0.128281,18.7133,-0.0995742,2.26257,True,22.0|276,474
1,8|474|sample|12|276,663.948,0.719998,0.128278,18.7133,-0.0995742,2.26257,True,22.0|276,474
1,8|474|sample|3|276,663.948,0.719998,0.0174756,18.7133,-0.0995742,2.26257,True,55.0|276,474
1,8|474|sample|4|276,663.948,0.719998,0.0174756,18.7133,-0.0995742,2.26257,True,55.0|276,474
1,8|474|sample|5|276,663.948,0.719998,0.0174756,18.7133,-0.0995742,2.26257,True,55.0|276,474
1,8|474|sample|6|276,663.948,0.719998,0.0174752,18.7133,-0.0995742,2.26257,True,55.0|276,474
1,8|474|sample|7|276,663.948,0.719998,0.679991,18.7133,-0.0995742,2.26257,True,32.0|276,474
1,8|474|sample|8|276,663.948,0.719998,0.679997,18.7133,-0.0995742,2.26257,True,32.0|276,474
