rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|75|vc|1|2|65,1,0.00456901,1.95535,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|2|2|65,1,0.00456901,2.18914,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|3|2|65,1,0.00456901,1.63172,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|4|2|65,1,0.00456901,2.11811,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|5|2|65,1,0.00456901,1.55244,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|6|2|65,1,0.00456901,2.41144,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|7|2|65,1,0.00456901,2.54395,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|75|vc|8|2|65,1,0.00456901,1.66076,0.00242611,1450.9,0.229299,0.000113731,False,69.0|65,75
1,8|291|cc|1|1|103,1,0.00456901,1.9066,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|2|1|103,1,0.00456901,1.43726,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|3|1|103,1,0.00456901,2.14014,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|4|1|103,1,0.00456901,1.51506,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|5|1|103,1,0.00456901,2.03675,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|6|1|103,1,0.00456901,1.51672,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|7|1|103,1,0.00456901,2.93986,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|cc|8|1|103,1,0.00456901,2.11506,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|sample|10|103,1,0.00456887,0.900826,0.0099531,1450.9,0.229261,0.000113735,True,32.0|103,291
1,8|291|sample|11|103,1,0.00456887,1.23594,0.0820802,1450.9,0.229261,0.000113735,True,22.0|103,291
1,8|291|sample|12|103,1,0.00456887,1.46063,0.0820802,1450.9,0.229261,0.000113735,True,22.0|103,291
1,8|291|sample|3|103,1,0.00456887,1.34247,0.00242608,1450.9,0.229261,0.000113735,True,55.0|103,291
1,8|291|sample|4|103,1,0.00456887,1.30243,0.00242608,1450.9,0.229261,0.000113735,True,55.0|103,291
1,8|291|sample|5|103,1,0.00456887,1.22102,0.00242608,1450.9,0.229261,0.000113735,True,55.0|103,291
1,8|291|sample|6|103,1,0.00456887,1.17158,0.00242608,1450.9,0.229261,0.000113735,True,55.0|103,291
1,8|291|sample|7|103,1,0.00456887,0.947597,0.0099531,1450.9,0.229261,0.000113735,True,32.0|103,291
1,8|291|sample|8|103,1,0.00456887,0.985444,0.0099531,1450.9,0.229261,0.000113735,True,32.0|103,291
1,8|291|sample|9|103,1,0.00456887,0.928843,0.0099531,1450.9,0.229261,0.000113735,True,32.0|103,291
1,8|291|vc|1|2|103,1,0.00456901,1.49522,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|2|2|103,1,0.00456901,1.59661,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|3|2|103,1,0.00456901,1.02836,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|4|2|103,1,0.00456901,2.87776,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|5|2|103,1,0.00456901,1.76821,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|6|2|103,1,0.00456901,2.16682,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|7|2|103,1,0.00456901,1.83059,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|291|vc|8|2|103,1,0.00456901,1.81652,0.00242612,1450.9,0.229261,0.000113735,False,69.0|103,291
1,8|77|cc|1|1|218,1,0.00456901,2.44342,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|2|1|218,1,0.00456901,2.13055,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|3|1|218,1,0.00456901,2.43268,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|4|1|218,1,0.00456901,1.68715,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|5|1|218,1,0.00456901,3.02247,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|6|1|218,1,0.00456901,2.58681,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|7|1|218,1,0.00456901,1.92345,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|cc|8|1|218,1,0.00456901,2.08366,0.00242611,1450.9,0.17992,0.000113733,False,69.0|218,77
1,8|77|sample|10|218,1,0.00456887,1.01302,0.00242569,1450.9,0.17992,0.000113733,True,32.0|218,77
1,8|77|sample|11|218,1,0.00456887,0.842755,0.00242609,1450.9,0.17992,0.000113733,True,22.0|218,77
1,8|77|sample|12|218,1,0.00456887,0.821226,0.00242609,1450.9,0.17992,0.000113733,True,22.0|218,77
1,8|77|sample|3|218,1,0.00456887,0.650777,0.00242604,1450.9,0.17992,0.000113733,True,55.0|218,77
1,8|77|sample|4|218,1,0.00456887,0.64863,0.00242604,1450.9,0.17992,0.000113733,True,55.0|218,77
1,8|77|sample|5|218,1,0.00456887,0.687483,0.00242604,1450.9,0.17992,0.000113733,True,55.0|218,77
