rep,id,eta_U,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|291|vc|6|2|103,0,0,0,-1.54915,0,0,0,False,69.0|103,291
1,8|291|vc|7|2|103,0,0,0,0.0817113,0,0,0,False,69.0|103,291
1,8|291|vc|8|2|103,0,0,0,2.45489,0,0,0,False,69.0|103,291
1,8|77|cc|1|1|218,0,0,0,-2.3192,0,0,0,False,69.0|218,77
1,8|77|cc|2|1|218,0,0,0,0.714221,0,0,0,False,69.0|218,77
1,8|77|cc|3|1|218,0,0,0,-1.10782,0,0,0,False,69.0|218,77
1,8|77|cc|4|1|218,0,0,0,3.53733,0,0,0,False,69.0|218,77
1,8|77|cc|5|1|218,0,0,0,-0.118376,0,0,0,False,69.0|218,77
1,8|77|cc|6|1|218,0,0,0,-5.06311,0,0,0,False,69.0|218,77
1,8|77|cc|7|1|218,0,0,0,-1.46574,0,0,0,False,69.0|218,77
1,8|77|cc|8|1|218,0,0,0,2.95057,0,0,0,False,69.0|218,77
1,8|77|sample|10|218,0,0,0,-0.722063,0,0,0,True,32.0|218,77
1,8|77|sample|11|218,0,0,0,1.24154,0,0,0,True,22.0|218,77
1,8|77|sample|12|218,0,0,0,1.24815,0,0,0,True,22.0|218,77
1,8|77|sample|3|218,0,0,0,3.41606,0,0,0,True,55.0|218,77
1,8|77|sample|4|218,0,0,0,3.58258,0,0,0,True,55.0|218,77
1,8|77|sample|5|218,0,0,0,3.10648,0,0,0,True,55.0|218,77
1,8|77|sample|6|218,0,0,0,3.17415,0,0,0,True,55.0|218,77
1,8|77|sample|7|218,0,0,0,-1.12876,0,0,0,True,32.0|218,77
1,8|77|sample|8|218,0,0,0,-1.56335,0,0,0,True,32.0|218,77
1,8|77|sample|9|218,0,0,0,-0.954641,0,0,0,True,32.0|218,77
1,8|77|vc|1|2|218,0,0,0,0.91854,0,0,0,False,69.0|218,77
1,8|77|vc|2|2|218,0,0,0,-0.357626,0,0,0,False,69.0|218,77
1,8|77|vc|3|2|218,0,0,0,-0.636736,0,0,0,False,69.0|218,77
1,8|77|vc|4|2|218,0,0,0,2.49844,0,0,0,False,69.0|218,77
1,8|77|vc|5|2|218,0,0,0,-0.411559,0,0,0,False,69.0|218,77
1,8|77|vc|6|2|218,0,0,0,-0.899506,0,0,0,False,69.0|218,77
1,8|77|vc|7|2|218,0,0,0,-1.34269,0,0,0,False,69.0|218,77
1,8|77|vc|8|2|218,0,0,0,-0.676653,0,0,0,False,69.0|218,77
1,8|322|cc|1|1|174,0,0,0,-2.67167,0,0,0,False,69.0|174,322
1,8|322|cc|2|1|174,0,0,0,3.75599,0,0,0,False,69.0|174,322
1,8|322|cc|3|1|174,0,0,0,4.27841,0,0,0,False,69.0|174,322
1,8|322|cc|4|1|174,0,0,0,-0.00725464,0,0,0,False,69.0|174,322
1,8|322|cc|5|1|174,0,0,0,-0.13127,0,0,0,False,69.0|174,322
1,8|322|cc|6|1|174,0,0,0,1.98223,0,0,0,False,69.0|174,322
1,8|322|cc|7|1|174,0,0,0,0.114705,0,0,0,False,69.0|174,322
1,8|322|cc|8|1|174,0,0,0,4.889,0,0,0,False,69.0|174,322
1,8|322|sample|10|174,0,0,0,2.65074,0,0,0,True,32.0|174,322
