id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
8|1056|8|1056|cc|5|1|276|1|276|69.0,0.0303325,5.26244e-09,0,-0.289651,-4.03578e-07,8.21565e-15,0,3.60823e-07,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,-0.00409993,-7.6753e-10,0,-0.230834,-1.19951e-07,-4.44089e-16,0,4.16982e-07,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,-0.133114,-3.69959e-09,0,0.00815554,-2.53664e-07,3.55271e-15,0,-2.51559e-07,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0.0688885,-3.47566e-09,0,0.0589967,7.05652e-08,5.32907e-15,0,1.68137e-07,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.232329,2.38409e-09,0,-0.251122,-6.24069e-08,-1.9762e-14,0,4.51808e-07,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.0964597,6.85453e-09,0,-0.286571,-2.3864e-07,-4.88498e-15,0,-8.25421e-07,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,-0.0135732,-2.77953e-09,0,-0.0127498,1.45451e-07,-3.77476e-15,0,6.70462e-08,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,-0.197744,4.06838e-09,0,-0.536065,-1.15581e-07,-3.55271e-15,0,-1.63517e-07,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,-0.0828643,4.7375e-10,0,-0.0601563,2.21783e-07,-8.88178e-16,0,-3.06285e-07,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0.117952,3.12555e-09,0,-0.328878,2.14257e-07,-1.02141e-14,0,-3.29249e-07,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,-0.14613,2.18784e-09,0,-0.0268641,-1.5391e-07,0,0,-5.93725e-08,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,-0.00156672,-1.03156e-08,0,-0.176326,-4.56269e-08,1.11022e-14,0,-3.79403e-07,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,3.14555,-9.26218e-09,0,-0.0766417,3.10856,-8.62643e-14,0,0.00294022,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,3.39127,5.97301e-09,0,-0.301051,3.37042,3.10862e-14,0,0.00182894,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,3.14499,-2.00068e-09,0,0.372522,3.15057,1.75082e-13,0,0.000136652,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,3.35467,7.99779e-09,0,0.293047,3.28393,1.49214e-13,0,0.000289925,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,-1.52957,4.29497e-11,0,-0.734129,-1.54841,-3.4861e-14,0,-0.0129566,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,-1.55599,1.02762e-08,0,-0.0752988,-1.54601,-1.10134e-13,0,-0.00493337,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,-1.41353,3.19089e-09,0,-0.213677,-1.40991,-4.18554e-14,0,0.035091,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,-1.35262,4.44113e-09,0,-0.234959,-1.38146,2.22045e-15,0,-0.0162001,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,0.345836,1.28796e-09,0,0.00895357,0.335829,-9.68114e-14,0,0.0412791,22.0|292,462
