rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|394|14|394|cc|6|1|42|1|42|69.0,0,4.27533e-08,0.0825721,-54.7125,0,0,False,69.0|42,394
1,14|394|14|394|cc|7|1|42|1|42|69.0,0,-3.9239e-08,-0.0453703,14.4565,0,0,False,69.0|42,394
1,14|394|14|394|cc|8|1|42|1|42|69.0,0,2.10197e-08,-0.057302,25.1632,0,0,False,69.0|42,394
1,14|394|14|394|vc|1|2|42|2|42|69.0,0,3.47244e-08,-0.157326,-4.11227,0,0,False,69.0|42,394
1,14|394|14|394|vc|2|2|42|2|42|69.0,0,2.63212e-08,-0.0374508,31.9949,0,0,False,69.0|42,394
1,14|394|14|394|vc|3|2|42|2|42|69.0,0,-1.36085e-08,0.017251,-3.67906,0,0,False,69.0|42,394
1,14|394|14|394|vc|4|2|42|2|42|69.0,0,-1.65563e-08,-0.114699,15.0192,0,0,False,69.0|42,394
1,14|394|14|394|vc|5|2|42|2|42|69.0,0,7.42057e-09,0.00910155,-7.08849,0,0,False,69.0|42,394
1,14|394|14|394|vc|6|2|42|2|42|69.0,0,-2.04366e-08,-0.0773529,5.03438,0,0,False,69.0|42,394
1,14|394|14|394|vc|7|2|42|2|42|69.0,0,3.3036e-08,-0.136692,20.881,0,0,False,69.0|42,394
1,14|394|14|394|vc|8|2|42|2|42|69.0,0,-6.00298e-08,-0.0668902,-19.181,0,0,False,69.0|42,394
1,14|1099|14|1099|sample|3|73|3|73|6.0,0,1.82343e-08,0.088624,-19.2267,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|4|73|4|73|6.0,0,-7.7805e-09,0.0608205,-42.5501,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|5|73|5|73|6.0,0,-3.1513e-08,-0.0145845,-16.3484,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|6|73|6|73|6.0,0,1.19253e-08,-0.0117465,-34.7031,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|8|73|8|73|6.0,0,-8.95579e-09,0.0155664,-15.6991,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|7|73|7|73|6.0,0,4.88964e-08,-0.0542055,-11.3331,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|9|73|9|73|6.0,0,2.17458e-08,-0.0628412,-11.5078,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|10|73|10|73|6.0,0,7.89825e-08,0.0371458,-9.52162,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|11|73|11|73|6.0,0,-4.86785e-08,-0.00239611,-67.1547,0,0,True,6.0|73,1099
1,14|1099|14|1099|sample|12|73|12|73|6.0,0,4.80974e-08,0.124077,-19.973,0,0,True,6.0|73,1099
