rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,8|152|8|152|vc|1|2|322|2|322|69.0,-1.61381e-08,0,-1.3909e-08,6.94928e-07,-14.6988,0,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,5.60249e-09,0,6.50631e-08,1.38668e-08,6.12199,0,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,3.27855e-08,0,-4.87727e-08,2.46973e-07,30.9688,0,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,3.58123e-08,0,-5.35521e-09,-6.63923e-07,5.03244,0,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,1.68176e-07,0,-6.00501e-08,1.51585e-07,-20.7445,0,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,-3.9392e-08,0,5.21038e-08,4.41175e-07,8.80857,0,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,-9.00473e-08,0,3.9927e-08,6.86925e-07,28.2775,0,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,-1.01863e-09,0,2.99058e-08,-7.25992e-07,-3.61628,0,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,-1.10362e-07,0,-5.43576e-08,1.40862e-07,-4.05545,0,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,-8.86939e-08,0,-7.1539e-08,7.13151e-08,-3.36046,0,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,9.41945e-08,0,6.50731e-08,-1.58238e-07,-2.94131,0,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,-7.82165e-08,0,-6.86013e-08,-5.51669e-07,-2.81921,0,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,-6.0274e-08,0,-1.49089e-08,-1.05297e-06,-5.44073,0,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,-7.48987e-08,0,-1.37241e-07,-9.3792e-09,-8.52082,0,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,3.31784e-09,0,3.64976e-08,1.28759e-07,-2.44169,0,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,-5.19212e-08,0,6.07447e-08,-5.06316e-07,-8.68065,0,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,-7.69942e-08,0,2.44179e-08,-6.38683e-07,23.1706,0,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,5.35365e-08,0,-1.46286e-08,-6.89049e-08,-1.33912,0,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,-1.48008e-07,0,2.34136e-09,1.45413e-07,-27.1097,0,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,9.27539e-08,0,2.7892e-08,-2.79507e-07,-19.2767,0,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,-8.90577e-09,0,-7.41242e-08,3.52109e-07,-15.9335,0,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,2.30939e-08,0,-1.16917e-07,-1.3591e-07,-32.0146,0,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,-6.27188e-08,0,7.61371e-08,-2.43757e-07,16.7686,0,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,1.9063e-08,0,3.79773e-08,-6.41084e-07,11.0105,0,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,-7.90169e-09,0,-1.52652e-10,-2.6313e-07,-29.0393,0,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,1.14305e-07,0,-9.19206e-08,6.15325e-08,12.6956,0,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,-1.05065e-07,0,7.52968e-08,2.14061e-07,-6.67067,0,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,-7.65431e-08,0,1.29039e-07,-3.53838e-07,9.81165,0,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,3.7835e-09,0,-3.2094e-08,-2.10296e-07,9.39548,0,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,-8.8985e-08,0,-4.40903e-08,-2.02737e-07,21.6399,0,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,1.03319e-09,0,-3.21641e-08,3.55832e-07,25.8242,0,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,-1.054e-07,0,-8.8073e-08,1.87395e-07,8.2784,0,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,1.89408e-07,0,4.16251e-08,6.93914e-07,-11.1132,0,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,-1.69675e-08,0,-6.59679e-08,-4.05349e-08,-34.4811,0,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,2.15368e-08,0,-4.9614e-08,-8.74621e-08,-16.8208,0,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,-9.26666e-08,0,-3.9657e-08,3.37188e-07,-12.3024,0,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,-4.31028e-08,0,3.96137e-08,2.18552e-07,-12.4126,0,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,7.53207e-08,0,9.99054e-09,-3.56984e-08,-10.406,0,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,-6.74481e-08,0,3.54681e-08,-1.999e-07,-21.5539,0,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,8.40082e-08,0,2.5382e-08,-5.59683e-07,-12.2988,0,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,1.67754e-07,0,-9.8954e-08,-1.75048e-07,-13.0661,0,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,-8.49104e-08,0,6.99386e-08,3.32073e-08,-13.9608,0,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,-3.0137e-08,0,4.27462e-08,-2.43465e-07,-5.13165,0,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,-9.30304e-08,0,3.17626e-08,3.20459e-07,-19.9957,0,True,28.0|103,1197
