id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
8|1159|8|1159|vc|3|2|292|2|292|69.0,5.14832e-10,-2.51577e-09,-0.0318489,1.13705e-09,-0.564943,0,1.45519e-11,-4.54747e-13,9.9363e-06,2.25736e-13,2.75175e-05,0,False,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,-2.13491e-09,-2.78692e-09,0.0627393,-1.33269e-08,-0.146606,0,0,0,9.88378e-09,-6.01741e-14,-1.42831e-06,0,False,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,7.47546e-10,-2.23279e-11,-0.0360362,-9.59499e-09,0.265116,0,1.45519e-11,-2.6148e-12,0.00112341,-4.59638e-10,0.261072,0,False,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,-4.3922e-10,6.37754e-10,-0.015002,-3.29056e-08,0.0462872,0,-1.45519e-11,2.47837e-11,-0.0147654,8.70855e-11,0.047711,0,False,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,5.29762e-10,-1.83351e-09,0.0153932,1.28647e-08,-0.146238,0,-1.45519e-11,-2.60343e-11,0.0155599,-1.30539e-10,0.00462369,0,False,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,-3.05644e-09,7.56041e-10,-0.00872869,1.95355e-08,-0.283116,0,-7.27596e-12,2.6148e-12,2.90258e-05,-7.57203e-12,0.00185888,0,False,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,1.65212e-09,-1.20933e-09,-0.0677983,-2.27225e-08,-3.45981,0,0,0,-0.000322693,5.78554e-12,-4.81123,0,True,65.0|103,1197
8|1197|8|1197|sample|8|103|8|103|65.0,3.95036e-09,1.50952e-09,-0.00318423,-5.25896e-08,-3.40892,0,0,0,-0.000306947,5.55669e-12,-4.54663,0,True,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,-3.98098e-09,2.96645e-09,0.0684797,-4.30678e-08,-0.0902771,0,0,0,-0.00011669,4.00138e-12,-1.72715,0,True,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,1.84985e-09,-5.36499e-10,-0.0512154,-1.6171e-08,0.835099,0,0,0,-8.85485e-05,3.45921e-12,-0.754612,0,True,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,-1.25707e-09,-5.79067e-10,0.000512984,-1.73932e-08,-7.80894,0,0,0,0.000504255,7.86535e-12,-8.51022,0,True,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,-8.26811e-10,1.5562e-09,0.0476701,1.25787e-09,-2.64799,0,0,0,-0.000225959,4.96991e-12,-3.92044,0,True,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,1.20302e-09,-7.55579e-10,0.0234913,2.05584e-08,-1.60233,0,0,-2.72848e-12,0.00968001,-7.55201e-11,-3.07276,0,True,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,6.591e-10,2.32957e-09,0.110281,-5.48411e-08,-1.63121,0,-1.45519e-11,6.13909e-12,0.00354409,4.49865e-12,-2.77326,0,True,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,5.72472e-10,-1.30114e-09,0.052506,-2.53594e-08,-1.84186,0,0,0,-0.000189595,4.79519e-12,-2.83502,0,True,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,-1.41261e-09,-4.48724e-09,-0.0234639,4.85038e-08,-6.3444,0,2.18279e-11,-7.27596e-12,-0.0217005,1.19187e-10,-7.23338,0,True,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,-5.15924e-10,3.99395e-09,0.042347,-1.35e-08,0.0694794,0,0,0,1.09342e-07,1.59595e-14,-3.17479e-07,0,False,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,2.12371e-09,-2.45475e-09,-0.0161829,-4.70819e-08,-0.168329,0,1.45519e-11,2.04636e-12,-0.0166156,-3.52996e-11,-0.166881,0,False,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,2.89525e-10,2.41511e-09,0.0301052,7.22901e-09,0.26455,0,0,0,-3.62987e-08,2.96985e-15,-3.90421e-07,0,False,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,-1.18338e-09,4.23988e-10,0.0480985,-1.28537e-08,0.0547181,0,1.45519e-11,-2.20552e-11,0.000483865,4.80973e-11,0.0739645,0,False,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,-1.99929e-10,-1.58185e-10,0.0410271,4.7855e-08,0.237796,0,0,0,-7.43992e-08,-3.90521e-14,3.55692e-07,0,False,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,2.79848e-10,1.04681e-09,0.0494504,1.48023e-08,0.138816,0,-1.45519e-11,-9.77707e-12,0.00562337,3.9039e-11,0.221083,0,False,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,4.21288e-09,-1.46026e-09,0.0687404,4.41396e-08,0.0268282,0,7.27596e-12,-4.09273e-12,0.000242641,-2.80209e-11,0.0447758,0,False,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,5.17524e-10,-2.65135e-09,-0.0249981,2.02647e-09,0.0613102,0,7.27596e-12,-1.02318e-12,3.46891e-05,6.93369e-11,0.0616649,0,False,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,3.04412e-10,-5.00343e-10,0.0233583,-4.8071e-09,-0.247441,0,7.27596e-12,-9.32232e-12,0.000160253,4.73776e-11,0.000733766,0,False,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,-2.60261e-10,-2.39577e-09,0.0617455,-1.16644e-08,-0.316387,0,0,0,-4.74626e-08,1.34059e-14,7.95507e-08,0,False,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,1.71245e-09,-2.34297e-09,0.00662846,1.91489e-08,0.172052,0,-7.27596e-12,-3.63798e-12,0.0111621,3.47591e-11,0.0235418,0,False,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,-1.4448e-09,1.26024e-09,0.0329844,-3.7551e-08,0.146713,0,-1.45519e-11,2.27374e-12,0.000804901,-1.11636e-10,-0.0118866,0,False,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,-2.05055e-09,-8.78659e-10,-0.0100043,2.91489e-08,-0.0481543,0,0,0,6.52401e-08,-7.49401e-16,-9.45065e-08,0,False,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,-2.78372e-09,-2.74352e-10,-0.0284823,-9.29039e-09,0.0609698,0,0,0,3.8227e-08,9.57567e-15,-7.18033e-08,0,False,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,-7.93589e-10,1.44226e-09,0.00860239,-3.38269e-08,0.0231024,0,0,1.93268e-12,0.0086127,-2.8149e-11,0.0235103,0,False,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,-1.9728e-09,-2.68643e-09,-0.0557889,-1.6497e-08,0.256995,0,1.45519e-11,-2.95586e-12,-2.94883e-06,-6.30798e-12,6.66363e-05,0,False,69.0|103,1197
