rep,id,eta_U,eta_L,eta_h,eta_f,eta_alpha,goes_down,mab_virus,run_id
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,0,9.22538e-08,4.27846e-08,-3.22774,0,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,0,3.83625e-08,2.84904e-08,-2.32995,0,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0,-1.41049e-08,-3.15644e-09,2.33119,0,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0,2.96283e-08,-4.36465e-08,-2.20708,0,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0,-2.30342e-08,2.14161e-08,2.99428,0,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0,2.80575e-08,-8.7297e-08,0.843975,0,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,0,2.98381e-08,4.73049e-08,-0.63333,0,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0,1.12584e-08,2.59065e-08,-3.55614,0,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,0,-3.46131e-08,2.60244e-08,-1.77802,0,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0,-7.10622e-09,-1.13295e-07,-0.125058,0,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0,-3.1329e-08,2.51521e-08,-0.364149,0,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0,1.68773e-08,-1.01276e-07,-3.92617,0,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,0,4.80533e-08,4.66341e-08,-2.06271,0,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0,8.74707e-10,-7.90168e-08,-0.177104,0,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,0,-3.2829e-08,-5.13167e-08,-2.35944,0,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,0,-4.19207e-08,2.84184e-09,-0.120159,0,False,69.0|103,1197
