rep,id,eta_L_gap,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|1042|8|1042|cc|2|1|162|1|162|69.0,-0.160955,-2.46987e-09,1.73177,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|3|1|162|1|162|69.0,0.403759,2.6601e-09,2.53098,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|4|1|162|1|162|69.0,-0.546593,-1.33342e-08,-3.65032,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|5|1|162|1|162|69.0,0.111456,-3.87812e-08,-4.1027,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|6|1|162|1|162|69.0,0.46969,3.89919e-08,3.60871,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|7|1|162|1|162|69.0,-0.461753,-2.72183e-08,-2.13852,0,0,False,69.0|162,1042
1,8|1042|8|1042|cc|8|1|162|1|162|69.0,0.576755,-1.02446e-08,4.36028,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|1|2|162|2|162|69.0,0.767241,2.19366e-09,-1.20617,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|2|2|162|2|162|69.0,0.808834,8.6358e-09,1.2036,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|3|2|162|2|162|69.0,-1.82523,4.08715e-09,2.35586,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|4|2|162|2|162|69.0,-0.305755,-3.15762e-08,-0.0908655,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|5|2|162|2|162|69.0,-0.175228,-2.16396e-08,0.745511,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|6|2|162|2|162|69.0,0.478388,-4.61268e-08,2.74096,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|7|2|162|2|162|69.0,2.17412,1.86775e-08,2.98321,0,0,False,69.0|162,1042
1,8|1042|8|1042|vc|8|2|162|2|162|69.0,1.61656,1.94554e-08,2.65786,0,0,False,69.0|162,1042
1,8|719|8|719|sample|5|274|5|274|55.0,-0.682298,-3.91737e-08,0.341123,0,0,True,55.0|274,719
1,8|719|8|719|sample|6|274|6|274|55.0,0.268781,2.03575e-08,-0.0128026,0,0,True,55.0|274,719
