id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|1042|8|1042|cc|3|1|162|1|162|69.0,0,0.00879621,0,0,0,0,2.49154e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|cc|4|1|162|1|162|69.0,0,0.0146344,0,0,0,0,3.57816e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|cc|5|1|162|1|162|69.0,0,0.0106792,0,0,0,0,3.20743e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|cc|6|1|162|1|162|69.0,0,-0.00454091,0,0,0,0,3.63552e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|cc|7|1|162|1|162|69.0,0,-0.0199315,0,0,0,0,-2.51938e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|cc|8|1|162|1|162|69.0,0,0.0347017,0,0,0,0,-2.69914e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|1|2|162|2|162|69.0,0,0.00590245,0,0,0,0,-2.46491e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|2|2|162|2|162|69.0,0,0.00498404,0,0,0,0,2.22632e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|3|2|162|2|162|69.0,0,0.0223311,0,0,0,0,8.75207e-08,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|4|2|162|2|162|69.0,0,0.00111214,0,0,0,0,-4.77626e-09,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|5|2|162|2|162|69.0,0,0.00239576,0,0,0,0,-2.86123e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|6|2|162|2|162|69.0,0,0.0252244,0,0,0,0,-5.92048e-10,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|7|2|162|2|162|69.0,0,-0.018778,0,0,0,0,1.7549e-07,0,0,0,False,69.0|162,1042
8|1042|8|1042|vc|8|2|162|2|162|69.0,0,-0.0153973,0,0,0,0,1.27543e-07,0,0,0,False,69.0|162,1042
8|719|8|719|sample|5|274|5|274|55.0,0,0.0769019,0,0,0,0,0.0891169,0,0,0,True,55.0|274,719
8|719|8|719|sample|6|274|6|274|55.0,0,0.0800811,0,0,0,0,0.0977209,0,0,0,True,55.0|274,719
8|719|8|719|sample|3|274|3|274|55.0,0,-0.0665397,0,0,0,0,-0.0711255,0,0,0,True,55.0|274,719
8|719|8|719|sample|4|274|4|274|55.0,0,-0.0944509,0,0,0,0,-0.0786957,0,0,0,True,55.0|274,719
8|719|8|719|sample|10|274|10|274|32.0,0,0.0150096,0,0,0,0,0.0269554,0,0,0,True,32.0|274,719
8|719|8|719|sample|9|274|9|274|32.0,0,0.0228441,0,0,0,0,0.036702,0,0,0,True,32.0|274,719
8|719|8|719|sample|8|274|8|274|32.0,0,-0.0302908,0,0,0,0,-0.00756314,0,0,0,True,32.0|274,719
8|719|8|719|sample|7|274|7|274|32.0,0,-0.0235265,0,0,0,0,-0.0130711,0,0,0,True,32.0|274,719
8|719|8|719|sample|12|274|12|274|22.0,0,0.089361,0,0,0,0,0.0926761,0,0,0,True,22.0|274,719
8|719|8|719|sample|11|274|11|274|22.0,0,-0.0250521,0,0,0,0,-0.00110714,0,0,0,True,22.0|274,719
8|719|8|719|cc|1|1|274|1|274|69.0,0,-0.00593643,0,0,0,0,-2.5755e-07,0,0,0,False,69.0|274,719
8|719|8|719|cc|2|1|274|1|274|69.0,0,0.0293953,0,0,0,0,-3.47969e-08,0,0,0,False,69.0|274,719
8|719|8|719|cc|3|1|274|1|274|69.0,0,0.0101288,0,0,0,0,-1.31913e-07,0,0,0,False,69.0|274,719
8|719|8|719|cc|4|1|274|1|274|69.0,0,-0.0285309,0,0,0,0,-1.54971e-07,0,0,0,False,69.0|274,719
8|719|8|719|cc|5|1|274|1|274|69.0,0,0.00665745,0,0,0,0,1.08629e-07,0,0,0,False,69.0|274,719
8|719|8|719|cc|6|1|274|1|274|69.0,0,0.0110948,0,0,0,0,3.04714e-08,0,0,0,False,69.0|274,719
8|719|8|719|cc|7|1|274|1|274|69.0,0,-0.0267154,0,0,0,0,-2.05301e-07,0,0,0,False,69.0|274,719
8|719|8|719|cc|8|1|274|1|274|69.0,0,-0.020978,0,0,0,0,2.54171e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|1|2|274|2|274|69.0,0,-0.0131604,0,0,0,0,2.36436e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|2|2|274|2|274|69.0,0,-0.0145469,0,0,0,0,1.49264e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|3|2|274|2|274|69.0,0,0.0121298,0,0,0,0,1.91286e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|4|2|274|2|274|69.0,0,-0.0208181,0,0,0,0,-2.55299e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|5|2|274|2|274|69.0,0,-0.00506677,0,0,0,0,1.41372e-07,0,0,0,False,69.0|274,719
8|719|8|719|vc|6|2|274|2|274|69.0,0,0.00712343,0,0,0,0,-9.52947e-08,0,0,0,False,69.0|274,719
8|719|8|719|vc|7|2|274|2|274|69.0,0,0.0152106,0,0,0,0,-2.98387e-08,0,0,0,False,69.0|274,719
8|719|8|719|vc|8|2|274|2|274|69.0,0,-0.0142143,0,0,0,0,2.35406e-07,0,0,0,False,69.0|274,719
8|863|8|863|sample|7|274|7|274|65.0,0,-0.063875,0,0,0,0,-0.0506293,0,0,0,True,65.0|274,863
8|863|8|863|sample|8|274|8|274|65.0,0,-0.054497,0,0,0,0,-0.0434248,0,0,0,True,65.0|274,863
