rep,id,f,h,s,L_gap,mab_virus,run_id
1,8|1159|8|1159|sample|8|292|8|292|65.0,3.35599,0.75386,7.19996,3.02649,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,3.35599,0.75386,6.34824,-3.1003,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,3.35599,0.75386,6.94005,0.771966,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,3.35599,0.75386,7.09652,1.23658,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,1.57109,0.733709,11.2673,-0.098091,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,1.57109,0.733709,12.7561,5.21577,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,1.57109,0.733709,8.27259,-1.46561,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,1.57109,0.733709,8.28916,1.55796,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,12.1038,0.820683,14.4881,1.18032,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,12.1038,0.820683,15.7045,0.42983,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,11.6305,0.821027,9.96929,-3.21732,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,11.6305,0.821027,0.110135,0.463113,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,11.6305,0.821027,0.152077,3.35286,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,11.6305,0.821027,2.53932,6.50754,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,11.6305,0.821027,3.35069,-1.39133,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,11.6305,0.821027,6.70114,10.5371,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,11.6305,0.821027,0.508379,2.5425,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,11.6305,0.821027,2.64628,4.23292,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,11.6305,0.821027,0.430102,1.07863,69.0|292,1159
