id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|vc|7|2|162,1.54604,0.00551162,1.46892,5.82921,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|84|vc|8|2|162,1.54604,0.00551162,1.46892,6.76263,5.72539,0.412454,3.08711e-12,1.54604,0.00551162,1.46892,1.0,5.72539,0.411975,2.87665e-12,False,69.0|162,84
8|719|cc|1|1|274,1.50196,0.00311304,1.4809,12.674,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|2|1|274,1.50196,0.00311304,1.4809,7.1114,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|3|1|274,1.50196,0.00311304,1.4809,5.8648,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|4|1|274,1.50196,0.00311304,1.4809,6.08364,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,0.999999,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|5|1|274,1.50196,0.00311304,1.4809,11.6085,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|6|1|274,1.50196,0.00311304,1.4809,7.09448,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|7|1|274,1.50196,0.00311304,1.4809,4.82547,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|cc|8|1|274,1.50196,0.00311304,1.4809,3.80166,5.4408,0.412454,3.08711e-12,1.50196,0.00311304,1.4809,1.0,5.4408,0.411975,2.87665e-12,False,69.0|274,719
8|719|sample|10|274,1.52033,0.00826304,0.773528,0.325614,8.59265,0.412454,3.08711e-12,1.52033,0.00826304,0.773528,0.330089,8.59265,0.411975,2.87665e-12,True,32.0|274,719
8|719|sample|11|274,1.50863,0.00411967,0.937891,0.884998,5.85823,0.412454,3.08711e-12,1.50863,0.00411967,0.937891,0.925386,5.85823,0.411975,2.87665e-12,True,22.0|274,719
8|719|sample|12|274,1.50863,0.00411967,0.937891,1.06207,5.85823,0.412454,3.08711e-12,1.50863,0.00411967,0.937891,1.07765,5.85823,0.411975,2.87665e-12,True,22.0|274,719
8|719|sample|3|274,1.48197,0.0088357,0.833552,0.0592262,7.13872,0.412454,3.08711e-12,1.48197,0.0088357,0.833552,0.0611858,7.13872,0.411975,2.87665e-12,True,55.0|274,719
8|719|sample|4|274,1.48197,0.0088357,0.833552,0.0579199,7.13872,0.412454,3.08711e-12,1.48197,0.0088357,0.833552,0.0596854,7.13872,0.411975,2.87665e-12,True,55.0|274,719
