id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|555|14|555|cc|7|1|233|1|233|69.0,-2.79936e-09,-7.85105e-09,0.0422744,0,0,0,1.88738e-15,3.24081e-07,0,0,False,69.0|233,555
14|555|14|555|cc|8|1|233|1|233|69.0,1.99252e-09,-3.40641e-09,0.101823,0,0,-1.77636e-15,8.77076e-15,2.87644e-07,0,0,False,69.0|233,555
14|555|14|555|vc|1|2|233|2|233|69.0,1.99873e-09,-1.5915e-09,-0.235466,0,0,-3.55271e-15,-6.43929e-15,-1.55608e-07,0,0,False,69.0|233,555
14|555|14|555|vc|2|2|233|2|233|69.0,-1.66331e-09,-1.02958e-09,-0.199828,0,0,-3.55271e-15,4.4964e-15,2.13567e-07,0,0,False,69.0|233,555
14|555|14|555|vc|3|2|233|2|233|69.0,6.90976e-10,-6.15147e-09,-0.52579,0,0,-1.77636e-15,-3.33067e-16,6.33929e-08,0,0,False,69.0|233,555
14|555|14|555|vc|4|2|233|2|233|69.0,7.14616e-10,-2.04118e-09,0.104773,0,0,3.55271e-15,-1.54321e-14,1.8216e-07,0,0,False,69.0|233,555
14|555|14|555|vc|5|2|233|2|233|69.0,2.8393e-09,-3.8991e-09,0.0675555,0,0,-3.55271e-15,8.65974e-15,3.78946e-07,0,0,False,69.0|233,555
14|555|14|555|vc|6|2|233|2|233|69.0,1.43305e-09,5.98092e-10,0.0745693,0,0,7.10543e-15,0,-3.50426e-07,0,0,False,69.0|233,555
14|555|14|555|vc|7|2|233|2|233|69.0,-2.76835e-10,2.19007e-09,-0.16264,0,0,0,2.22045e-16,4.2979e-07,0,0,False,69.0|233,555
14|555|14|555|vc|8|2|233|2|233|69.0,2.15526e-09,-5.91115e-09,0.388706,0,0,0,-2.19824e-14,1.84482e-07,0,0,False,69.0|233,555
14|394|14|394|sample|5|42|5|42|6.0,1.53355e-09,-7.62683e-09,-0.641787,0,0,-1.42109e-14,-2.28706e-14,-0.65085,0,0,True,6.0|42,394
14|394|14|394|sample|6|42|6|42|6.0,7.20193e-11,2.72672e-09,-0.745649,0,0,-6.57252e-14,7.91589e-14,-0.818936,0,0,True,6.0|42,394
