rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|75|cc|8|1|65,0,-8.11204e-06,-5.16625,0,0,False,69.0|65,75
1,8|75|sample|10|65,0,3.15611e-06,-11.8509,0,0,True,32.0|65,75
1,8|75|sample|11|65,0,-1.18293e-05,-10.9536,0,0,True,22.0|65,75
1,8|75|sample|12|65,0,3.81525e-05,-9.31846,0,0,True,22.0|65,75
1,8|75|sample|3|65,0,-5.86063e-06,-10.1165,0,0,True,55.0|65,75
1,8|75|sample|4|65,0,2.12814e-07,-11.2268,0,0,True,55.0|65,75
1,8|75|sample|5|65,0,6.81936e-06,-10.1272,0,0,True,55.0|65,75
1,8|75|sample|6|65,0,6.96863e-06,-9.82161,0,0,True,55.0|65,75
1,8|75|sample|7|65,0,-3.11267e-06,-7.08267,0,0,True,32.0|65,75
1,8|75|sample|8|65,0,5.53687e-06,-12.0252,0,0,True,32.0|65,75
1,8|75|sample|9|65,0,-5.99275e-06,-9.61953,0,0,True,32.0|65,75
1,8|75|vc|1|2|65,0,-6.89621e-06,0.0992393,0,0,False,69.0|65,75
1,8|75|vc|2|2|65,0,1.1225e-05,-1.39828,0,0,False,69.0|65,75
1,8|75|vc|3|2|65,0,-3.66985e-06,1.98224,0,0,False,69.0|65,75
1,8|75|vc|4|2|65,0,-1.3495e-05,-0.159707,0,0,False,69.0|65,75
1,8|75|vc|5|2|65,0,-1.40249e-05,6.90784,0,0,False,69.0|65,75
1,8|75|vc|6|2|65,0,7.51083e-06,5.17229,0,0,False,69.0|65,75
1,8|75|vc|7|2|65,0,1.7257e-06,6.65451,0,0,False,69.0|65,75
1,8|75|vc|8|2|65,0,4.39232e-06,-2.68947,0,0,False,69.0|65,75
1,8|291|cc|1|1|103,0,1.45837e-05,-4.56235,0,0,False,69.0|103,291
1,8|291|cc|2|1|103,0,-1.24339e-05,-1.02286,0,0,False,69.0|103,291
1,8|291|cc|3|1|103,0,-4.58634e-06,2.37832,0,0,False,69.0|103,291
1,8|291|cc|4|1|103,0,5.54653e-06,6.38545,0,0,False,69.0|103,291
1,8|291|cc|5|1|103,0,-2.19113e-06,-1.7388,0,0,False,69.0|103,291
1,8|291|cc|6|1|103,0,6.93051e-06,1.80845,0,0,False,69.0|103,291
1,8|291|cc|7|1|103,0,3.87942e-06,7.33733,0,0,False,69.0|103,291
1,8|291|cc|8|1|103,0,-2.34642e-06,-0.16911,0,0,False,69.0|103,291
1,8|291|sample|10|103,0,-7.16456e-08,-3.82188,0,0,True,32.0|103,291
1,8|291|sample|11|103,0,4.10011e-06,1.71715,0,0,True,22.0|103,291
1,8|291|sample|12|103,0,6.31293e-07,5.08244,0,0,True,22.0|103,291
