id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|462|sample|9|292,0,0,1.93466,0,0,0,0,1.96991,0,0,True,32.0|292,462
8|462|vc|1|2|292,0,0,-0.15595,0,0,0,0,-1.0999e-07,0,0,False,69.0|292,462
8|462|vc|2|2|292,0,0,0.211841,0,0,0,0,2.42046e-07,0,0,False,69.0|292,462
8|462|vc|3|2|292,0,0,0.276427,0,0,0,0,3.07957e-07,0,0,False,69.0|292,462
8|462|vc|4|2|292,0,0,-0.0174521,0,0,0,0,4.99593e-08,0,0,False,69.0|292,462
8|462|vc|5|2|292,0,0,0.139312,0,0,0,0,1.10801e-07,0,0,False,69.0|292,462
8|462|vc|6|2|292,0,0,-0.142278,0,0,0,0,2.63014e-07,0,0,False,69.0|292,462
8|462|vc|7|2|292,0,0,-0.0341755,0,0,0,0,-2.17954e-07,0,0,False,69.0|292,462
8|462|vc|8|2|292,0,0,-0.0555975,0,0,0,0,3.29308e-07,0,0,False,69.0|292,462
8|75|cc|1|1|65,0,0,-0.150608,0,0,0,0,3.83589e-07,0,0,False,69.0|65,75
8|75|cc|2|1|65,0,0,-0.0858546,0,0,0,0,1.87793e-08,0,0,False,69.0|65,75
8|75|cc|3|1|65,0,0,0.231939,0,0,0,0,2.84763e-07,0,0,False,69.0|65,75
8|75|cc|4|1|65,0,0,-0.127376,0,0,0,0,-1.82901e-08,0,0,False,69.0|65,75
8|75|cc|5|1|65,0,0,0.16865,0,0,0,0,7.48147e-08,0,0,False,69.0|65,75
8|75|cc|6|1|65,0,0,0.235355,0,0,0,0,-4.56866e-09,0,0,False,69.0|65,75
8|75|cc|7|1|65,0,0,-0.0302206,0,0,0,0,-2.12643e-07,0,0,False,69.0|65,75
8|75|cc|8|1|65,0,0,0.258202,0,0,0,0,2.81835e-08,0,0,False,69.0|65,75
8|75|sample|10|65,0,0,-3.16167,0,0,0,0,-3.13886,0,0,True,32.0|65,75
8|75|sample|11|65,0,0,0.467057,0,0,0,0,0.515281,0,0,True,22.0|65,75
8|75|sample|12|65,0,0,1.01201,0,0,0,0,1.10038,0,0,True,22.0|65,75
8|75|sample|3|65,0,0,0.912905,0,0,0,0,1.01122,0,0,True,55.0|65,75
8|75|sample|4|65,0,0,0.859514,0,0,0,0,0.910502,0,0,True,55.0|65,75
8|75|sample|5|65,0,0,0.904717,0,0,0,0,1.10699,0,0,True,55.0|65,75
8|75|sample|6|65,0,0,1.15167,0,0,0,0,1.16048,0,0,True,55.0|65,75
8|75|sample|7|65,0,0,-2.69639,0,0,0,0,-2.57084,0,0,True,32.0|65,75
8|75|sample|8|65,0,0,-2.5544,0,0,0,0,-2.57662,0,0,True,32.0|65,75
