id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|705|sample|3|233,2.53798,771.714,1.36199,0.0102,12142.4,12.6462,2.3528,771.788,1.36428,0.0172115,12203.9,12.6467,False,6.0|233,705
14|705|sample|4|233,2.41667,771.907,1.36199,0.00601892,12142.4,12.6462,2.35003,771.788,1.36428,0.0113607,12203.9,12.6467,False,6.0|233,705
14|705|sample|5|233,2.38439,771.665,1.36199,0.00680511,12142.4,12.6462,2.34735,771.788,1.36428,0.0122368,12203.9,12.6467,False,6.0|233,705
14|705|sample|6|233,2.41869,771.714,1.36199,0.00600723,12142.4,12.6462,2.34807,771.788,1.36428,0.0116527,12203.9,12.6467,False,6.0|233,705
14|705|sample|7|233,2.30295,771.758,1.36199,0.0119701,12142.4,12.6462,2.34333,771.788,1.36428,0.0193755,12203.9,12.6467,False,6.0|233,705
14|705|sample|8|233,2.44036,771.707,1.36199,0.00705611,12142.4,12.6462,2.34623,771.788,1.36428,0.012456,12203.9,12.6467,False,6.0|233,705
14|705|sample|10|233,5.36636,769.757,1.36201,5.58994,12142.4,12.6462,5.44602,769.974,1.3643,5.77448,12203.9,12.6467,True,6.0|233,705
14|705|sample|9|233,5.39116,769.729,1.36201,4.09051,12142.4,12.6462,5.62055,769.974,1.3643,4.30865,12203.9,12.6467,True,6.0|233,705
14|705|sample|12|233,7.85483,770.162,1.36201,5.44831,12142.4,12.6462,8.03733,769.975,1.3643,4.96478,12203.9,12.6467,True,6.0|233,705
14|705|sample|11|233,5.83358,770.008,1.36201,3.83277,12142.4,12.6462,6.10578,769.974,1.3643,4.0343,12203.9,12.6467,True,6.0|233,705
14|705|cc|1|1|233,2.41542,771.82,1.4995,0.0471206,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,705
14|705|cc|2|1|233,2.40762,771.8,1.4995,0.0664687,12142.4,12.6462,2.36444,771.788,1.49371,0.00393935,12203.9,12.6467,False,69.0|233,705
