id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|488|vc|8|2|322,-0.575061,-0.015813,-0.230816,0,0,0,-2.94006e-07,-1.62127e-09,-8.30341e-08,0,0,0,False,69.0|322,488
8|847|cc|1|1|69,0.122971,0.00824895,0.0355787,0,0,0,-4.09064e-07,1.67823e-08,-4.00371e-08,0,0,0,False,69.0|69,847
8|847|cc|2|1|69,1.44543,-0.0404742,-0.0810545,0,0,0,3.47632e-07,1.34277e-09,7.33785e-08,0,0,0,False,69.0|69,847
8|847|cc|3|1|69,0.151264,0.000348899,0.442818,0,0,0,-4.55838e-07,-1.06073e-08,7.47027e-09,0,0,0,False,69.0|69,847
8|847|cc|4|1|69,-1.34571,0.00154846,0.0318121,0,0,0,3.17813e-07,2.9944e-09,-8.40413e-08,0,0,0,False,69.0|69,847
8|847|cc|5|1|69,-0.869541,0.0105914,-0.408552,0,0,0,-2.3186e-07,-1.36533e-08,-2.88697e-08,0,0,0,False,69.0|69,847
8|847|cc|6|1|69,-0.252249,0.02768,-0.33437,0,0,0,-9.44091e-08,2.0888e-09,3.11631e-07,0,0,0,False,69.0|69,847
8|847|cc|7|1|69,0.249227,-0.0193746,-0.0361327,0,0,0,-2.92591e-07,-1.32045e-09,-9.06779e-08,0,0,0,False,69.0|69,847
8|847|cc|8|1|69,-0.819409,-0.0150643,0.355469,0,0,0,-2.20297e-07,1.32499e-08,2.69562e-07,0,0,0,False,69.0|69,847
8|847|sample|10|69,1.36036,-0.0487375,1.02175,0,0,0,-0.0439604,-0.0308909,1.07947,0,0,0,True,32.0|69,847
8|847|sample|11|69,-0.536798,-0.0953101,-0.877107,0,0,0,-0.0461426,-0.0660597,-0.795181,0,0,0,True,22.0|69,847
8|847|sample|12|69,1.51728,-0.0199955,-0.712247,0,0,0,-0.0587962,-0.027691,-0.74396,0,0,0,True,22.0|69,847
8|847|sample|3|69,-0.29071,-0.279566,-3.03232,0,0,0,0.0137516,-0.279941,-3.02019,0,0,0,True,55.0|69,847
8|847|sample|4|69,-1.45926,-0.253555,-2.88956,0,0,0,0.0144749,-0.303931,-3.15288,0,0,0,True,55.0|69,847
8|847|sample|5|69,0.869525,-0.430994,-5.23548,0,0,0,0.050425,-0.442862,-5.31373,0,0,0,True,55.0|69,847
8|847|sample|6|69,-0.997822,-0.456921,-5.29604,0,0,0,0.0584561,-0.467467,-5.45854,0,0,0,True,55.0|69,847
8|847|sample|7|69,0.573443,0.0814314,0.987467,0,0,0,-0.00753761,0.0681042,0.99494,0,0,0,True,32.0|69,847
8|847|sample|8|69,-1.13893,0.0995822,1.12933,0,0,0,-0.00901983,0.0409431,1.00074,0,0,0,True,32.0|69,847
8|847|sample|9|69,-0.0255041,-0.0600242,0.854209,0,0,0,-0.0349404,-0.0203746,1.01347,0,0,0,True,32.0|69,847
8|847|vc|1|2|69,-1.81776,-0.0398973,-0.563409,0,0,0,-4.86519e-07,2.21784e-09,2.11218e-08,0,0,0,False,69.0|69,847
8|847|vc|2|2|69,1.13579,-0.0160534,0.127176,0,0,0,8.63707e-08,-1.78917e-09,1.90467e-07,0,0,0,False,69.0|69,847
8|847|vc|3|2|69,-0.0408764,0.00554674,-0.153563,0,0,0,-3.97981e-07,1.21351e-08,3.92087e-08,0,0,0,False,69.0|69,847
8|847|vc|4|2|69,0.199019,-0.00218414,0.291381,0,0,0,2.833e-07,3.14707e-09,-1.10168e-08,0,0,0,False,69.0|69,847
8|847|vc|5|2|69,-0.44241,0.0187088,0.205893,0,0,0,-6.62358e-07,-1.09845e-08,1.31731e-07,0,0,0,False,69.0|69,847
8|847|vc|6|2|69,0.304516,-0.0142419,-0.452915,0,0,0,2.08327e-07,-2.302e-08,1.67173e-08,0,0,0,False,69.0|69,847
8|847|vc|7|2|69,0.796176,-0.0217725,-0.0977105,0,0,0,-1.83119e-07,1.33956e-08,-2.80548e-08,0,0,0,False,69.0|69,847
8|847|vc|8|2|69,1.08781,0.0265547,0.243224,0,0,0,3.20469e-07,-9.26052e-09,-3.41898e-07,0,0,0,False,69.0|69,847
8|474|cc|1|1|276,0.442293,0.00555998,-0.0289225,0,0,0,-4.08329e-07,-6.35206e-09,-7.78869e-08,0,0,0,False,69.0|276,474
8|474|cc|2|1|276,-0.168273,-0.00369118,0.456983,0,0,0,-6.69705e-08,9.39583e-09,-1.48568e-07,0,0,0,False,69.0|276,474
8|474|cc|3|1|276,-0.322936,0.00657677,-0.151056,0,0,0,9.59911e-07,1.23441e-08,-7.49288e-08,0,0,0,False,69.0|276,474
8|474|cc|4|1|276,0.650808,0.00395976,0.145858,0,0,0,-4.63613e-07,-5.18985e-09,-2.23126e-07,0,0,0,False,69.0|276,474
8|474|cc|5|1|276,-0.826374,0.0299124,-0.485597,0,0,0,-1.33654e-07,1.89177e-08,-4.0096e-08,0,0,0,False,69.0|276,474
8|474|cc|6|1|276,-0.73147,-0.0182441,-0.0501591,0,0,0,-5.5778e-07,-1.58791e-08,3.7187e-08,0,0,0,False,69.0|276,474
8|474|cc|7|1|276,-0.303022,0.00100486,0.235497,0,0,0,-3.33792e-07,4.80522e-08,-1.30852e-07,0,0,0,False,69.0|276,474
8|474|cc|8|1|276,0.614647,-0.0118473,0.297252,0,0,0,-2.03436e-07,9.61216e-09,-5.89635e-08,0,0,0,False,69.0|276,474
8|474|sample|10|276,0.758951,0.0512274,2.2704,0,0,0,0.0555581,0.0603409,2.30345,0,0,0,True,32.0|276,474
8|474|sample|11|276,0.076963,0.169882,0.806105,0,0,0,0.000410914,0.111834,0.672793,0,0,0,True,22.0|276,474
8|474|sample|12|276,-0.732863,0.0996703,0.682891,0,0,0,0.0205353,0.091035,0.678427,0,0,0,True,22.0|276,474
8|474|sample|3|276,-0.693562,-0.0276416,-1.68532,0,0,0,0.00781847,0.0218631,-1.48093,0,0,0,True,55.0|276,474
8|474|sample|4|276,-0.265526,0.0396332,-1.428,0,0,0,0.0140225,-0.0342957,-1.58393,0,0,0,True,55.0|276,474
8|474|sample|5|276,1.58278,-0.092662,-1.75215,0,0,0,0.282664,-0.103563,-1.80514,0,0,0,True,55.0|276,474
8|474|sample|6|276,0.3433,-0.0954798,-1.82464,0,0,0,0.291839,-0.108591,-1.82147,0,0,0,True,55.0|276,474
8|474|sample|7|276,-0.132619,0.0486858,2.15978,0,0,0,0.0124265,0.03818,2.13591,0,0,0,True,32.0|276,474
8|474|sample|8|276,-2.20321,0.0461196,2.03978,0,0,0,0.0287193,0.0415457,2.09081,0,0,0,True,32.0|276,474
8|474|sample|9|276,-1.04444,0.0881607,2.3562,0,0,0,0.0786971,0.0806698,2.36658,0,0,0,True,32.0|276,474
8|474|vc|1|2|276,-0.132587,0.00263442,0.155845,0,0,0,2.39601e-07,-3.28872e-10,-2.87137e-07,0,0,0,False,69.0|276,474
8|474|vc|2|2|276,0.320561,-0.0152114,0.0407594,0,0,0,1.20724e-07,9.90005e-09,7.3465e-09,0,0,0,False,69.0|276,474
8|474|vc|3|2|276,0.487872,-0.00258482,0.0195895,0,0,0,1.66019e-07,1.60001e-08,-1.94202e-08,0,0,0,False,69.0|276,474
8|474|vc|4|2|276,0.787201,0.00691788,0.132401,0,0,0,6.59929e-07,6.2777e-09,-4.49177e-09,0,0,0,False,69.0|276,474
8|474|vc|5|2|276,-0.216798,-0.010928,-0.0998489,0,0,0,-5.2157e-07,1.28768e-08,1.96406e-07,0,0,0,False,69.0|276,474
8|474|vc|6|2|276,-0.979214,-0.00180095,-0.13093,0,0,0,-2.47202e-07,5.30981e-09,8.0555e-08,0,0,0,False,69.0|276,474
8|474|vc|7|2|276,-0.273589,-5.73542e-05,-0.210861,0,0,0,8.29702e-07,1.02433e-08,-3.4101e-07,0,0,0,False,69.0|276,474
8|474|vc|8|2|276,-0.171672,-0.000735668,-0.0410082,0,0,0,-1.88666e-07,2.67078e-09,-3.30019e-07,0,0,0,False,69.0|276,474
8|462|cc|1|1|292,1.14387,0.00724503,0.113238,0,0,0,-2.59135e-07,1.77323e-08,1.88496e-07,0,0,0,False,69.0|292,462
8|462|cc|2|1|292,0.974007,0.00012589,0.0535645,0,0,0,-2.37873e-07,-5.74984e-09,1.37071e-07,0,0,0,False,69.0|292,462
8|462|cc|3|1|292,-0.293379,-0.00858615,0.00943786,0,0,0,1.75831e-07,-2.06355e-08,-4.09363e-08,0,0,0,False,69.0|292,462
8|462|cc|4|1|292,0.385436,0.01912,0.0767364,0,0,0,-4.7682e-07,-2.25961e-08,2.42428e-07,0,0,0,False,69.0|292,462
8|462|cc|5|1|292,-0.511038,0.000983803,0.0142649,0,0,0,-4.0774e-07,-1.69296e-08,-6.39163e-08,0,0,0,False,69.0|292,462
8|462|cc|6|1|292,-0.511467,-0.0212546,-0.0242671,0,0,0,-4.51363e-07,6.21435e-09,1.08025e-07,0,0,0,False,69.0|292,462
8|462|cc|7|1|292,1.63335,0.00698994,0.0543276,0,0,0,2.31436e-07,7.28234e-09,-2.97418e-08,0,0,0,False,69.0|292,462
8|462|cc|8|1|292,-1.1052,-0.00104388,0.106419,0,0,0,-2.61273e-07,-1.36388e-10,1.52353e-07,0,0,0,False,69.0|292,462
8|462|sample|10|292,1.46511,-0.00865016,2.07146,0,0,0,-0.102776,-0.0100977,2.11374,0,0,0,True,32.0|292,462
8|462|sample|11|292,-0.323979,0.00841465,-0.450999,0,0,0,-0.0526957,-0.0155261,-0.456245,0,0,0,True,22.0|292,462
8|462|sample|12|292,-0.248038,-0.165574,-0.674559,0,0,0,-0.0537153,-0.171253,-0.704802,0,0,0,True,22.0|292,462
8|462|sample|3|292,-1.61374,-0.259455,-4.01758,0,0,0,0.00532934,-0.289178,-3.83115,0,0,0,True,55.0|292,462
8|462|sample|4|292,-1.26266,-0.289963,-3.89116,0,0,0,0.00580294,-0.271169,-3.68321,0,0,0,True,55.0|292,462
8|462|sample|5|292,-2.90437,-0.421453,-6.06614,0,0,0,0.0171406,-0.410281,-5.91486,0,0,0,True,55.0|292,462
8|462|sample|6|292,-0.945124,-0.442493,-6.28449,0,0,0,0.0179559,-0.429436,-5.95719,0,0,0,True,55.0|292,462
8|462|sample|7|292,1.71318,0.146249,2.18137,0,0,0,-0.023961,0.13172,2.18425,0,0,0,True,32.0|292,462
8|462|sample|8|292,-2.4904,0.160029,2.17717,0,0,0,-0.0383344,0.157375,2.19122,0,0,0,True,32.0|292,462
8|462|sample|9|292,-2.2429,0.131652,2.34899,0,0,0,-0.047982,0.101917,2.30167,0,0,0,True,32.0|292,462
8|462|vc|1|2|292,0.52957,-0.0361135,-0.281695,0,0,0,-6.31985e-10,7.9135e-09,-5.928e-09,0,0,0,False,69.0|292,462
8|462|vc|2|2|292,0.0671531,-0.012024,-0.0278577,0,0,0,4.07312e-07,-8.71298e-09,1.02539e-07,0,0,0,False,69.0|292,462
