rep,id,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|462|cc|5|1|292,-16.5618,0,0,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,8.65022,0,0,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,16.6101,0,0,0,0,False,69.0|292,462
1,8|462|cc|8|1|292,8.45319,0,0,0,0,False,69.0|292,462
1,8|462|sample|10|292,-3.83685,0,0,0,0,True,32.0|292,462
1,8|462|sample|11|292,1.06932,0,0,0,0,True,22.0|292,462
1,8|462|sample|12|292,-3.2579,0,0,0,0,True,22.0|292,462
1,8|462|sample|3|292,3.76739,0,0,0,0,True,55.0|292,462
1,8|462|sample|4|292,4.14774,0,0,0,0,True,55.0|292,462
1,8|462|sample|5|292,17.8607,0,0,0,0,True,55.0|292,462
1,8|462|sample|6|292,16.4457,0,0,0,0,True,55.0|292,462
1,8|462|sample|7|292,-3.11066,0,0,0,0,True,32.0|292,462
1,8|462|sample|8|292,2.99746,0,0,0,0,True,32.0|292,462
1,8|462|sample|9|292,-0.163524,0,0,0,0,True,32.0|292,462
1,8|462|vc|1|2|292,13.3944,0,0,0,0,False,69.0|292,462
1,8|462|vc|2|2|292,-4.996,0,0,0,0,False,69.0|292,462
1,8|462|vc|3|2|292,-5.70784,0,0,0,0,False,69.0|292,462
1,8|462|vc|4|2|292,-13.4629,0,0,0,0,False,69.0|292,462
1,8|462|vc|5|2|292,12.736,0,0,0,0,False,69.0|292,462
1,8|462|vc|6|2|292,8.40392,0,0,0,0,False,69.0|292,462
1,8|462|vc|7|2|292,1.19867,0,0,0,0,False,69.0|292,462
1,8|462|vc|8|2|292,8.35465,0,0,0,0,False,69.0|292,462
1,8|75|cc|1|1|65,-2.26769,0,0,0,0,False,69.0|65,75
1,8|75|cc|2|1|65,-12.1784,0,0,0,0,False,69.0|65,75
1,8|75|cc|3|1|65,5.83908,0,0,0,0,False,69.0|65,75
1,8|75|cc|4|1|65,-6.32169,0,0,0,0,False,69.0|65,75
1,8|75|cc|5|1|65,-2.38315,0,0,0,0,False,69.0|65,75
1,8|75|cc|6|1|65,-4.26796,0,0,0,0,False,69.0|65,75
1,8|75|cc|7|1|65,-10.8393,0,0,0,0,False,69.0|65,75
1,8|75|cc|8|1|65,-3.04933,0,0,0,0,False,69.0|65,75
1,8|75|sample|10|65,9.23084,0,0,0,0,True,32.0|65,75
1,8|75|sample|11|65,5.53554,0,0,0,0,True,22.0|65,75
1,8|75|sample|12|65,-5.75851,0,0,0,0,True,22.0|65,75
1,8|75|sample|3|65,-0.00815763,0,0,0,0,True,55.0|65,75
1,8|75|sample|4|65,-13.1747,0,0,0,0,True,55.0|65,75
1,8|75|sample|5|65,-12.7935,0,0,0,0,True,55.0|65,75
