rep,id,f,h,L_gap,mab_virus,run_id
3,9|411|9|411|cc|3|1|274|1|274|69.0,0.741867,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|3|1|274|1|274|69.0,3.25907,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|3|1|274|1|274|69.0,6.99847,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|3|1|274|1|274|69.0,0.283414,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|3|1|274|1|274|69.0,18.7006,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|3|1|274|1|274|69.0,3.5846,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|3|1|274|1|274|69.0,3.99092,0.78112,10.0375,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,0.546786,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|4|1|274|1|274|69.0,2.24874,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|4|1|274|1|274|69.0,8.73391,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|4|1|274|1|274|69.0,0.0398903,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|4|1|274|1|274|69.0,0.0208408,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|4|1|274|1|274|69.0,5.38447,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|4|1|274|1|274|69.0,0.921341,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|4|1|274|1|274|69.0,0.185479,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|4|1|274|1|274|69.0,0.006176,0.78112,10.0375,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,2.76118,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|5|1|274|1|274|69.0,1.25989,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|5|1|274|1|274|69.0,6.45423,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|5|1|274|1|274|69.0,0.0104216,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|5|1|274|1|274|69.0,4.71472,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|5|1|274|1|274|69.0,0.605295,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|5|1|274|1|274|69.0,4.14261,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|5|1|274|1|274|69.0,0.226883,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|5|1|274|1|274|69.0,0.0510476,0.78112,10.0375,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,6.72499,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|6|1|274|1|274|69.0,0.471254,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|6|1|274|1|274|69.0,22.4675,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|6|1|274|1|274|69.0,40.3138,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|6|1|274|1|274|69.0,35.2615,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|6|1|274|1|274|69.0,4.64748,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|6|1|274|1|274|69.0,0.0084697,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|6|1|274|1|274|69.0,21.9279,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|6|1|274|1|274|69.0,0.139538,0.78112,10.0375,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,0.150925,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|7|1|274|1|274|69.0,5.48348,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|7|1|274|1|274|69.0,1.8608,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|7|1|274|1|274|69.0,0.0188696,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|7|1|274|1|274|69.0,1.27514,0.78112,10.0375,69.0|274,411
6,9|411|9|411|cc|7|1|274|1|274|69.0,3.8936,0.78112,10.0375,69.0|274,411
7,9|411|9|411|cc|7|1|274|1|274|69.0,7.43659,0.78112,10.0375,69.0|274,411
8,9|411|9|411|cc|7|1|274|1|274|69.0,29.3332,0.78112,10.0375,69.0|274,411
9,9|411|9|411|cc|7|1|274|1|274|69.0,17.0625,0.78112,10.0375,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,0.0186649,0.78112,10.0375,69.0|274,411
2,9|411|9|411|cc|8|1|274|1|274|69.0,5.51623,0.78112,10.0375,69.0|274,411
3,9|411|9|411|cc|8|1|274|1|274|69.0,0.0903809,0.78112,10.0375,69.0|274,411
4,9|411|9|411|cc|8|1|274|1|274|69.0,0.537714,0.78112,10.0375,69.0|274,411
5,9|411|9|411|cc|8|1|274|1|274|69.0,0.740089,0.78112,10.0375,69.0|274,411
