rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|488|cc|5|1|322,-8.13566,0,5.84237e-06,-0.0671231,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,-8.54515,0,1.27264e-05,0.0856622,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,-4.29325,0,-2.08729e-06,-0.112153,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,-0.0222262,0,-1.49473e-06,0.042245,0,0,False,69.0|322,488
1,8|488|sample|10|322,-0.134667,0,1.95809e-06,0.0775776,0,0,True,32.0|322,488
1,8|488|sample|11|322,-11.9054,0,1.65513e-06,0.100566,0,0,True,22.0|322,488
1,8|488|sample|12|322,1.65127,0,-1.7911e-07,0.23099,0,0,True,22.0|322,488
1,8|488|sample|3|322,-2.66795,0,-1.31068e-06,-0.134364,0,0,True,55.0|322,488
1,8|488|sample|4|322,5.91548,0,-8.97376e-06,0.0959315,0,0,True,55.0|322,488
1,8|488|sample|5|322,2.34968,0,-8.40417e-06,-0.0613137,0,0,True,55.0|322,488
1,8|488|sample|6|322,-13.4294,0,-3.16781e-06,-0.0554101,0,0,True,55.0|322,488
1,8|488|sample|7|322,-6.58013,0,6.52553e-06,0.143983,0,0,True,32.0|322,488
1,8|488|sample|8|322,8.81266,0,2.64896e-06,0.026496,0,0,True,32.0|322,488
1,8|488|sample|9|322,-4.27678,0,2.19805e-05,0.0307633,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,1.90192,0,-3.73752e-06,-0.100446,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,-5.29492,0,1.40754e-06,0.0196165,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,1.61347,0,5.52638e-06,-0.0763218,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,-5.38546,0,-1.55551e-05,0.000316394,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,2.82221,0,-7.76731e-06,-0.0809316,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,1.17292,0,7.1362e-06,0.00279886,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,-8.05896,0,7.70434e-06,0.110979,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,4.15123,0,-9.61058e-06,-0.0721916,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,10.0428,0,-7.43943e-06,-0.245914,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,3.63077,0,-1.12682e-05,-0.0525291,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,-1.82823,0,-1.01235e-05,0.0568187,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,2.57426,0,-8.73132e-07,-0.0282654,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,-0.436765,0,6.23889e-07,0.0152618,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,-14.8276,0,5.42345e-06,-0.00549479,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,17.3371,0,1.25037e-05,0.0929223,0,0,False,69.0|69,847
