rep,id,f,h,s,L_gap,mab_virus,run_id
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,1.698,0.912066,3.51726,-5.82629,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,1.0377,0.912066,3.51726,-3.9046,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,1.59056,0.912066,3.51726,-5.03517,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0.907165,0.912066,3.51726,-4.37848,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0.99859,0.912066,3.51726,-5.10683,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,1.50347,0.912066,3.51726,-5.98516,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,1.21644,0.912066,3.51726,-6.25576,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,1.26601,0.912066,3.51726,-4.63555,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,1.19443,0.912066,3.51726,-6.34502,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,1.12408,0.912066,3.51726,-4.65536,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,1.70061,0.912066,3.51726,-7.04066,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,1.0349,0.912066,3.51726,-3.22785,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,1.14702,0.912066,3.51726,-4.96117,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,1.64118,0.912066,3.51726,-6.62168,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0.13609,0.889576,3.51726,-5.55063,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0.130868,0.889576,3.51726,-6.42289,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0.11727,0.889576,3.51726,-5.29836,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0.113858,0.889576,3.51726,-5.29897,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0.0810447,0.870026,3.51726,-6.06852,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0.0972942,0.870026,3.51726,-6.97154,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0.0932318,0.870026,3.51726,-5.69352,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0.108468,0.889578,3.51726,-6.74769,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0.128852,0.889578,3.51726,-4.51235,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0.0686936,0.870026,3.51726,-7.60811,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,0.603531,0.889578,3.51726,-7.43444,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,0.671925,0.889578,3.51726,-6.68574,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0.675974,0.889578,3.51726,-6.00006,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0.474612,0.889578,3.51726,-5.09818,69.0|103,1197
