id,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|847|sample|7|69,746.093,0.792483,0.0717157,58.4942,0.00506433,7.22179e-07,746.093,0.792481,0.071716,58.4943,0.00506455,7.22201e-07,True,32.0|69,847
8|847|sample|8|69,746.093,0.79248,0.0717158,58.4942,0.00506433,7.22179e-07,746.093,0.792481,0.071716,58.4943,0.00506455,7.22201e-07,True,32.0|69,847
8|847|sample|9|69,746.093,0.792479,0.0717158,58.4942,0.00506433,7.22179e-07,746.093,0.792481,0.071716,58.4943,0.00506455,7.22201e-07,True,32.0|69,847
8|847|vc|1|2|69,746.093,1.54988,0.0634383,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|2|2|69,746.093,1.54988,0.0634384,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|3|2|69,746.093,1.54988,0.0634385,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|4|2|69,746.093,1.54988,0.0634386,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|5|2|69,746.093,1.54988,0.0634385,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|6|2|69,746.093,1.54988,0.0634382,3.16723,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|7|2|69,746.093,1.54988,0.0634384,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|847|vc|8|2|69,746.093,1.54988,0.0634386,3.16722,0.00506433,7.22179e-07,746.093,1.54988,0.0634383,3.16722,0.00506455,7.22201e-07,False,69.0|69,847
8|474|cc|1|1|276,746.093,1.72178,0.0907257,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|2|1|276,746.093,1.72178,0.090726,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|3|1|276,746.093,1.72178,0.0907259,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|4|1|276,746.093,1.72178,0.0907258,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|5|1|276,746.093,1.72178,0.0907257,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|6|1|276,746.093,1.72178,0.0907258,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|7|1|276,746.093,1.72178,0.0907259,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|cc|8|1|276,746.093,1.72178,0.0907256,14.1897,-0.00694491,-2.8636e-05,746.093,1.72178,0.0907259,14.1897,-0.00694503,-2.86368e-05,False,69.0|276,474
8|474|sample|10|276,746.093,0.762854,0.296728,38.9626,-0.00694491,-2.8636e-05,746.093,0.762844,0.296727,38.9625,-0.00694503,-2.86368e-05,True,32.0|276,474
8|474|sample|11|276,746.093,0.983125,1.05088,6.04661,-0.00694491,-2.8636e-05,746.093,0.983122,1.05088,6.04662,-0.00694503,-2.86368e-05,True,22.0|276,474
8|474|sample|12|276,746.093,0.98312,1.05088,6.04661,-0.00694491,-2.8636e-05,746.093,0.983122,1.05088,6.04662,-0.00694503,-2.86368e-05,True,22.0|276,474
8|474|sample|3|276,746.093,1.18766,2.00515,1.05161,-0.00694491,-2.8636e-05,746.093,1.18766,2.00515,1.05161,-0.00694503,-2.86368e-05,True,55.0|276,474
8|474|sample|4|276,746.093,1.18766,2.00515,1.05162,-0.00694491,-2.8636e-05,746.093,1.18766,2.00515,1.05161,-0.00694503,-2.86368e-05,True,55.0|276,474
8|474|sample|5|276,746.093,1.18766,2.00515,1.05161,-0.00694491,-2.8636e-05,746.093,1.18766,2.00515,1.05161,-0.00694503,-2.86368e-05,True,55.0|276,474
8|474|sample|6|276,746.093,1.18766,2.00514,1.05161,-0.00694491,-2.8636e-05,746.093,1.18766,2.00515,1.05161,-0.00694503,-2.86368e-05,True,55.0|276,474
8|474|sample|7|276,746.093,0.762853,0.296728,38.9625,-0.00694491,-2.8636e-05,746.093,0.762844,0.296727,38.9625,-0.00694503,-2.86368e-05,True,32.0|276,474
8|474|sample|8|276,746.093,0.762854,0.296728,38.9625,-0.00694491,-2.8636e-05,746.093,0.762844,0.296727,38.9625,-0.00694503,-2.86368e-05,True,32.0|276,474
