id,L_gap_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_gap_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|14|433|sample|9|99|9|99|6.0,4.68295,1.65471,0.156496,0.12537,0.273664,5.51715,1.65435,0.135104,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,5.56694,1.65471,0.720824,0.12537,0.273664,7.10082,1.65435,0.445773,0.126362,0.276122,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,7.03172,1.65471,0.3943,0.12537,0.273664,7.01442,1.65435,0.386484,0.126362,0.276122,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,3.44324,1.65471,67.1668,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,3.56104,1.65471,71.4353,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,3.24807,1.65471,70.0997,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,3.2157,1.65471,70.1702,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,3.52807,1.65471,70.0149,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,3.1994,1.65471,81.0336,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,3.1536,1.65471,63.9808,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,3.18903,1.65471,70.5945,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,3.09639,1.65471,56.8225,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,3.44731,1.65471,69.7365,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,3.19861,1.65471,68.6035,0.12537,0.273664,3.43163,1.65435,54.3026,0.126362,0.276122,False,69.0|99,433
