rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,8|1159|8|1159|sample|8|292|8|292|65.0,0.461703,0,0,-0.429271,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,0.449078,0,0,-0.386868,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0.379045,0,0,-0.268883,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0.611538,0,0,-0.771977,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,-1.11166,0,0,0.934725,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,-1.31762,0,0,-0.073201,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,-0.629053,0,0,0.409241,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,-0.686254,0,0,0.691869,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0.706723,0,0,-0.12735,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0.519049,0,0,7.10856e-05,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,-0.232664,0,0,-0.780208,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,1.02747,0,0,-0.17586,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0.0622999,0,0,-0.23288,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,1.20229,0,0,0.0864718,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,0.237986,0,0,0.761414,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,-1.3298,0,0,0.501374,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,1.01784,0,0,0.10934,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,0.921038,0,0,0.92625,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,-1.80016,0,0,-0.865225,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,0.121917,0,0,-0.103886,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0.735289,0,0,0.234244,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,0.0418761,0,0,-0.524885,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,1.78794,0,0,-0.181347,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,1.44102,0,0,0.247692,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0.68424,0,0,0.396715,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,1.64974,0,0,-0.285314,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0.200295,0,0,-0.706207,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0.231535,0,0,-0.35076,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0.122522,0,0,0.561652,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0.19353,0,0,-0.337659,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,-0.238861,0,0,-0.527688,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,-0.190367,0,0,-0.52064,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,-0.0217903,0,0,1.23056,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0.0634496,0,0,-0.295691,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0.203955,0,0,0.112928,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,-0.303688,0,0,0.588344,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,-0.376068,0,0,0.432681,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,-1.38867,0,0,-0.642059,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,-0.747501,0,0,-0.695612,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0.0199691,0,0,0.682281,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.381193,0,0,0.124532,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0.257059,0,0,0.447989,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,-0.858116,0,0,0.770815,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,-0.636246,0,0,0.255763,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,-0.84121,0,0,-0.0947069,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,-0.246333,0,0,0.143102,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,-2.10537,0,0,0.329069,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0.620774,0,0,0.252856,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,-1.88708,0,0,0.280869,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0.491283,0,0,0.764643,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,-1.04179,0,0,-0.483916,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,-0.270499,0,0,0.0621255,69.0|103,1197
