rep,id,U,L,h,f,alpha,goes_down,mab_virus,run_id
1,8|152|8|152|sample|5|322|5|322|65.0,85993.3,769.188,0.159,0.713721,0.337313,True,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,85993.3,769.284,0.159,0.0052788,0.337313,True,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,85993.3,769.284,0.159,0.00209177,0.337313,True,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,85993.3,769.284,0.159,0.177575,0.337313,True,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,85993.3,769.284,0.159,0.101551,0.337313,True,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,85993.3,769.489,0.159,0.0029074,0.337313,True,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,85993.3,769.489,0.159,0.180058,0.337313,True,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,85993.3,766.53,0.159,593.819,0.337313,False,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,85993.3,766.53,0.159001,0.00107909,0.337313,False,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,85993.3,766.53,0.159,0.000401802,0.337313,False,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,85993.3,766.53,0.159,2.48647,0.337313,False,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,85993.3,766.53,0.159001,0.00658074,0.337313,False,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,85993.3,766.53,0.159,3.25805,0.337313,False,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,85993.3,766.53,0.159,0.24031,0.337313,False,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,85993.3,766.53,0.159,2.03968,0.337313,False,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,85993.3,766.53,0.159001,0.574747,0.337313,False,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,85993.3,766.53,0.159001,40.3542,0.337313,False,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,85993.3,766.53,0.159,213.356,0.337313,False,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,85993.3,766.53,0.159,0.00903093,0.337313,False,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,85993.3,766.53,0.159,78.4349,0.337313,False,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,85993.3,766.53,0.159,0.0855455,0.337313,False,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,85993.3,766.53,0.159,0.482378,0.337313,False,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,85993.3,766.53,0.159,0.00155898,0.337313,False,69.0|322,152
1,8|1159|8|1159|sample|8|292|8|292|65.0,85991.9,769.287,0.159,0.353264,0.337308,True,65.0|292,1159
