beta_L_mean_cc_713_75,-1.01696e-10,7.10203e-11,7.19788e-11,7.89628e-11,5.46207e-10,9.26137e-11,-0.708514,0.500076,0.504616,0.504351,1,0.503629,-8.67351e-11,6.91716e-11,5.90538e-11,3.4218e-12,6.25351e-10,2.25451e-11,-0.0205377,0.00683262,1.66121e-10,-2.34673e-10
beta_L_mean_cc_910_0,-1.49071e-11,1.56527e-11,1.15417e-11,-1.61478e-11,2.3962e-11,1.64967e-09,-0.711595,0.507545,0.509388,0.504075,0.503629,1,-9.94258e-12,1.15295e-11,7.08057e-12,-5.08242e-11,2.01902e-11,4.3718e-09,-0.0796133,0.0666479,1.22198e-10,-1.11879e-10
alpha_pop,0.862456,-0.573088,-0.572363,-0.675293,-0.625074,-0.776811,-5.96216e-13,-1.67994e-12,7.59395e-13,2.97452e-12,-8.67351e-11,-9.94258e-12,1,-0.794594,-0.677697,-0.111463,-0.143599,-0.216867,-7.46536e-12,7.53847e-12,-0.1103,0.194076
beta_alpha_mean_cc_643_5,-0.685268,0.831758,0.454769,0.536554,0.496551,0.617216,-3.76432e-12,3.08742e-10,4.78442e-12,-1.59752e-12,6.91716e-11,1.15295e-11,-0.794594,1,0.538494,0.088568,0.113969,0.172321,-4.81027e-11,4.8671e-11,0.0876086,-0.154046
beta_alpha_mean_cc_654_75,-0.584595,0.388458,0.849706,0.457746,0.423954,0.526536,4.05641e-13,1.13936e-12,-5.16669e-13,-2.00482e-12,5.90538e-11,7.08057e-12,-0.677697,0.538494,1,0.075539,0.0976957,0.147037,5.07843e-12,-5.1281e-12,0.0774771,-0.133876
beta_alpha_mean_cc_695_25,-0.0960594,0.0638198,0.0637413,0.61795,0.069399,0.0865145,6.09943e-11,-1.10808e-10,-7.77081e-11,9.20797e-09,3.4218e-12,-5.08242e-11,-0.111463,0.088568,0.075539,1,0.0157231,0.0241778,7.61799e-10,-7.69067e-10,0.0124645,-0.0214583
beta_alpha_mean_cc_713_75,-0.158279,0.10887,0.110851,0.127328,0.725047,0.143745,4.73073e-12,-5.19916e-12,-6.02375e-12,-3.94261e-12,6.25351e-10,2.01902e-11,-0.143599,0.113969,0.0976957,0.0157231,1,0.0359571,5.94005e-11,-5.99989e-11,0.225075,-0.312913
beta_alpha_mean_cc_910_0,-0.188404,0.125278,0.125374,0.147675,0.140004,0.537736,-6.85819e-12,1.41647e-11,8.63117e-12,2.80369e-13,2.25451e-11,4.3718e-09,-0.216867,0.172321,0.147037,0.0241778,0.0359571,1,-9.57938e-11,9.77274e-11,0.0480116,-0.0643902
acc,-8.70733e-12,-7.41052e-11,6.14901e-12,4.25256e-10,5.13097e-11,-2.86789e-11,0.0964514,-0.155544,-0.125028,-0.0277979,-0.0205377,-0.0796133,-7.46536e-12,-4.81027e-11,5.07843e-12,7.61799e-10,5.94005e-11,-9.57938e-11,1,-0.988955,1.28479e-11,-1.90038e-11
bcc,8.79188e-12,7.49757e-11,-6.20849e-12,-4.29314e-10,-5.18249e-11,2.93332e-11,-0.0779001,0.14348,0.0990785,0.0141936,0.00683262,0.0666479,7.53847e-12,4.8671e-11,-5.1281e-12,-7.69067e-10,-5.99989e-11,9.77274e-11,-0.988955,1,-1.29506e-11,1.91709e-11
avc,-0.154172,0.106387,0.116696,0.127414,0.262571,0.137463,1.04449e-12,1.7486e-12,-1.33277e-12,1.06395e-12,1.66121e-10,1.22198e-10,-0.1103,0.0876086,0.0774771,0.0124645,0.225075,0.0480116,1.28479e-11,-1.29506e-11,1,-0.948192
bvc,0.245711,-0.169962,-0.179447,-0.200743,-0.388345,-0.221546,-1.53288e-12,-3.3352e-12,1.95441e-12,2.47834e-12,-2.34673e-10,-1.11879e-10,0.194076,-0.154046,-0.133876,-0.0214583,-0.312913,-0.0643902,-1.90038e-11,1.91709e-11,-0.948192,1
