rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,14|394|14|394|sample|12|42|12|42|6.0,1.00001,0.830316,0.000712005,-0.315219,0.243469,0.377111,0.581838,True,6.0|42,394
1,14|394|14|394|sample|11|42|11|42|6.0,1.00001,0.830316,0.000712005,-0.315219,14.304,0.377111,0.581838,True,6.0|42,394
1,14|394|14|394|sample|3|42|3|42|63.0,1.00001,0.830316,0.000166424,-0.481244,0.0463119,0.377111,0.581838,True,63.0|42,394
1,14|394|14|394|sample|4|42|4|42|63.0,1.00001,0.830316,0.000166424,-0.481244,0.00460895,0.377111,0.581838,True,63.0|42,394
1,14|394|14|394|cc|1|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.169907,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|2|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.143934,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|3|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,1715.27,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|4|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.00642227,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|5|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.0153773,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|6|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,2.48241,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|7|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.613575,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|cc|8|1|42|1|42|69.0,1.00001,0.830316,0.000342656,2.66196,78.0985,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|1|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,283.926,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|2|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,4.94147,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|3|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.30494,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|4|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.541023,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|5|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,12.4472,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|6|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,1.05871,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|7|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.337625,0.377111,0.581838,False,69.0|42,394
1,14|394|14|394|vc|8|2|42|2|42|69.0,1.00001,0.830316,0.000342656,2.66196,0.137001,0.377111,0.581838,False,69.0|42,394
1,14|1099|14|1099|sample|3|73|3|73|6.0,1.04282,0.830308,0.00134292,-0.322698,0.0748933,0.377119,0.101442,True,6.0|73,1099
1,14|1099|14|1099|sample|4|73|4|73|6.0,1.04282,0.830308,0.00134292,-0.322698,0.00887428,0.377119,0.101442,True,6.0|73,1099
1,14|1099|14|1099|sample|5|73|5|73|6.0,1.04282,0.830308,0.00134292,-0.322698,0.0221988,0.377119,0.101442,True,6.0|73,1099
1,14|1099|14|1099|sample|6|73|6|73|6.0,1.04282,0.830308,0.00134292,-0.322698,0.0629543,0.377119,0.101442,True,6.0|73,1099
1,14|1099|14|1099|sample|8|73|8|73|6.0,1.04282,0.830308,0.00134292,-0.322698,10.5952,0.377119,0.101442,True,6.0|73,1099
1,14|1099|14|1099|sample|7|73|7|73|6.0,1.04282,0.830308,0.00134292,-0.322698,0.0948383,0.377119,0.101442,True,6.0|73,1099
