rep,id,eta_U,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|847|vc|7|2|69,0,-12.9877,-7.54485e-09,-0.742814,0,0,False,69.0|69,847
1,8|847|vc|8|2|69,0,-9.98961,4.9745e-08,2.17588,0,0,False,69.0|69,847
1,8|474|cc|1|1|276,0,12.1275,-2.25368e-08,-6.11857,0,0,False,69.0|276,474
1,8|474|cc|2|1|276,0,-20.0098,6.35897e-08,-3.16362,0,0,False,69.0|276,474
1,8|474|cc|3|1|276,0,-27.4353,-6.90793e-08,-5.58345,0,0,False,69.0|276,474
1,8|474|cc|4|1|276,0,8.00639,-4.83417e-10,1.29617,0,0,False,69.0|276,474
1,8|474|cc|5|1|276,0,2.79802,-5.47317e-09,2.96469,0,0,False,69.0|276,474
1,8|474|cc|6|1|276,0,-17.9682,4.56953e-08,2.00772,0,0,False,69.0|276,474
1,8|474|cc|7|1|276,0,-7.65948,5.37075e-09,-2.48798,0,0,False,69.0|276,474
1,8|474|cc|8|1|276,0,1.45322,2.52358e-08,0.581764,0,0,False,69.0|276,474
1,8|474|sample|10|276,0,-24.93,-3.14944e-08,3.8134,0,0,True,32.0|276,474
1,8|474|sample|11|276,0,-20.9086,3.88728e-08,2.15116,0,0,True,22.0|276,474
1,8|474|sample|12|276,0,-9.36717,1.67715e-08,2.10884,0,0,True,22.0|276,474
1,8|474|sample|3|276,0,-24.4902,-3.71945e-08,0.610595,0,0,True,55.0|276,474
1,8|474|sample|4|276,0,-24.3593,-3.23889e-08,0.879621,0,0,True,55.0|276,474
1,8|474|sample|5|276,0,-8.66121,7.36266e-08,0.650941,0,0,True,55.0|276,474
1,8|474|sample|6|276,0,-28.4345,-5.13103e-08,0.820696,0,0,True,55.0|276,474
1,8|474|sample|7|276,0,-20.125,-9.23701e-08,3.93228,0,0,True,32.0|276,474
1,8|474|sample|8|276,0,-9.2314,-3.70911e-08,3.74469,0,0,True,32.0|276,474
1,8|474|sample|9|276,0,-9.94061,-2.5134e-08,4.00529,0,0,True,32.0|276,474
1,8|474|vc|1|2|276,0,2.65102,1.2066e-08,-0.863839,0,0,False,69.0|276,474
1,8|474|vc|2|2|276,0,4.02248,-1.19958e-07,5.19436,0,0,False,69.0|276,474
1,8|474|vc|3|2|276,0,2.54846,1.51864e-08,-2.52719,0,0,False,69.0|276,474
1,8|474|vc|4|2|276,0,-2.36534,1.80212e-08,1.23829,0,0,False,69.0|276,474
1,8|474|vc|5|2|276,0,2.83893,9.07743e-08,-3.72854,0,0,False,69.0|276,474
1,8|474|vc|6|2|276,0,-3.07553,2.34086e-08,0.488549,0,0,False,69.0|276,474
1,8|474|vc|7|2|276,0,11.3838,-2.82811e-08,-2.76494,0,0,False,69.0|276,474
1,8|474|vc|8|2|276,0,-9.46202,-4.22762e-08,-0.961031,0,0,False,69.0|276,474
1,8|462|cc|1|1|292,0,11.5652,-5.59843e-08,0.508311,0,0,False,69.0|292,462
1,8|462|cc|2|1|292,0,-8.699,-8.21487e-08,1.07477,0,0,False,69.0|292,462
1,8|462|cc|3|1|292,0,18.0907,-4.32471e-08,1.29698,0,0,False,69.0|292,462
1,8|462|cc|4|1|292,0,-15.0721,6.94873e-08,-1.79779,0,0,False,69.0|292,462
1,8|462|cc|5|1|292,0,-9.10235,-1.38471e-08,-0.830603,0,0,False,69.0|292,462
1,8|462|cc|6|1|292,0,-20.9007,-1.59462e-08,-1.58319,0,0,False,69.0|292,462
1,8|462|cc|7|1|292,0,-26.0755,-5.34822e-08,1.50458,0,0,False,69.0|292,462
1,8|462|cc|8|1|292,0,6.51077,-1.1792e-09,4.37854,0,0,False,69.0|292,462
1,8|462|sample|10|292,0,-14.647,-2.95628e-08,3.60308,0,0,True,32.0|292,462
1,8|462|sample|11|292,0,-15.1155,2.03965e-08,1.19924,0,0,True,22.0|292,462
1,8|462|sample|12|292,0,-8.13306,4.72669e-08,1.34153,0,0,True,22.0|292,462
1,8|462|sample|3|292,0,-17.9922,1.66328e-08,0.29258,0,0,True,55.0|292,462
1,8|462|sample|4|292,0,-12.0862,7.67773e-08,0.284095,0,0,True,55.0|292,462
1,8|462|sample|5|292,0,-17.4481,-6.04829e-08,-0.401588,0,0,True,55.0|292,462
1,8|462|sample|6|292,0,-38.5309,1.13009e-07,-0.0297531,0,0,True,55.0|292,462
1,8|462|sample|7|292,0,-8.32425,-6.45251e-08,3.25868,0,0,True,32.0|292,462
1,8|462|sample|8|292,0,-19.276,3.99771e-10,3.44076,0,0,True,32.0|292,462
1,8|462|sample|9|292,0,-9.92604,-7.57045e-09,3.37834,0,0,True,32.0|292,462
1,8|462|vc|1|2|292,0,13.1974,-8.61901e-08,-2.33578,0,0,False,69.0|292,462
1,8|462|vc|2|2|292,0,-4.49035,1.12591e-08,-1.73586,0,0,False,69.0|292,462
1,8|462|vc|3|2|292,0,14.8773,3.12315e-09,1.67504,0,0,False,69.0|292,462
1,8|462|vc|4|2|292,0,-16.2035,5.52418e-09,-0.36907,0,0,False,69.0|292,462
1,8|462|vc|5|2|292,0,-27.6061,-4.60982e-08,-4.06378,0,0,False,69.0|292,462
1,8|462|vc|6|2|292,0,-12.0037,3.4679e-08,1.00445,0,0,False,69.0|292,462
1,8|462|vc|7|2|292,0,-27.3777,-1.39559e-07,0.318944,0,0,False,69.0|292,462
1,8|462|vc|8|2|292,0,25.5742,8.39864e-09,0.141199,0,0,False,69.0|292,462
1,8|75|cc|1|1|65,0,8.68805,3.29261e-08,0.108804,0,0,False,69.0|65,75
1,8|75|cc|2|1|65,0,-29.3155,7.25048e-08,-2.24058,0,0,False,69.0|65,75
1,8|75|cc|3|1|65,0,-18.2029,2.05763e-08,0.879597,0,0,False,69.0|65,75
1,8|75|cc|4|1|65,0,-9.53121,2.04185e-08,-3.49917,0,0,False,69.0|65,75
1,8|75|cc|5|1|65,0,29.2083,-3.0566e-08,5.25984,0,0,False,69.0|65,75
1,8|75|cc|6|1|65,0,-5.08407,1.16191e-08,-0.0633942,0,0,False,69.0|65,75
1,8|75|cc|7|1|65,0,19.6178,8.09269e-08,-3.32385,0,0,False,69.0|65,75
1,8|75|cc|8|1|65,0,6.3184,5.5764e-08,4.11655,0,0,False,69.0|65,75
1,8|75|sample|10|65,0,-4.12296,3.13867e-08,-0.200411,0,0,True,32.0|65,75
1,8|75|sample|11|65,0,-5.26036,4.12313e-08,2.90469,0,0,True,22.0|65,75
1,8|75|sample|12|65,0,-5.47554,4.1694e-08,3.35632,0,0,True,22.0|65,75
1,8|75|sample|3|65,0,-16.5065,8.0851e-09,3.98945,0,0,True,55.0|65,75
1,8|75|sample|4|65,0,-11.9414,-7.93799e-08,4.29873,0,0,True,55.0|65,75
1,8|75|sample|5|65,0,-3.75364,-8.88067e-08,4.46886,0,0,True,55.0|65,75
1,8|75|sample|6|65,0,-4.90336,-1.33342e-08,3.71551,0,0,True,55.0|65,75
1,8|75|sample|7|65,0,-7.53223,4.54632e-08,0.0863961,0,0,True,32.0|65,75
1,8|75|sample|8|65,0,-4.07109,-6.4092e-08,0.0554865,0,0,True,32.0|65,75
1,8|75|sample|9|65,0,-14.9716,3.5052e-08,-0.60552,0,0,True,32.0|65,75
1,8|75|vc|1|2|65,0,21.2376,-5.49789e-09,-0.471701,0,0,False,69.0|65,75
1,8|75|vc|2|2|65,0,28.3667,7.26948e-08,-1.04564,0,0,False,69.0|65,75
1,8|75|vc|3|2|65,0,-3.19866,5.76418e-08,0.648073,0,0,False,69.0|65,75
1,8|75|vc|4|2|65,0,15.2612,3.66978e-09,-1.05914,0,0,False,69.0|65,75
1,8|75|vc|5|2|65,0,-21.555,-4.04915e-08,2.14839,0,0,False,69.0|65,75
1,8|75|vc|6|2|65,0,-1.84046,1.24383e-08,9.49838,0,0,False,69.0|65,75
1,8|75|vc|7|2|65,0,-24.3451,-8.60619e-08,-0.509798,0,0,False,69.0|65,75
1,8|75|vc|8|2|65,0,3.03698,-2.80405e-08,2.54466,0,0,False,69.0|65,75
1,8|291|cc|1|1|103,0,2.0599,-3.70565e-08,3.11813,0,0,False,69.0|103,291
1,8|291|cc|2|1|103,0,-22.1843,-1.10717e-08,0.688547,0,0,False,69.0|103,291
1,8|291|cc|3|1|103,0,-7.26153,3.33245e-08,-0.918812,0,0,False,69.0|103,291
1,8|291|cc|4|1|103,0,-1.86907,6.56948e-08,2.1624,0,0,False,69.0|103,291
1,8|291|cc|5|1|103,0,-26.6715,-5.2117e-08,-5.9853,0,0,False,69.0|103,291
1,8|291|cc|6|1|103,0,9.73259,-2.49239e-08,-1.2997,0,0,False,69.0|103,291
1,8|291|cc|7|1|103,0,-1.59216,-1.10256e-08,1.1622,0,0,False,69.0|103,291
1,8|291|cc|8|1|103,0,-19.9532,-7.72398e-08,-8.26242,0,0,False,69.0|103,291
1,8|291|sample|10|103,0,-25.3331,1.59788e-08,3.55376,0,0,True,32.0|103,291
1,8|291|sample|11|103,0,-10.5978,4.52258e-08,4.00361,0,0,True,22.0|103,291
1,8|291|sample|12|103,0,-34.3414,-6.1673e-08,3.58532,0,0,True,22.0|103,291
1,8|291|sample|3|103,0,-15.9975,-2.09033e-08,0.605128,0,0,True,55.0|103,291
1,8|291|sample|4|103,0,-8.02624,4.09148e-08,0.662259,0,0,True,55.0|103,291
1,8|291|sample|5|103,0,-9.01139,1.84976e-08,0.807494,0,0,True,55.0|103,291
1,8|291|sample|6|103,0,-22.2763,5.54747e-09,0.583403,0,0,True,55.0|103,291
1,8|291|sample|7|103,0,-26.1509,-1.24814e-07,3.42973,0,0,True,32.0|103,291
1,8|291|sample|8|103,0,-6.74335,-6.21902e-08,3.45406,0,0,True,32.0|103,291
1,8|291|sample|9|103,0,-11.7306,5.97287e-08,3.44355,0,0,True,32.0|103,291
1,8|291|vc|1|2|103,0,-25.2502,-1.21073e-07,1.50354,0,0,False,69.0|103,291
1,8|291|vc|2|2|103,0,-1.29751,-5.48108e-08,2.17868,0,0,False,69.0|103,291
1,8|291|vc|3|2|103,0,-17.2114,6.61712e-08,-0.891091,0,0,False,69.0|103,291
1,8|291|vc|4|2|103,0,-18.8592,-7.17925e-08,6.90625,0,0,False,69.0|103,291
1,8|291|vc|5|2|103,0,-23.0748,4.37971e-08,0.343585,0,0,False,69.0|103,291
1,8|291|vc|6|2|103,0,-10.4689,-2.21808e-08,-1.58892,0,0,False,69.0|103,291
1,8|291|vc|7|2|103,0,18.8944,-1.15664e-07,2.21328,0,0,False,69.0|103,291
1,8|291|vc|8|2|103,0,-3.59427,3.50016e-08,5.26575,0,0,False,69.0|103,291
1,8|77|cc|1|1|218,0,27.7159,-1.85127e-08,-4.07726,0,0,False,69.0|218,77
1,8|77|cc|2|1|218,0,-24.8284,-9.10651e-09,4.45018,0,0,False,69.0|218,77
1,8|77|cc|3|1|218,0,19.2853,-4.95592e-08,4.11778,0,0,False,69.0|218,77
1,8|77|cc|4|1|218,0,0.919311,-1.6404e-08,0.86684,0,0,False,69.0|218,77
1,8|77|cc|5|1|218,0,-2.54841,3.12815e-09,3.08982,0,0,False,69.0|218,77
1,8|77|cc|6|1|218,0,-17.7133,-5.27947e-08,5.28159,0,0,False,69.0|218,77
1,8|77|cc|7|1|218,0,0.570524,2.99349e-08,9.57609,0,0,False,69.0|218,77
1,8|77|cc|8|1|218,0,-17.687,-1.17819e-08,0.395104,0,0,False,69.0|218,77
1,8|77|sample|10|218,0,-4.67982,-4.37983e-08,3.49293,0,0,True,32.0|218,77
1,8|77|sample|11|218,0,-33.5583,-1.12872e-07,3.12874,0,0,True,22.0|218,77
1,8|77|sample|12|218,0,-20.516,-1.8906e-08,3.15401,0,0,True,22.0|218,77
1,8|77|sample|3|218,0,-4.64488,-4.10799e-08,5.84116,0,0,True,55.0|218,77
1,8|77|sample|4|218,0,-5.10284,-9.02794e-08,5.78249,0,0,True,55.0|218,77
1,8|77|sample|5|218,0,-4.62355,-8.0451e-08,6.11236,0,0,True,55.0|218,77
1,8|77|sample|6|218,0,-4.60237,1.16764e-07,6.14909,0,0,True,55.0|218,77
1,8|77|sample|7|218,0,-12.111,1.68424e-09,3.08451,0,0,True,32.0|218,77
1,8|77|sample|8|218,0,-7.61344,-3.23078e-08,3.08878,0,0,True,32.0|218,77
1,8|77|sample|9|218,0,-6.17519,2.45547e-08,3.19286,0,0,True,32.0|218,77
1,8|77|vc|1|2|218,0,-3.63738,4.89514e-09,6.25881,0,0,False,69.0|218,77
1,8|77|vc|2|2|218,0,16.7323,-6.10819e-08,1.61263,0,0,False,69.0|218,77
1,8|77|vc|3|2|218,0,8.92543,5.20713e-08,-0.0426723,0,0,False,69.0|218,77
1,8|77|vc|4|2|218,0,0.0873379,3.71405e-08,-2.46695,0,0,False,69.0|218,77
1,8|77|vc|5|2|218,0,-5.99581,-6.53941e-08,6.28423,0,0,False,69.0|218,77
1,8|77|vc|6|2|218,0,-19.3728,-5.45301e-08,1.62952,0,0,False,69.0|218,77
1,8|77|vc|7|2|218,0,15.1681,-6.51931e-08,-0.915124,0,0,False,69.0|218,77
1,8|77|vc|8|2|218,0,21.0858,-1.20108e-08,-0.813512,0,0,False,69.0|218,77
1,8|322|cc|1|1|174,0,12.0277,-4.24329e-08,5.2872,0,0,False,69.0|174,322
1,8|322|cc|2|1|174,0,-16.7757,-1.02054e-08,-0.570995,0,0,False,69.0|174,322
1,8|322|cc|3|1|174,0,0.116803,-7.7225e-08,0.4106,0,0,False,69.0|174,322
1,8|322|cc|4|1|174,0,-14.873,-1.11805e-07,2.04779,0,0,False,69.0|174,322
1,8|322|cc|5|1|174,0,2.91485,-4.17072e-08,1.30465,0,0,False,69.0|174,322
1,8|322|cc|6|1|174,0,10.9824,-5.04208e-08,6.48519,0,0,False,69.0|174,322
1,8|322|cc|7|1|174,0,-4.94057,9.03622e-08,-3.04527,0,0,False,69.0|174,322
1,8|322|cc|8|1|174,0,32.4995,1.49725e-08,-0.435478,0,0,False,69.0|174,322
1,8|322|sample|10|174,0,-24.0906,1.07491e-07,4.59435,0,0,True,32.0|174,322
1,8|322|sample|11|174,0,-7.65895,7.70625e-08,3.98599,0,0,True,22.0|174,322
1,8|322|sample|12|174,0,-15.3297,-9.51162e-08,4.23057,0,0,True,22.0|174,322
1,8|322|sample|3|174,0,-5.47316,-1.31498e-07,5.46519,0,0,True,55.0|174,322
1,8|322|sample|4|174,0,-29.9793,-5.22997e-08,4.92339,0,0,True,55.0|174,322
1,8|322|sample|5|174,0,-5.2465,-5.83844e-09,5.27153,0,0,True,55.0|174,322
1,8|322|sample|6|174,0,-5.90683,2.6979e-09,5.31064,0,0,True,55.0|174,322
1,8|322|sample|7|174,0,-8.06852,-2.90302e-08,4.23778,0,0,True,32.0|174,322
1,8|322|sample|8|174,0,-13.2051,4.77319e-08,4.12899,0,0,True,32.0|174,322
1,8|322|sample|9|174,0,-6.69481,1.08517e-08,4.2135,0,0,True,32.0|174,322
1,8|322|vc|1|2|174,0,-4.32491,-3.72007e-08,-0.467318,0,0,False,69.0|174,322
1,8|322|vc|2|2|174,0,-5.62014,4.48391e-08,2.41517,0,0,False,69.0|174,322
1,8|322|vc|3|2|174,0,-15.2687,-1.58743e-08,2.66968,0,0,False,69.0|174,322
1,8|322|vc|4|2|174,0,16.2619,-2.87125e-08,-1.37033,0,0,False,69.0|174,322
1,8|322|vc|5|2|174,0,-25.6215,4.98773e-08,-2.1275,0,0,False,69.0|174,322
1,8|322|vc|6|2|174,0,9.06662,-3.11195e-09,-1.93133,0,0,False,69.0|174,322
1,8|322|vc|7|2|174,0,20.862,-3.84357e-08,4.62618,0,0,False,69.0|174,322
1,8|322|vc|8|2|174,0,-11.6487,6.85769e-08,-1.42947,0,0,False,69.0|174,322
1,8|963|cc|1|1|319,0,-25.0804,8.07934e-08,-3.67019,0,0,False,69.0|319,963
1,8|963|cc|2|1|319,0,-33.252,-2.17874e-08,1.35443,0,0,False,69.0|319,963
1,8|963|cc|3|1|319,0,-22.6205,6.17713e-08,-3.45133,0,0,False,69.0|319,963
1,8|963|cc|4|1|319,0,-18.356,-6.48292e-08,1.15054,0,0,False,69.0|319,963
1,8|963|cc|5|1|319,0,-8.0317,-2.58644e-08,-2.78888,0,0,False,69.0|319,963
1,8|963|cc|6|1|319,0,-0.317351,7.30691e-08,0.805814,0,0,False,69.0|319,963
1,8|963|cc|7|1|319,0,16.8179,-5.00958e-08,0.68321,0,0,False,69.0|319,963
1,8|963|cc|8|1|319,0,-3.77875,-6.42737e-08,1.99621,0,0,False,69.0|319,963
1,8|963|sample|10|319,0,-5.94515,7.13938e-08,4.15008,0,0,True,32.0|319,963
1,8|963|sample|11|319,0,-12.6717,4.66729e-08,2.40493,0,0,True,22.0|319,963
1,8|963|sample|12|319,0,-25.0859,3.64385e-08,2.43404,0,0,True,22.0|319,963
1,8|963|sample|3|319,0,-5.32172,-4.97095e-08,6.39321,0,0,True,55.0|319,963
1,8|963|sample|4|319,0,-5.71274,2.42867e-08,6.33661,0,0,True,55.0|319,963
1,8|963|sample|5|319,0,-5.69817,9.35988e-08,6.64024,0,0,True,55.0|319,963
1,8|963|sample|6|319,0,-5.92255,5.79392e-08,6.75561,0,0,True,55.0|319,963
1,8|963|sample|7|319,0,-5.91539,6.05171e-08,4.20457,0,0,True,32.0|319,963
1,8|963|sample|8|319,0,-25.8297,4.15377e-08,3.87835,0,0,True,32.0|319,963
1,8|963|sample|9|319,0,-18.9298,-5.41591e-08,4.17298,0,0,True,32.0|319,963
