rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|75|cc|7|1|65,0,-6.96734e-06,0,0.164302,0,0,False,69.0|65,75
1,8|75|cc|8|1|65,0,1.78236e-07,0,-0.131107,0,0,False,69.0|65,75
1,8|75|sample|10|65,0,-2.20343e-07,0,-0.185185,0,0,True,32.0|65,75
1,8|75|sample|11|65,0,-6.7944e-06,0,0.118189,0,0,True,22.0|65,75
1,8|75|sample|12|65,0,-4.08298e-07,0,-0.374556,0,0,True,22.0|65,75
1,8|75|sample|3|65,0,-1.66002e-06,0,-0.0546407,0,0,True,55.0|65,75
1,8|75|sample|4|65,0,3.05203e-06,0,-0.00616058,0,0,True,55.0|65,75
1,8|75|sample|5|65,0,1.55427e-06,0,-0.0119733,0,0,True,55.0|65,75
1,8|75|sample|6|65,0,-7.42701e-06,0,-0.109468,0,0,True,55.0|65,75
1,8|75|sample|7|65,0,-2.57131e-06,0,-0.215515,0,0,True,32.0|65,75
1,8|75|sample|8|65,0,-1.03244e-07,0,-0.172836,0,0,True,32.0|65,75
1,8|75|sample|9|65,0,1.87447e-06,0,-0.37206,0,0,True,32.0|65,75
1,8|75|vc|1|2|65,0,-4.6436e-06,0,-0.134928,0,0,False,69.0|65,75
1,8|75|vc|2|2|65,0,-2.03976e-06,0,0.139958,0,0,False,69.0|65,75
1,8|75|vc|3|2|65,0,-3.32165e-06,0,0.0770713,0,0,False,69.0|65,75
1,8|75|vc|4|2|65,0,7.81517e-06,0,0.0446238,0,0,False,69.0|65,75
1,8|75|vc|5|2|65,0,1.05606e-05,0,-0.0223428,0,0,False,69.0|65,75
1,8|75|vc|6|2|65,0,3.38448e-06,0,-0.215675,0,0,False,69.0|65,75
1,8|75|vc|7|2|65,0,1.47909e-06,0,-0.00362679,0,0,False,69.0|65,75
1,8|75|vc|8|2|65,0,4.67881e-09,0,0.0464504,0,0,False,69.0|65,75
1,8|291|cc|1|1|103,0,-8.87026e-06,0,0.172894,0,0,False,69.0|103,291
1,8|291|cc|2|1|103,0,-4.12812e-07,0,0.376316,0,0,False,69.0|103,291
1,8|291|cc|3|1|103,0,-1.36996e-05,0,0.168638,0,0,False,69.0|103,291
1,8|291|cc|4|1|103,0,-8.7962e-06,0,0.0466379,0,0,False,69.0|103,291
1,8|291|cc|5|1|103,0,5.28257e-06,0,-0.198171,0,0,False,69.0|103,291
1,8|291|cc|6|1|103,0,1.56228e-06,0,0.24933,0,0,False,69.0|103,291
1,8|291|cc|7|1|103,0,7.48349e-07,0,-0.0666165,0,0,False,69.0|103,291
1,8|291|cc|8|1|103,0,-1.87796e-06,0,-0.108471,0,0,False,69.0|103,291
1,8|291|sample|10|103,0,8.63911e-06,0,0.0523786,0,0,True,32.0|103,291
1,8|291|sample|11|103,0,-6.2573e-06,0,0.12538,0,0,True,22.0|103,291
1,8|291|sample|12|103,0,1.17994e-05,0,0.0373248,0,0,True,22.0|103,291
1,8|291|sample|3|103,0,1.29821e-05,0,0.166072,0,0,True,55.0|103,291
1,8|291|sample|4|103,0,5.35202e-06,0,-0.208373,0,0,True,55.0|103,291
1,8|291|sample|5|103,0,-7.60464e-06,0,-0.00657816,0,0,True,55.0|103,291
1,8|291|sample|6|103,0,4.56436e-06,0,0.0457516,0,0,True,55.0|103,291
1,8|291|sample|7|103,0,2.29863e-05,0,0.139535,0,0,True,32.0|103,291
1,8|291|sample|8|103,0,3.48007e-07,0,-0.0159542,0,0,True,32.0|103,291
1,8|291|sample|9|103,0,3.54608e-06,0,0.0529254,0,0,True,32.0|103,291
1,8|291|vc|1|2|103,0,3.33961e-06,0,-0.341591,0,0,False,69.0|103,291
1,8|291|vc|2|2|103,0,-1.72417e-05,0,-0.0672161,0,0,False,69.0|103,291
1,8|291|vc|3|2|103,0,-5.31902e-06,0,0.0905877,0,0,False,69.0|103,291
1,8|291|vc|4|2|103,0,8.07756e-06,0,0.210627,0,0,False,69.0|103,291
1,8|291|vc|5|2|103,0,1.50447e-06,0,0.244798,0,0,False,69.0|103,291
1,8|291|vc|6|2|103,0,8.22463e-06,0,0.176725,0,0,False,69.0|103,291
1,8|291|vc|7|2|103,0,-1.29971e-06,0,0.144494,0,0,False,69.0|103,291
1,8|291|vc|8|2|103,0,-4.96883e-06,0,0.202557,0,0,False,69.0|103,291
1,8|77|cc|1|1|218,0,4.25925e-06,0,0.206989,0,0,False,69.0|218,77
1,8|77|cc|2|1|218,0,6.54688e-06,0,0.0350168,0,0,False,69.0|218,77
1,8|77|cc|3|1|218,0,-6.78114e-07,0,-0.119169,0,0,False,69.0|218,77
1,8|77|cc|4|1|218,0,3.06881e-06,0,0.0959398,0,0,False,69.0|218,77
1,8|77|cc|5|1|218,0,-2.9306e-06,0,-0.172366,0,0,False,69.0|218,77
1,8|77|cc|6|1|218,0,-3.05486e-06,0,-0.123181,0,0,False,69.0|218,77
1,8|77|cc|7|1|218,0,-6.30154e-06,0,-0.153961,0,0,False,69.0|218,77
1,8|77|cc|8|1|218,0,1.29067e-05,0,0.0639148,0,0,False,69.0|218,77
1,8|77|sample|10|218,0,-1.41836e-05,0,-0.00795367,0,0,True,32.0|218,77
1,8|77|sample|11|218,0,-7.40011e-06,0,-0.100929,0,0,True,22.0|218,77
1,8|77|sample|12|218,0,-6.69876e-08,0,0.137259,0,0,True,22.0|218,77
1,8|77|sample|3|218,0,-5.7591e-06,0,0.111052,0,0,True,55.0|218,77
1,8|77|sample|4|218,0,6.0005e-07,0,0.0256547,0,0,True,55.0|218,77
1,8|77|sample|5|218,0,-2.08558e-06,0,-0.1251,0,0,True,55.0|218,77
1,8|77|sample|6|218,0,2.06677e-05,0,0.0191034,0,0,True,55.0|218,77
1,8|77|sample|7|218,0,7.76721e-06,0,-0.183559,0,0,True,32.0|218,77
1,8|77|sample|8|218,0,-1.27586e-05,0,0.0633962,0,0,True,32.0|218,77
1,8|77|sample|9|218,0,-2.03615e-05,0,-0.0110553,0,0,True,32.0|218,77
1,8|77|vc|1|2|218,0,1.04658e-05,0,0.174522,0,0,False,69.0|218,77
1,8|77|vc|2|2|218,0,5.81244e-06,0,0.0112937,0,0,False,69.0|218,77
1,8|77|vc|3|2|218,0,1.57274e-05,0,-0.0506971,0,0,False,69.0|218,77
1,8|77|vc|4|2|218,0,1.4122e-05,0,0.0528977,0,0,False,69.0|218,77
1,8|77|vc|5|2|218,0,-6.86438e-06,0,-0.0649222,0,0,False,69.0|218,77
1,8|77|vc|6|2|218,0,-2.03313e-06,0,0.134032,0,0,False,69.0|218,77
1,8|77|vc|7|2|218,0,7.32808e-06,0,0.0653744,0,0,False,69.0|218,77
1,8|77|vc|8|2|218,0,5.32057e-06,0,0.0816319,0,0,False,69.0|218,77
1,8|322|cc|1|1|174,0,-1.54785e-05,0,0.26375,0,0,False,69.0|174,322
