id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|491|vc|3|2|99,2.72517e-07,0.0418207,0.254954,0,0,-2.27374e-13,-2.46456e-08,-2.023e-07,0,0,False,69.0|99,491
14|491|vc|4|2|99,1.14509e-07,-0.0310187,0.216675,0,0,-1.13687e-13,1.34028e-07,-2.86886e-07,0,0,False,69.0|99,491
14|491|vc|5|2|99,2.81819e-07,-0.0272836,-0.122786,0,0,-6.82121e-13,-8.14242e-08,-6.94193e-07,0,0,False,69.0|99,491
14|491|vc|6|2|99,2.49663e-07,-0.0384366,0.251705,0,0,-3.41061e-13,-2.86677e-09,-4.58951e-07,0,0,False,69.0|99,491
14|491|vc|7|2|99,-6.13161e-08,-0.0511196,0.171604,0,0,9.09495e-13,6.36104e-08,3.93189e-07,0,0,False,69.0|99,491
14|491|vc|8|2|99,1.27087e-07,0.0168232,-0.182402,0,0,-6.82121e-13,-7.13576e-08,-1.0779e-07,0,0,False,69.0|99,491
14|433|sample|4|99,9.78384e-08,-0.787203,3.97148,0,0,2.27374e-13,-0.754904,3.74444,0,0,True,6.0|99,433
14|433|sample|3|99,-1.78054e-07,-0.430418,2.38652,0,0,3.41061e-12,-0.386328,2.30364,0,0,True,6.0|99,433
14|433|sample|6|99,-4.13619e-07,-0.2965,-1.43359,0,0,4.3201e-12,-0.297872,-1.42399,0,0,True,6.0|99,433
14|433|sample|5|99,5.90969e-08,-0.402672,-1.11405,0,0,-2.50111e-12,-0.448641,-1.02747,0,0,True,6.0|99,433
14|433|sample|8|99,4.99656e-08,0.0448364,2.63285,0,0,-4.77485e-12,0.0735454,2.604,0,0,True,6.0|99,433
14|433|sample|7|99,-3.6255e-07,0.217864,2.44701,0,0,1.45519e-11,0.182343,2.50638,0,0,True,6.0|99,433
14|433|sample|10|99,3.86327e-07,-0.156886,0.522485,0,0,-6.82121e-12,-0.139143,0.519983,0,0,True,6.0|99,433
14|433|sample|9|99,1.49501e-07,-0.100826,0.56727,0,0,2.95586e-12,-0.112809,0.564357,0,0,True,6.0|99,433
14|433|sample|11|99,6.71218e-08,-0.241524,-0.684872,0,0,-4.3201e-12,-0.276155,-0.652231,0,0,True,6.0|99,433
14|433|sample|12|99,1.51511e-08,-0.386349,-0.300559,0,0,5.00222e-12,-0.414977,-0.252546,0,0,True,6.0|99,433
14|433|cc|1|1|99,5.73884e-08,0.00699201,-0.151364,0,0,3.41061e-13,-2.38764e-08,2.03047e-07,0,0,False,69.0|99,433
14|433|cc|2|1|99,-9.35504e-08,-0.0418888,0.105445,0,0,2.27374e-13,4.43506e-09,-3.26023e-07,0,0,False,69.0|99,433
14|433|cc|3|1|99,1.81437e-07,-0.0151114,0.0956176,0,0,-3.41061e-13,5.7196e-08,2.35954e-07,0,0,False,69.0|99,433
14|433|cc|4|1|99,-1.33319e-07,0.00746858,0.174953,0,0,-2.27374e-13,2.73275e-08,-3.90596e-07,0,0,False,69.0|99,433
14|433|cc|5|1|99,1.15407e-07,-0.001673,-0.143749,0,0,-2.27374e-13,-6.20066e-08,3.10345e-07,0,0,False,69.0|99,433
14|433|cc|6|1|99,1.26124e-07,0.0628778,-0.20482,0,0,-2.27374e-13,1.34431e-07,1.50002e-07,0,0,False,69.0|99,433
14|433|cc|7|1|99,1.66654e-07,0.045393,-0.0976028,0,0,0.0,-9.52028e-08,-1.07009e-07,0,0,False,69.0|99,433
14|433|cc|8|1|99,4.56465e-08,0.0941935,0.0903206,0,0,-2.27374e-13,3.71554e-08,-3.74297e-07,0,0,False,69.0|99,433
14|433|vc|1|2|99,1.23791e-07,-0.0296274,0.0250846,0,0,-4.54747e-13,1.45066e-08,-8.56013e-08,0,0,False,69.0|99,433
14|433|vc|2|2|99,-3.34156e-07,0.0128089,0.414893,0,0,-2.27374e-13,1.3098e-07,1.6503e-07,0,0,False,69.0|99,433
14|433|vc|3|2|99,-3.00052e-07,-0.0195474,-0.0407149,0,0,-4.54747e-13,-8.89245e-08,-3.98666e-07,0,0,False,69.0|99,433
14|433|vc|4|2|99,1.14065e-07,0.0118543,-0.126856,0,0,0.0,6.21028e-08,1.91124e-07,0,0,False,69.0|99,433
14|433|vc|5|2|99,-9.82182e-08,-0.0199891,-0.0718001,0,0,-3.41061e-13,4.10253e-08,-2.3548e-07,0,0,False,69.0|99,433
14|433|vc|6|2|99,2.2459e-07,-0.057518,-0.169349,0,0,-4.54747e-13,-6.69027e-08,8.96907e-08,0,0,False,69.0|99,433
14|433|vc|7|2|99,3.39717e-07,-0.0415266,-0.0850396,0,0,-7.95808e-13,-5.07196e-08,-4.50692e-07,0,0,False,69.0|99,433
14|433|vc|8|2|99,6.1671e-09,0.00991456,0.0262465,0,0,1.59162e-12,-3.0502e-07,8.31378e-07,0,0,False,69.0|99,433
14|297|sample|3|71,2.7155e-08,-0.421943,-0.595567,0,0,2.04636e-12,-0.450233,-0.542522,0,0,True,6.0|71,297
14|297|sample|4|71,3.02478e-07,-0.43018,-0.624313,0,0,-6.82121e-12,-0.461322,-0.550209,0,0,True,6.0|71,297
14|297|sample|5|71,-5.60588e-08,0.430241,1.55623,0,0,-4.09273e-12,0.349277,1.59816,0,0,True,6.0|71,297
14|297|sample|6|71,-4.5102e-07,0.420638,1.48055,0,0,1.25056e-12,0.348332,1.5177,0,0,True,6.0|71,297
14|297|sample|8|71,-4.56259e-07,0.313943,0.540961,0,0,1.36424e-12,0.25879,0.567399,0,0,True,6.0|71,297
14|297|sample|7|71,1.06516e-07,0.387258,0.611292,0,0,-2.27374e-12,0.37419,0.629576,0,0,True,6.0|71,297
14|297|sample|9|71,-5.57072e-07,0.721252,1.11871,0,0,4.54747e-13,0.637108,1.1412,0,0,True,6.0|71,297
14|297|sample|10|71,2.45417e-07,0.39713,1.39091,0,0,-4.66116e-12,0.491875,1.28223,0,0,True,6.0|71,297
14|297|sample|12|71,3.58947e-07,-0.611238,-1.66163,0,0,-1.13687e-13,-0.54872,-1.77174,0,0,True,6.0|71,297
14|297|sample|11|71,-8.10904e-07,-0.208654,-2.60333,0,0,-2.27374e-12,-0.264212,-2.51724,0,0,True,6.0|71,297
