id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|488|cc|2|1|322,1,1.10818e-06,0.491423,651.961,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|3|1|322,1,1.88442e-06,0.472509,741.152,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|4|1|322,1,4.13264e-07,0.486951,619.394,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|5|1|322,1,1.43812e-06,0.462586,529.104,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|6|1|322,1,1.30076e-06,0.462166,531.484,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|7|1|322,1,4.51271e-07,0.461746,534.073,0.133484,4.59541e-16,1,7.95394e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|cc|8|1|322,1,2.90549e-06,0.48296,599.687,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|sample|10|322,1,0.00452501,0.508731,19.1587,0.133484,4.59541e-16,1,1.60556e-06,0.4821,20.4539,0.134432,4.62212e-16,True,32.0|322,488
8|488|sample|11|322,1,2.47395e-05,1.04477,8.99714,0.133484,4.59541e-16,1,1.59601e-06,1.04253,9.1157,0.134432,4.62212e-16,True,22.0|322,488
8|488|sample|12|322,1,8.24497e-05,1.03528,11.85,0.133484,4.59541e-16,1,1.61581e-06,1.02741,11.9705,0.134432,4.62212e-16,True,22.0|322,488
8|488|sample|3|322,1,6.83287e-05,1.27476,0.305107,0.133484,4.59541e-16,1,1.60153e-06,1.28512,0.320162,0.134432,4.62212e-16,True,55.0|322,488
8|488|sample|4|322,1,2.42802e-05,1.36135,0.260756,0.133484,4.59541e-16,1,1.60152e-06,1.3157,0.287818,0.134432,4.62212e-16,True,55.0|322,488
8|488|sample|5|322,1,0.000114058,1.16244,0.300874,0.133484,4.59541e-16,1,1.60226e-06,1.19884,0.275828,0.134432,4.62212e-16,True,55.0|322,488
8|488|sample|6|322,1,0.000256914,1.20189,0.248829,0.133484,4.59541e-16,1,1.60177e-06,1.18326,0.265976,0.134432,4.62212e-16,True,55.0|322,488
8|488|sample|7|322,1,7.68157e-06,0.564877,10.4976,0.133484,4.59541e-16,1,1.6035e-06,0.57723,9.30718,0.134432,4.62212e-16,True,32.0|322,488
8|488|sample|8|322,1,2.13189e-05,0.587921,8.8707,0.133484,4.59541e-16,1,1.60397e-06,0.57965,9.73873,0.134432,4.62212e-16,True,32.0|322,488
8|488|sample|9|322,1,0.00024328,0.505732,14.4528,0.133484,4.59541e-16,1,1.60559e-06,0.500768,15.2863,0.134432,4.62212e-16,True,32.0|322,488
8|488|vc|1|2|322,1,2.03632e-06,0.501046,760.09,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|2|2|322,1,2.01236e-06,0.462853,710.778,0.133484,4.59541e-16,1,7.95394e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|3|2|322,1,5.26808e-05,0.458105,647.371,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|4|2|322,1,1.15529e-06,0.509577,442.782,0.133484,4.59541e-16,1,7.95394e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|5|2|322,1,5.97936e-07,0.470497,428.255,0.133484,4.59541e-16,1,7.95394e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|6|2|322,1,7.78942e-07,0.467814,619.89,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|7|2|322,1,3.84298e-07,0.476721,635.518,0.133484,4.59541e-16,1,7.95395e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|488|vc|8|2|322,1,4.96946e-06,0.494656,892.794,0.133484,4.59541e-16,1,7.95394e-09,0.450058,108.894,0.134432,4.62212e-16,False,69.0|322,488
8|847|cc|1|1|69,1,2.91746e-06,0.481073,1012.6,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|2|1|69,1,1.41945e-06,0.464118,898.324,0.133446,4.59526e-16,1,7.95394e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|3|1|69,1,3.78017e-07,0.487759,554.193,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|4|1|69,1,5.86808e-07,0.480122,1171.59,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|5|1|69,1,9.69363e-07,0.486783,976.259,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|6|1|69,1,1.36207e-05,0.481858,778.078,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|7|1|69,1,1.06992e-06,0.495411,579.915,0.133446,4.59526e-16,1,7.95394e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|cc|8|1|69,1,9.2763e-07,0.474606,574.079,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|sample|10|69,1,1.73599e-05,1.46189,21.736,0.133446,4.59526e-16,1,1.58599e-06,1.48015,21.3022,0.134397,4.62197e-16,True,32.0|69,847
8|847|sample|11|69,1,5.31539e-05,1.46747,3.61631,0.133446,4.59526e-16,1,1.58629e-06,1.45664,3.59559,0.134397,4.62197e-16,True,22.0|69,847
8|847|sample|12|69,1,3.21937e-05,1.52009,3.37744,0.133446,4.59526e-16,1,1.5829e-06,1.51855,3.40652,0.134397,4.62197e-16,True,22.0|69,847
8|847|sample|3|69,1,2.02556e-05,0.7537,2.62205,0.133446,4.59526e-16,1,1.60275e-06,0.743059,2.85011,0.134397,4.62197e-16,True,55.0|69,847
8|847|sample|4|69,1,4.77949e-05,0.686603,3.38,0.133446,4.59526e-16,1,1.60279e-06,0.708528,3.21669,0.134397,4.62197e-16,True,55.0|69,847
8|847|sample|5|69,1,8.57226e-05,0.53901,3.44319,0.133446,4.59526e-16,1,1.60403e-06,0.549977,3.09407,0.134397,4.62197e-16,True,55.0|69,847
8|847|sample|6|69,1,9.6305e-05,0.514764,5.02987,0.133446,4.59526e-16,1,1.60466e-06,0.516116,4.73427,0.134397,4.62197e-16,True,55.0|69,847
8|847|sample|7|69,1,2.79381e-05,1.70957,13.4246,0.133446,4.59526e-16,1,1.58954e-06,1.68153,13.413,0.134397,4.62197e-16,True,32.0|69,847
8|847|sample|8|69,1,2.92286e-05,1.67382,14.4157,0.133446,4.59526e-16,1,1.58884e-06,1.6197,14.9001,0.134397,4.62197e-16,True,32.0|69,847
8|847|sample|9|69,1,4.5853e-05,1.59519,17.8318,0.133446,4.59526e-16,1,1.58898e-06,1.53474,18.4618,0.134397,4.62197e-16,True,32.0|69,847
8|847|vc|1|2|69,1,3.43631e-06,0.478582,1403.39,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|2|2|69,1,7.33655e-06,0.487336,1267.95,0.133446,4.59526e-16,1,7.95394e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|3|2|69,1,8.22669e-07,0.485608,1165.24,0.133446,4.59526e-16,1,7.95394e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|4|2|69,1,1.40095e-06,0.497932,523.802,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
8|847|vc|5|2|69,1,2.8994e-06,0.477591,580.281,0.133446,4.59526e-16,1,7.95395e-09,0.450058,108.894,0.134397,4.62197e-16,False,69.0|69,847
