id,U_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|719|sample|12|274,1,0.00396039,0.648988,0.0314784,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0314784,36.1425,0.283341,0.506396,True,22.0|274,719
8|719|sample|3|274,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,True,55.0|274,719
8|719|sample|4|274,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,True,55.0|274,719
8|719|sample|5|274,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,True,55.0|274,719
8|719|sample|6|274,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0025121,36.1425,0.283341,0.506396,True,55.0|274,719
8|719|sample|7|274,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,True,32.0|274,719
8|719|sample|8|274,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,True,32.0|274,719
8|719|sample|9|274,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,1,0.00396039,0.648988,0.0213576,36.1425,0.283341,0.506396,True,32.0|274,719
8|719|vc|1|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|2|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|3|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|4|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|5|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|6|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
8|719|vc|7|2|274,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,1,0.00396039,0.648988,0.00699522,36.1497,0.283341,0.506396,False,69.0|274,719
