rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,8|462|8|462|cc|8|1|292|1|292|69.0,0,0,0.591079,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,0,0,5.31557,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,0,0,-2.73477,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,0,0,-1.18625,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,0,0,5.12609,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,0,0,7.07735,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,0,0,-2.17914,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,0,0,2.34229,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,0,0,-1.51371,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,0,0,-2.41914,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,0,0,-4.02271,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0,0,-3.70612,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0,0,-2.85666,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0,0,3.7702,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,0,0,-8.97774,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0,0,-4.20409,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0,0,0.883689,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0,0,1.78179,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0,0,1.01677,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0,0,-9.31002,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0,0,-3.72491,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0,0,0.317492,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,0,0,-3.75046,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,0,0,-1.12596,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0,0,2.85133,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0,0,-0.0536254,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,0,0,-1.90058,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,0,0,-0.582011,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,0,0,0.93494,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0,0,5.03492,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,0,0,-7.14621,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,0,0,1.22584,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,0,0,-1.04068,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0,0,0.231821,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,0,0,-7.3933,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0,0,0.632543,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0,0,10.3572,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0,0,-1.46776,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0,0,-8.85207,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0,0,5.96259,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0,0,0.767088,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0,0,-1.81801,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0,0,3.95653,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0,0,6.25095,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0,0,-2.18694,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,0,0,8.92533,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,0,0,5.93496,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0,0,-1.18052,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0,0,7.87735,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0,0,-9.26014,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0,0,1.53825,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,0,0,-2.1833,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0,0,1.49994,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,0,0,-0.282158,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0,0,1.93895,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0,0,1.11449,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0,0,2.82346,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,0,0,3.5479,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0,0,-0.0273332,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,0,0,-11.5376,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,0,0,9.23489,69.0|103,1197
