id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|433|14|433|cc|5|1|99|1|99|69.0,1.00001,786.957,-2.03735,4.15387,2.10828e-11,1.00785,1.00001,786.957,-1.01353e-06,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,1.00001,786.957,-3.84752,5.8188,2.10828e-11,1.00785,1.00001,786.957,7.95042e-06,0.999998,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,1.00001,786.957,-0.974663,4.55723,2.10828e-11,1.00785,1.00001,786.957,-2.56185e-06,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,1.00001,786.957,3.5094,3.2189,2.10828e-11,1.00785,1.00001,786.957,4.87636e-06,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,1.00001,786.957,-2.9758,5.97552,2.10828e-11,1.00785,1.00001,786.957,1.24914e-05,0.999998,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,1.00001,786.957,0.427783,3.16965,2.10828e-11,1.00785,1.00001,786.957,-2.38324e-05,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,1.00001,786.957,2.16462,3.62654,2.10828e-11,1.00785,1.00001,786.957,-5.03073e-07,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|4|2|99|2|99|69.0,1.00001,786.957,4.09069,5.08182,2.10828e-11,1.00785,1.00001,786.957,-2.0034e-05,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,1.00001,786.957,-0.674571,11.0209,2.10828e-11,1.00785,1.00001,786.957,-9.9861e-07,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,1.00001,786.957,-2.23627,8.17197,2.10828e-11,1.00785,1.00001,786.957,1.45522e-05,0.999999,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,1.00001,786.957,-5.2093,2.12175,2.10828e-11,1.00785,1.00001,786.957,8.90524e-05,1,2.11317e-11,1.02267,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,1.00001,786.957,0.449732,4.80329,2.10828e-11,1.00785,1.00001,786.957,2.31158e-05,0.999999,2.11317e-11,1.02267,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,1.00027,793.388,-17.1308,2.44442,2.10866e-11,1.00812,1.00028,793.388,-4.77833,0.778226,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|4|71|4|71|6.0,1.00027,793.388,-17.8091,2.45631,2.10866e-11,1.00812,1.00028,793.388,-4.8032,0.777356,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|5|71|5|71|6.0,1.00027,793.388,-10.3426,3.02359,2.10866e-11,1.00812,1.00028,793.388,-4.9201,0.753269,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|6|71|6|71|6.0,1.00027,793.388,-12.6769,4.63444,2.10866e-11,1.00812,1.00028,793.388,-4.92105,0.753264,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|8|71|8|71|6.0,1.00027,793.388,-16.0852,2.38648,2.10866e-11,1.00812,1.00028,793.388,-4.94681,0.754567,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|7|71|7|71|6.0,1.00027,793.388,-18.7774,3.66011,2.10866e-11,1.00812,1.00028,793.388,-4.93719,0.754067,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|9|71|9|71|6.0,1.00027,793.388,-18.3889,2.80525,2.10866e-11,1.00812,1.00028,793.388,-4.92163,0.753256,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|10|71|10|71|6.0,1.00027,793.388,-16.7507,5.80315,2.10866e-11,1.00812,1.00028,793.388,-4.92151,0.75327,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|12|71|12|71|6.0,1.00027,793.388,-12.1747,4.15124,2.10866e-11,1.00812,1.00028,793.388,-3.70221,0.861169,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|sample|11|71|11|71|6.0,1.00027,793.388,-18.0663,2.92134,2.10866e-11,1.00812,1.00028,793.388,-3.01482,1.12843,2.11354e-11,1.02294,True,6.0|71,297
14|297|14|297|cc|1|1|71|1|71|69.0,1.00027,789.661,1.99033,7.62007,2.10866e-11,1.00812,1.00028,789.661,-6.17361e-05,0.999998,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|2|1|71|1|71|69.0,1.00027,789.661,-4.83493,6.97471,2.10866e-11,1.00812,1.00028,789.661,-5.38371e-05,0.999996,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|3|1|71|1|71|69.0,1.00027,789.661,-0.579999,11.7758,2.10866e-11,1.00812,1.00028,789.661,-6.49738e-07,1,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|4|1|71|1|71|69.0,1.00027,789.661,0.145601,3.34977,2.10866e-11,1.00812,1.00028,789.661,-6.09201e-06,1,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|5|1|71|1|71|69.0,1.00027,789.661,-3.68801,5.76734,2.10866e-11,1.00812,1.00028,789.661,1.87067e-05,0.999999,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|6|1|71|1|71|69.0,1.00027,789.661,0.151611,6.95644,2.10866e-11,1.00812,1.00028,789.661,-2.73632e-05,0.999999,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|7|1|71|1|71|69.0,1.00027,789.661,3.81852,8.15793,2.10866e-11,1.00812,1.00028,789.661,1.17888e-05,1,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|cc|8|1|71|1|71|69.0,1.00027,789.661,-2.02354,4.18315,2.10866e-11,1.00812,1.00028,789.661,-2.65869e-05,0.999998,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|1|2|71|2|71|69.0,1.00027,789.661,1.79442,9.59609,2.10866e-11,1.00812,1.00028,789.661,-4.24907e-05,0.999997,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|2|2|71|2|71|69.0,1.00027,789.661,3.1104,3.92929,2.10866e-11,1.00812,1.00028,789.661,5.78021e-05,0.999999,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|3|2|71|2|71|69.0,1.00027,789.661,-0.743398,3.29777,2.10866e-11,1.00812,1.00028,789.661,-2.36916e-05,1,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|4|2|71|2|71|69.0,1.00027,789.661,-0.757574,3.96019,2.10866e-11,1.00812,1.00028,789.661,3.60494e-05,0.999996,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|5|2|71|2|71|69.0,1.00027,789.661,-0.48165,4.86574,2.10866e-11,1.00812,1.00028,789.661,1.48548e-05,0.999996,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|6|2|71|2|71|69.0,1.00027,789.661,3.42442,4.49205,2.10866e-11,1.00812,1.00028,789.661,4.22316e-05,1.00001,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|7|2|71|2|71|69.0,1.00027,789.661,1.08588,4.10836,2.10866e-11,1.00812,1.00028,789.661,3.37353e-05,1,2.11354e-11,1.02294,False,69.0|71,297
14|297|14|297|vc|8|2|71|2|71|69.0,1.00027,789.661,-3.17471,7.34567,2.10866e-11,1.00812,1.00028,789.661,-1.71259e-05,1,2.11354e-11,1.02294,False,69.0|71,297
14|183|14|183|sample|4|233|4|233|6.0,1,791.582,7.15375,6.44482,2.10868e-11,1.00844,1,791.582,6.16114,1.84903,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|3|233|3|233|6.0,1,791.582,7.5626,4.53798,2.10868e-11,1.00844,1,791.582,6.16037,1.84894,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|6|233|6|233|6.0,1,791.582,6.27361,5.3074,2.10868e-11,1.00844,1,791.582,6.16618,1.84965,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|5|233|5|233|6.0,1,791.582,8.44843,6.58564,2.10868e-11,1.00844,1,791.582,6.16666,1.84971,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|7|233|7|233|6.0,1,791.582,6.98856,6.4924,2.10868e-11,1.00844,1,791.582,6.15832,1.84869,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|8|233|8|233|6.0,1,791.582,6.40379,7.22785,2.10868e-11,1.00844,1,791.582,6.1561,1.84842,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|10|233|10|233|6.0,1,791.582,2.26986,2.93105,2.10868e-11,1.00844,1,791.582,6.16786,1.84985,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|9|233|9|233|6.0,1,791.582,4.97019,2.69717,2.10868e-11,1.00844,1,791.582,6.16758,1.84982,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|12|233|12|233|6.0,1,791.582,5.63592,8.47516,2.10868e-11,1.00844,1,791.582,6.13314,1.84558,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|sample|11|233|11|233|6.0,1,791.582,5.3496,4.66659,2.10868e-11,1.00844,1,791.582,6.0838,1.83955,2.11356e-11,1.02327,True,6.0|233,183
14|183|14|183|cc|1|1|233|1|233|69.0,1,788.071,-1.50348,3.88218,2.10868e-11,1.00844,1,788.071,-5.2222e-06,1,2.11356e-11,1.02327,False,69.0|233,183
