id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|474|vc|7|2|276,0,0,-4.13918e-10,0,0,0,0,0,1.05089e-11,0,0,0,False,69.0|276,474
8|474|vc|8|2|276,0,0,6.47742e-10,0,0,0,0,0,-4.39382e-12,0,0,0,False,69.0|276,474
8|462|cc|1|1|292,0,0,-2.44158e-09,0,0,0,0,0,-1.9338e-11,0,0,0,False,69.0|292,462
8|462|cc|2|1|292,0,0,3.08716e-09,0,0,0,0,0,2.99445e-11,0,0,0,False,69.0|292,462
8|462|cc|3|1|292,0,0,1.1785e-09,0,0,0,0,0,1.3465e-11,0,0,0,False,69.0|292,462
8|462|cc|4|1|292,0,0,-1.64835e-10,0,0,0,0,0,1.04334e-11,0,0,0,False,69.0|292,462
8|462|cc|5|1|292,0,0,9.4276e-10,0,0,0,0,0,1.42524e-11,0,0,0,False,69.0|292,462
8|462|cc|6|1|292,0,0,3.80594e-09,0,0,0,0,0,3.91551e-11,0,0,0,False,69.0|292,462
8|462|cc|7|1|292,0,0,-5.77978e-10,0,0,0,0,0,-8.50342e-12,0,0,0,False,69.0|292,462
8|462|cc|8|1|292,0,0,1.04708e-10,0,0,0,0,0,-3.53875e-11,0,0,0,False,69.0|292,462
8|462|sample|10|292,0,0,-9.20482e-10,0,0,0,0,0,-1.40079e-11,0,0,0,True,32.0|292,462
8|462|sample|11|292,0,0,2.38746e-09,0,0,0,0,0,-2.93964e-11,0,0,0,True,22.0|292,462
8|462|sample|12|292,0,0,-1.53509e-09,0,0,0,0,0,-2.50941e-11,0,0,0,True,22.0|292,462
8|462|sample|3|292,0,0,1.4491e-10,0,0,0,0,0,-1.21559e-11,0,0,0,True,55.0|292,462
8|462|sample|4|292,0,0,9.83894e-10,0,0,0,0,0,3.98437e-11,0,0,0,True,55.0|292,462
8|462|sample|5|292,0,0,2.68242e-09,0,0,0,0,0,-1.04863e-11,0,0,0,True,55.0|292,462
8|462|sample|6|292,0,0,-1.40963e-09,0,0,0,0,0,7.27218e-12,0,0,0,True,55.0|292,462
8|462|sample|7|292,0,0,3.64106e-09,0,0,0,0,0,-6.5723e-11,0,0,0,True,32.0|292,462
8|462|sample|8|292,0,0,-2.41383e-09,0,0,0,0,0,-1.48352e-11,0,0,0,True,32.0|292,462
8|462|sample|9|292,0,0,-5.68891e-09,0,0,0,0,0,-3.34985e-11,0,0,0,True,32.0|292,462
8|462|vc|1|2|292,0,0,1.53986e-10,0,0,0,0,0,1.38904e-11,0,0,0,False,69.0|292,462
8|462|vc|2|2|292,0,0,1.49782e-09,0,0,0,0,0,1.74256e-11,0,0,0,False,69.0|292,462
8|462|vc|3|2|292,0,0,2.13353e-09,0,0,0,0,0,-1.70154e-11,0,0,0,False,69.0|292,462
8|462|vc|4|2|292,0,0,1.09596e-09,0,0,0,0,0,9.76619e-12,0,0,0,False,69.0|292,462
8|462|vc|5|2|292,0,0,-1.60472e-09,0,0,0,0,0,-1.03089e-11,0,0,0,False,69.0|292,462
