id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|847|sample|7|69,9.86374e-08,0,0,0,0,-1.55337e-08,0,0,0,0,True,32.0|69,847
8|847|sample|8|69,-1.30748e-06,0,0,0,0,1.85707e-08,0,0,0,0,True,32.0|69,847
8|847|sample|9|69,-2.32816e-06,0,0,0,0,-2.48212e-08,0,0,0,0,True,32.0|69,847
8|847|vc|1|2|69,5.22466e-07,0,0,0,0,4.93989e-08,0,0,0,0,False,69.0|69,847
8|847|vc|2|2|69,-1.3394e-06,0,0,0,0,5.46419e-09,0,0,0,0,False,69.0|69,847
8|847|vc|3|2|69,-1.18983e-07,0,0,0,0,-1.1321e-08,0,0,0,0,False,69.0|69,847
8|847|vc|4|2|69,5.43691e-07,0,0,0,0,2.01255e-08,0,0,0,0,False,69.0|69,847
8|847|vc|5|2|69,1.19998e-06,0,0,0,0,1.99411e-08,0,0,0,0,False,69.0|69,847
8|847|vc|6|2|69,1.53265e-06,0,0,0,0,4.96173e-08,0,0,0,0,False,69.0|69,847
8|847|vc|7|2|69,2.71395e-06,0,0,0,0,1.89656e-08,0,0,0,0,False,69.0|69,847
8|847|vc|8|2|69,-2.1194e-06,0,0,0,0,-1.70554e-08,0,0,0,0,False,69.0|69,847
8|474|cc|1|1|276,-3.28744e-07,0,0,0,0,-1.91421e-08,0,0,0,0,False,69.0|276,474
8|474|cc|2|1|276,1.41486e-06,0,0,0,0,7.39476e-09,0,0,0,0,False,69.0|276,474
8|474|cc|3|1|276,5.45184e-07,0,0,0,0,-3.74553e-09,0,0,0,0,False,69.0|276,474
8|474|cc|4|1|276,2.26137e-07,0,0,0,0,-1.97806e-08,0,0,0,0,False,69.0|276,474
8|474|cc|5|1|276,-3.51094e-06,0,0,0,0,-1.97222e-08,0,0,0,0,False,69.0|276,474
8|474|cc|6|1|276,-8.1582e-07,0,0,0,0,4.9303e-08,0,0,0,0,False,69.0|276,474
8|474|cc|7|1|276,3.51668e-06,0,0,0,0,-1.18641e-08,0,0,0,0,False,69.0|276,474
8|474|cc|8|1|276,-3.19258e-06,0,0,0,0,-4.37274e-09,0,0,0,0,False,69.0|276,474
8|474|sample|10|276,-1.80316e-06,0,0,0,0,-2.08486e-08,0,0,0,0,True,32.0|276,474
8|474|sample|11|276,-1.80309e-06,0,0,0,0,-2.49333e-08,0,0,0,0,True,22.0|276,474
8|474|sample|12|276,2.30221e-06,0,0,0,0,-1.50056e-08,0,0,0,0,True,22.0|276,474
8|474|sample|3|276,3.86999e-07,0,0,0,0,-2.37019e-08,0,0,0,0,True,55.0|276,474
8|474|sample|4|276,-3.49315e-06,0,0,0,0,-1.7171e-08,0,0,0,0,True,55.0|276,474
8|474|sample|5|276,2.36175e-06,0,0,0,0,-1.82002e-08,0,0,0,0,True,55.0|276,474
8|474|sample|6|276,1.84322e-06,0,0,0,0,-1.8509e-08,0,0,0,0,True,55.0|276,474
8|474|sample|7|276,1.86496e-06,0,0,0,0,-2.04006e-08,0,0,0,0,True,32.0|276,474
8|474|sample|8|276,-1.88217e-06,0,0,0,0,-4.9612e-08,0,0,0,0,True,32.0|276,474
8|474|sample|9|276,7.23316e-07,0,0,0,0,-6.47515e-09,0,0,0,0,True,32.0|276,474
8|474|vc|1|2|276,2.449e-06,0,0,0,0,-1.89971e-08,0,0,0,0,False,69.0|276,474
8|474|vc|2|2|276,-3.27241e-07,0,0,0,0,-1.76382e-08,0,0,0,0,False,69.0|276,474
8|474|vc|3|2|276,-1.61084e-07,0,0,0,0,-2.98678e-09,0,0,0,0,False,69.0|276,474
8|474|vc|4|2|276,-7.88939e-07,0,0,0,0,-2.48203e-08,0,0,0,0,False,69.0|276,474
8|474|vc|5|2|276,8.33006e-07,0,0,0,0,-1.89347e-08,0,0,0,0,False,69.0|276,474
8|474|vc|6|2|276,3.32695e-08,0,0,0,0,-1.06414e-08,0,0,0,0,False,69.0|276,474
8|474|vc|7|2|276,3.04861e-06,0,0,0,0,2.50908e-08,0,0,0,0,False,69.0|276,474
8|474|vc|8|2|276,-2.18632e-06,0,0,0,0,-8.1493e-09,0,0,0,0,False,69.0|276,474
8|462|cc|1|1|292,-7.11024e-07,0,0,0,0,-2.03572e-08,0,0,0,0,False,69.0|292,462
8|462|cc|2|1|292,-5.6513e-07,0,0,0,0,2.39611e-08,0,0,0,0,False,69.0|292,462
8|462|cc|3|1|292,3.44443e-07,0,0,0,0,1.93517e-08,0,0,0,0,False,69.0|292,462
8|462|cc|4|1|292,-2.07535e-06,0,0,0,0,1.19837e-08,0,0,0,0,False,69.0|292,462
8|462|cc|5|1|292,3.77134e-07,0,0,0,0,1.25476e-09,0,0,0,0,False,69.0|292,462
8|462|cc|6|1|292,1.72296e-06,0,0,0,0,-2.41959e-08,0,0,0,0,False,69.0|292,462
8|462|cc|7|1|292,-2.14855e-06,0,0,0,0,1.49683e-08,0,0,0,0,False,69.0|292,462
8|462|cc|8|1|292,2.89304e-07,0,0,0,0,1.50007e-08,0,0,0,0,False,69.0|292,462
8|462|sample|10|292,2.06618e-06,0,0,0,0,-1.65955e-08,0,0,0,0,True,32.0|292,462
8|462|sample|11|292,2.06907e-06,0,0,0,0,-1.86278e-08,0,0,0,0,True,22.0|292,462
8|462|sample|12|292,5.02922e-07,0,0,0,0,1.06203e-08,0,0,0,0,True,22.0|292,462
8|462|sample|3|292,-1.03916e-06,0,0,0,0,-2.11629e-08,0,0,0,0,True,55.0|292,462
8|462|sample|4|292,1.61642e-06,0,0,0,0,-1.30211e-08,0,0,0,0,True,55.0|292,462
8|462|sample|5|292,1.74717e-06,0,0,0,0,1.2885e-08,0,0,0,0,True,55.0|292,462
8|462|sample|6|292,-1.28121e-06,0,0,0,0,5.13301e-08,0,0,0,0,True,55.0|292,462
8|462|sample|7|292,4.23249e-07,0,0,0,0,-4.77584e-08,0,0,0,0,True,32.0|292,462
8|462|sample|8|292,5.00479e-07,0,0,0,0,-2.08961e-08,0,0,0,0,True,32.0|292,462
8|462|sample|9|292,2.89933e-07,0,0,0,0,2.0396e-08,0,0,0,0,True,32.0|292,462
8|462|vc|1|2|292,-1.90487e-06,0,0,0,0,-4.60769e-08,0,0,0,0,False,69.0|292,462
8|462|vc|2|2|292,1.1609e-06,0,0,0,0,2.31969e-08,0,0,0,0,False,69.0|292,462
8|462|vc|3|2|292,1.54088e-06,0,0,0,0,4.76681e-08,0,0,0,0,False,69.0|292,462
8|462|vc|4|2|292,-1.20822e-06,0,0,0,0,-9.676e-09,0,0,0,0,False,69.0|292,462
8|462|vc|5|2|292,-1.7965e-06,0,0,0,0,1.15015e-08,0,0,0,0,False,69.0|292,462
8|462|vc|6|2|292,-3.27672e-06,0,0,0,0,4.12996e-09,0,0,0,0,False,69.0|292,462
8|462|vc|7|2|292,-5.0689e-08,0,0,0,0,-2.02653e-08,0,0,0,0,False,69.0|292,462
8|462|vc|8|2|292,2.29837e-07,0,0,0,0,6.32167e-09,0,0,0,0,False,69.0|292,462
8|75|cc|1|1|65,-6.69766e-07,0,0,0,0,1.56124e-08,0,0,0,0,False,69.0|65,75
8|75|cc|2|1|65,2.79721e-07,0,0,0,0,-4.52778e-08,0,0,0,0,False,69.0|65,75
8|75|cc|3|1|65,2.7086e-06,0,0,0,0,9.21159e-09,0,0,0,0,False,69.0|65,75
8|75|cc|4|1|65,5.14404e-07,0,0,0,0,1.25895e-08,0,0,0,0,False,69.0|65,75
8|75|cc|5|1|65,-1.17597e-06,0,0,0,0,1.45978e-08,0,0,0,0,False,69.0|65,75
