rep,id,U,L,L_gap,h,f,alpha,goes_down,mab_virus,run_id
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,52967,517.632,1.20657,1.57852,22.2524,-2.34566,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,52967,517.632,0.471001,1.57852,0.95721,-2.34566,False,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,52966.6,384.853,2.29238,2.08728,0.0727261,-1.36492,True,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,52966.6,384.853,0.382369,2.08728,0.0520452,-1.36492,True,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,52966.6,384.853,1.4859,2.08728,0.0561132,-1.36492,True,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,52966.6,384.853,0.368041,2.08728,0.0713214,-1.36492,True,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,52966.4,384.853,0.624525,2.04317,0.0286072,-1.36492,True,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,52966.4,384.853,0.510478,2.04317,0.0507703,-1.36492,True,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,52966.4,384.853,3.15535,2.04317,0.0517052,-1.36492,True,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,52966.6,384.853,0.65527,2.26264,0.0846651,-1.36492,True,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,52966.6,384.853,1.14089,2.26264,0.0492645,-1.36492,True,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,52966.4,384.853,1.16021,2.04317,0.0371496,-1.36492,True,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,52966.7,384.853,0.803797,1.04575,0.578771,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,52966.7,384.853,1.64271,1.04575,21.4388,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,52966.7,384.853,0.57328,1.04575,0.152255,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,52966.7,384.853,0.762,1.04575,4.32778,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,52966.7,384.853,0.544695,1.04575,12.2494,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,52966.7,384.853,1.72151,1.04575,0.0464121,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,52966.7,384.853,0.498523,1.04575,0.00601097,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,52966.7,384.853,2.62048,1.04575,0.424508,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,52966.7,384.853,0.728758,1.04575,0.0893598,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,52966.7,384.853,0.727552,1.04575,1.68657,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,52966.7,384.853,1.3846,1.04575,1.42681,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,52966.7,384.853,0.947493,1.04575,9.60259,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,52966.7,384.853,0.64803,1.04575,0.00363807,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,52966.7,384.853,1.16359,1.04575,5.05965,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,52966.7,384.853,3.36341,1.04575,0.396213,-1.36492,False,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,52966.7,384.853,1.45242,1.04575,5.9646,-1.36492,False,69.0|103,1197
