rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|474|sample|11|276,273.111,1.67207,12.1531,2414810.0,57.762,True,22.0|276,474
1,8|474|sample|12|276,281.859,1.67206,12.153,2414810.0,57.762,True,22.0|276,474
1,8|474|sample|3|276,275.143,-0.158057,6170.91,2414810.0,57.762,True,55.0|276,474
1,8|474|sample|4|276,274.82,-0.158051,6170.91,2414810.0,57.762,True,55.0|276,474
1,8|474|sample|5|276,272.459,-0.158057,6170.87,2414810.0,57.762,True,55.0|276,474
1,8|474|sample|6|276,277.214,-0.158055,6170.95,2414810.0,57.762,True,55.0|276,474
1,8|474|sample|7|276,259.133,1.18857,88.0607,2414810.0,57.762,True,32.0|276,474
1,8|474|sample|8|276,279.098,1.18859,88.0609,2414810.0,57.762,True,32.0|276,474
1,8|474|sample|9|276,281.691,1.18857,88.059,2414810.0,57.762,True,32.0|276,474
1,8|474|vc|1|2|276,268.932,2.37552,1.90424,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|2|2|276,273.733,2.37551,1.90422,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|3|2|276,275.802,2.37554,1.90423,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|4|2|276,271.007,2.37553,1.90425,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|5|2|276,269.24,2.37552,1.90423,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|6|2|276,270.418,2.37551,1.9042,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|7|2|276,273.784,2.37551,1.90426,2414810.0,57.762,False,69.0|276,474
1,8|474|vc|8|2|276,269.783,2.37552,1.90423,2414810.0,57.762,False,69.0|276,474
1,8|462|cc|1|1|292,267.009,1.79703,0.434455,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|2|1|292,267.539,1.79701,0.434453,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|3|1|292,273.922,1.79701,0.434453,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|4|1|292,277.9,1.797,0.434454,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|5|1|292,267.013,1.79702,0.434452,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|6|1|292,267.019,1.79702,0.434452,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|7|1|292,271.093,1.79701,0.434454,2414810.0,17.3662,False,69.0|292,462
1,8|462|cc|8|1|292,271.242,1.79701,0.434458,2414810.0,17.3662,False,69.0|292,462
1,8|462|sample|10|292,272.589,1.40219,69.0385,2414810.0,17.3662,True,32.0|292,462
1,8|462|sample|11|292,267.152,1.2247,5.95656,2414810.0,17.3662,True,22.0|292,462
1,8|462|sample|12|292,272.029,1.22471,5.95657,2414810.0,17.3662,True,22.0|292,462
1,8|462|sample|3|292,276.27,-0.139434,23960.2,2414810.0,17.3662,True,55.0|292,462
1,8|462|sample|4|292,278.483,-0.139436,23960.2,2414810.0,17.3662,True,55.0|292,462
