id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|433|14|433|sample|7|99|7|99|6.0,0,0,1.88458e-09,3.41025,6.75976e-09,0,0,0,0,4.26326e-14,3.45223,-4.26326e-14,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,0,4.11098e-09,0.902601,4.5549e-09,0,0,0,0,-1.92735e-13,0.913745,-2.79776e-14,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,0,5.25329e-09,0.937362,1.68707e-09,0,0,0,0,1.25233e-13,0.940749,-7.50511e-14,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,0,1.55982e-09,0.534169,9.43678e-09,0,0,0,0,-4.28102e-13,0.528828,1.82965e-13,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,0,-3.03842e-09,0.57044,-2.52831e-09,0,0,0,0,-9.14824e-13,0.590128,3.17524e-13,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,0,-3.89683e-09,-0.0687357,9.85775e-11,0,0,0,0,-1.77636e-15,1.37846e-07,-1.24345e-14,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,0,2.87455e-09,0.0413932,-1.02165e-09,0,0,0,0,-2.4869e-14,-8.65811e-08,-1.55431e-15,0,0,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,0,0,-8.95762e-09,-0.221778,-2.32019e-09,0,0,0,0,-1.24345e-14,1.15562e-07,-1.09912e-14,0,0,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,0,0,4.57245e-10,-0.054023,-2.67612e-09,0,0,0,0,-7.10543e-15,-2.81862e-07,-6.10623e-15,0,0,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,0,0,-1.67791e-09,0.01862,-2.0482e-09,0,0,0,0,8.88178e-15,-3.85804e-07,3.10862e-15,0,0,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,0,0,3.31461e-09,-0.0785356,-2.31547e-09,0,0,0,0,-2.93099e-14,8.33924e-09,5.55112e-15,0,0,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,0,0,-3.8015e-09,0.147823,-2.01606e-09,0,0,0,0,-1.5099e-14,-1.79843e-07,4.88498e-15,0,0,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,0,0,1.75925e-09,-0.0125312,1.14996e-09,0,0,0,0,2.13163e-14,1.44672e-07,1.08802e-14,0,0,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,0,0,-5.01938e-09,0.029805,-2.75959e-09,0,0,0,0,1.68754e-14,2.53081e-07,2.66454e-15,0,0,False,69.0|99,433
14|433|14|433|vc|2|2|99|2|99|69.0,0,0,-2.12269e-09,0.048723,3.08768e-09,0,0,0,0,-1.42109e-14,-4.29405e-08,-1.73195e-14,0,0,False,69.0|99,433
14|433|14|433|vc|3|2|99|2|99|69.0,0,0,-3.89073e-10,-0.0172737,1.11822e-09,0,0,0,0,2.30926e-14,5.98886e-08,-1.04361e-14,0,0,False,69.0|99,433
14|433|14|433|vc|4|2|99|2|99|69.0,0,0,-1.74143e-09,0.197328,3.59869e-09,0,0,0,0,1.77636e-15,-3.31438e-07,1.55431e-15,0,0,False,69.0|99,433
14|433|14|433|vc|5|2|99|2|99|69.0,0,0,4.79652e-09,-0.0118139,2.31464e-09,0,0,0,0,1.42109e-14,-2.92653e-07,5.77316e-15,0,0,False,69.0|99,433
14|433|14|433|vc|6|2|99|2|99|69.0,0,0,2.29102e-09,0.0717693,-8.63636e-10,0,0,0,0,-3.55271e-15,3.86899e-07,3.33067e-15,0,0,False,69.0|99,433
14|433|14|433|vc|7|2|99|2|99|69.0,0,0,-2.18063e-09,0.107167,1.4338e-09,0,0,0,0,-6.21725e-15,3.63014e-07,-3.77476e-15,0,0,False,69.0|99,433
14|433|14|433|vc|8|2|99|2|99|69.0,0,0,-2.65988e-09,0.0974662,2.05844e-09,0,0,0,0,3.01981e-14,-1.42589e-07,2.19824e-14,0,0,False,69.0|99,433
14|297|14|297|sample|3|71|3|71|6.0,0,0,3.91802e-09,0.510625,-5.38209e-10,0,0,0,0,2.22933e-13,0.528907,-4.27658e-13,0,0,True,6.0|71,297
14|297|14|297|sample|4|71|4|71|6.0,0,0,-6.32999e-09,0.519947,3.29505e-09,0,0,0,0,5.15143e-13,0.532306,-8.30447e-14,0,0,True,6.0|71,297
14|297|14|297|sample|5|71|5|71|6.0,0,0,1.72389e-08,2.12329,1.51262e-09,0,0,0,0,-1.38556e-13,2.09345,6.03961e-14,0,0,True,6.0|71,297
14|297|14|297|sample|6|71|6|71|6.0,0,0,9.3939e-09,2.00522,8.97918e-09,0,0,0,0,-2.52243e-13,2.03102,-1.03029e-13,0,0,True,6.0|71,297
14|297|14|297|sample|8|71|8|71|6.0,0,0,8.75495e-09,1.17552,-4.64961e-09,0,0,0,0,7.99361e-14,1.18419,-3.12639e-13,0,0,True,6.0|71,297
14|297|14|297|sample|7|71|7|71|6.0,0,0,2.63681e-09,1.28989,1.27753e-08,0,0,0,0,-2.51354e-13,1.29003,-1.4877e-13,0,0,True,6.0|71,297
14|297|14|297|sample|9|71|9|71|6.0,0,0,1.61829e-08,1.94951,8.75761e-09,0,0,0,0,2.71783e-13,1.9644,-5.86198e-14,0,0,True,6.0|71,297
14|297|14|297|sample|10|71|10|71|6.0,0,0,-1.74724e-10,1.93598,2.7322e-09,0,0,0,0,2.84217e-14,1.93055,-9.59233e-14,0,0,True,6.0|71,297
14|297|14|297|sample|12|71|12|71|6.0,0,0,1.28778e-08,0.264239,2.22002e-09,0,0,0,0,4.99156e-13,0.281422,1.48326e-13,0,0,True,6.0|71,297
14|297|14|297|sample|11|71|11|71|6.0,0,0,7.94027e-09,0.203408,-1.07543e-09,0,0,0,0,6.35936e-13,0.189146,1.65201e-13,0,0,True,6.0|71,297
14|297|14|297|cc|1|1|71|1|71|69.0,0,0,-5.4662e-09,-0.0059478,-1.04843e-09,0,0,0,0,-2.80167e-11,-0.0060882,1.29218e-11,0,0,False,69.0|71,297
14|297|14|297|cc|2|1|71|1|71|69.0,0,0,2.55711e-09,0.016789,1.25055e-09,0,0,0,0,-1.24345e-14,-9.22837e-08,1.43219e-14,0,0,False,69.0|71,297
14|297|14|297|cc|3|1|71|1|71|69.0,0,0,1.66266e-09,0.153868,3.34885e-09,0,0,0,0,1.42109e-14,4.63786e-07,3.27516e-15,0,0,False,69.0|71,297
14|297|14|297|cc|4|1|71|1|71|69.0,0,0,-2.71039e-10,-0.00959196,-2.8113e-10,0,0,0,0,-1.77636e-14,-4.03384e-07,-5.66214e-15,0,0,False,69.0|71,297
14|297|14|297|cc|5|1|71|1|71|69.0,0,0,-2.29187e-09,0.0184356,-8.14572e-10,0,0,0,0,2.4869e-14,1.181e-07,-9.38138e-15,0,0,False,69.0|71,297
14|297|14|297|cc|6|1|71|1|71|69.0,0,0,-7.31113e-10,0.0349866,-2.78171e-09,0,0,0,0,-3.01981e-14,-1.57777e-07,1.31561e-14,0,0,False,69.0|71,297
14|297|14|297|cc|7|1|71|1|71|69.0,0,0,6.59898e-09,0.0827365,3.79343e-09,0,0,0,0,-3.55271e-14,1.48751e-07,6.32827e-15,0,0,False,69.0|71,297
14|297|14|297|cc|8|1|71|1|71|69.0,0,0,-5.57529e-09,0.0623857,-1.14244e-09,0,0,0,0,3.55271e-15,-9.62239e-09,3.07532e-14,0,0,False,69.0|71,297
14|297|14|297|vc|1|2|71|2|71|69.0,0,0,4.45364e-09,0.00877106,-1.94968e-09,0,0,0,0,-6.5743e-12,0.00897421,2.90817e-12,0,0,False,69.0|71,297
14|297|14|297|vc|2|2|71|2|71|69.0,0,0,1.02609e-09,0.0541553,1.59905e-09,0,0,0,0,-7.10543e-15,-3.80112e-08,-1.45994e-14,0,0,False,69.0|71,297
14|297|14|297|vc|3|2|71|2|71|69.0,0,0,2.55486e-09,-0.225345,-2.19547e-09,0,0,0,0,1.42109e-14,9.40506e-08,2.77556e-15,0,0,False,69.0|71,297
14|297|14|297|vc|4|2|71|2|71|69.0,0,0,-4.95699e-10,-0.167776,-7.97498e-10,0,0,0,0,-1.77636e-14,-1.52983e-07,-5.55112e-16,0,0,False,69.0|71,297
14|297|14|297|vc|5|2|71|2|71|69.0,0,0,-9.03279e-09,-0.20789,-4.5845e-09,0,0,0,0,-1.24345e-14,3.77107e-08,-1.9873e-14,0,0,False,69.0|71,297
14|297|14|297|vc|6|2|71|2|71|69.0,0,0,9.2422e-09,0.0500658,-4.06917e-09,0,0,0,0,7.10543e-15,2.34659e-08,-1.05471e-14,0,0,False,69.0|71,297
14|297|14|297|vc|7|2|71|2|71|69.0,0,0,-3.52238e-09,-0.0701515,6.41429e-09,0,0,0,0,1.42109e-14,-2.119e-07,1.11022e-14,0,0,False,69.0|71,297
14|297|14|297|vc|8|2|71|2|71|69.0,0,0,-4.22567e-09,-0.0236044,1.65223e-09,0,0,0,0,-5.32907e-14,-2.47997e-06,-2.63123e-14,0,0,False,69.0|71,297
14|183|14|183|sample|4|233|4|233|6.0,0,0,1.79581e-09,0.441651,-1.07581e-10,0,0,0,0,4.83169e-13,0.438545,6.98108e-13,0,0,True,6.0|233,183
14|183|14|183|sample|3|233|3|233|6.0,0,0,-2.1315e-09,0.427723,-6.0804e-09,0,0,0,0,-1.31095e-12,0.432422,6.35936e-13,0,0,True,6.0|233,183
14|183|14|183|sample|6|233|6|233|6.0,0,0,-5.75627e-09,0.556552,-5.95165e-09,0,0,0,0,-9.13047e-13,0.537345,1.26121e-13,0,0,True,6.0|233,183
