rep,id,U,L,h,f,alpha,k,goes_down,mab_virus,run_id
1,14|394|14|394|sample|9|42|9|42|6.0,1,792.887,1.45142,0.993544,1.18644e-11,0.122939,True,6.0|42,394
1,14|394|14|394|sample|12|42|12|42|6.0,1,792.887,-2.84967,2.79311,1.18644e-11,0.122939,True,6.0|42,394
1,14|394|14|394|sample|11|42|11|42|6.0,1,792.887,1.96611,12.398,1.18644e-11,0.122939,True,6.0|42,394
1,14|394|14|394|sample|3|42|3|42|63.0,1,783.547,1.99106,3.42706,1.18644e-11,0.122939,True,63.0|42,394
1,14|394|14|394|sample|4|42|4|42|63.0,1,783.547,1.46755,0.0672713,1.18644e-11,0.122939,True,63.0|42,394
1,14|394|14|394|cc|1|1|42|1|42|69.0,1,788.768,0.507291,2.36413,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|2|1|42|1|42|69.0,1,788.768,0.838503,0.478655,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|3|1|42|1|42|69.0,1,788.768,-0.681926,1.37088,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|4|1|42|1|42|69.0,1,788.768,-2.37504,0.431208,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|5|1|42|1|42|69.0,1,788.768,-1.56797,3.03398,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|6|1|42|1|42|69.0,1,788.768,2.17742,85.9184,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|7|1|42|1|42|69.0,1,788.768,-2.97267,2.50597,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|cc|8|1|42|1|42|69.0,1,788.768,0.366763,0.939984,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|1|2|42|2|42|69.0,1,788.768,-2.30899,6.89019,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|2|2|42|2|42|69.0,1,788.768,0.143975,0.158707,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|3|2|42|2|42|69.0,1,788.768,0.449412,0.471391,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|4|2|42|2|42|69.0,1,788.768,0.856291,0.282243,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|5|2|42|2|42|69.0,1,788.768,-2.99103,0.31478,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|6|2|42|2|42|69.0,1,788.768,1.36427,1.03705,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|7|2|42|2|42|69.0,1,788.768,1.09877,3.43706,1.18644e-11,0.122939,False,69.0|42,394
1,14|394|14|394|vc|8|2|42|2|42|69.0,1,788.768,-3.46541,344.877,1.18644e-11,0.122939,False,69.0|42,394
1,14|1099|14|1099|sample|3|73|3|73|6.0,0.999999,794.763,-0.248404,0.0856333,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|4|73|4|73|6.0,0.999999,794.763,-5.47154,0.14084,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|5|73|5|73|6.0,0.999999,794.763,2.18571,0.332239,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|6|73|6|73|6.0,0.999999,794.763,4.12967,0.135066,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|8|73|8|73|6.0,0.999999,794.763,1.17389,0.079896,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|7|73|7|73|6.0,0.999999,794.763,-1.34093,0.508484,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|9|73|9|73|6.0,0.999999,794.763,3.24535,2.69229,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|10|73|10|73|6.0,0.999999,794.763,-2.13966,16.7206,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|11|73|11|73|6.0,0.999999,794.763,-4.35413,0.088953,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|sample|12|73|12|73|6.0,0.999999,794.763,1.45108,3.98244,1.18639e-11,0.122992,True,6.0|73,1099
1,14|1099|14|1099|cc|1|1|73|1|73|69.0,0.999999,789.146,-0.683325,0.684284,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|2|1|73|1|73|69.0,0.999999,789.146,3.96026,1.50774,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|3|1|73|1|73|69.0,0.999999,789.146,2.26311,0.773521,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|4|1|73|1|73|69.0,0.999999,789.146,-5.33708,0.0902537,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|5|1|73|1|73|69.0,0.999999,789.146,1.97939,0.137726,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|6|1|73|1|73|69.0,0.999999,789.146,-0.320665,0.201337,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|7|1|73|1|73|69.0,0.999999,789.146,1.29391,12.399,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|cc|8|1|73|1|73|69.0,0.999999,789.146,-0.195078,0.884606,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|1|2|73|2|73|69.0,0.999999,789.146,3.76734,0.188554,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|2|2|73|2|73|69.0,0.999999,789.146,-2.87123,0.474151,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|3|2|73|2|73|69.0,0.999999,789.146,-1.03416,0.609595,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|4|2|73|2|73|69.0,0.999999,789.146,-2.4001,22.3007,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|5|2|73|2|73|69.0,0.999999,789.146,-1.52681,5.86256,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|6|2|73|2|73|69.0,0.999999,789.146,-6.55774,2.82423,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|7|2|73|2|73|69.0,0.999999,789.146,1.94185,0.00303004,1.18639e-11,0.122992,False,69.0|73,1099
1,14|1099|14|1099|vc|8|2|73|2|73|69.0,0.999999,789.146,-1.3295,0.0357063,1.18639e-11,0.122992,False,69.0|73,1099
1,14|611|14|611|sample|4|73|4|73|6.0,1,794.763,0.812846,5.14577,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|3|73|3|73|6.0,1,794.763,-2.34372,0.138807,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|5|73|5|73|6.0,1,794.763,-0.419272,0.418791,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|6|73|6|73|6.0,1,794.763,1.55192,0.743643,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|7|73|7|73|6.0,1,794.763,-6.82443,109.115,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|8|73|8|73|6.0,1,794.763,-1.9288,0.270257,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|9|73|9|73|6.0,1,794.763,2.98037,37.0319,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|10|73|10|73|6.0,1,794.763,1.85654,7.80454,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|12|73|12|73|6.0,1,794.763,-3.44023,1.4635,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|sample|11|73|11|73|6.0,1,794.763,-0.772922,0.29738,1.18643e-11,0.122984,True,6.0|73,611
1,14|611|14|611|cc|1|1|73|1|73|69.0,1,789.146,1.76126,1.00151,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|2|1|73|1|73|69.0,1,789.146,2.6663,16.831,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|3|1|73|1|73|69.0,1,789.146,2.30315,1.78945,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|4|1|73|1|73|69.0,1,789.146,-0.61175,0.0495101,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|5|1|73|1|73|69.0,1,789.146,-2.37389,0.997172,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|6|1|73|1|73|69.0,1,789.146,1.92414,0.0244064,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|7|1|73|1|73|69.0,1,789.146,4.58766,0.0237947,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|cc|8|1|73|1|73|69.0,1,789.146,2.81205,0.0809353,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|1|2|73|2|73|69.0,1,789.146,-1.9604,9.25149,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|2|2|73|2|73|69.0,1,789.146,3.43827,0.0917624,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|3|2|73|2|73|69.0,1,789.146,2.00569,0.838441,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|4|2|73|2|73|69.0,1,789.146,0.385526,0.113654,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|5|2|73|2|73|69.0,1,789.146,2.42061,0.152215,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|6|2|73|2|73|69.0,1,789.146,-0.282651,0.740501,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|7|2|73|2|73|69.0,1,789.146,0.413422,4.78314,1.18643e-11,0.122984,False,69.0|73,611
1,14|611|14|611|vc|8|2|73|2|73|69.0,1,789.146,1.64086,0.580358,1.18643e-11,0.122984,False,69.0|73,611
1,8|84|8|84|sample|5|162|5|162|55.0,75428.5,794.013,0.464737,1.08738,1.1866e-11,0.122992,True,55.0|162,84
1,8|84|8|84|sample|6|162|6|162|55.0,75428.5,794.013,2.61894,4.66492,1.1866e-11,0.122992,True,55.0|162,84
1,8|84|8|84|sample|4|162|4|162|55.0,75428.5,794.013,2.76401,1.26112,1.1866e-11,0.122992,True,55.0|162,84
1,8|84|8|84|sample|3|162|3|162|55.0,75428.5,794.013,1.31807,3.19361,1.1866e-11,0.122992,True,55.0|162,84
