id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|847|vc|5|2|69,0,0,0.0282765,0,0,0,0,0,-4.18989e-07,0,0,0,False,69.0|69,847
8|847|vc|6|2|69,0,0,-0.0500725,0,0,0,0,0,-8.95259e-08,0,0,0,False,69.0|69,847
8|847|vc|7|2|69,0,0,0.165107,0,0,0,0,0,6.67909e-08,0,0,0,False,69.0|69,847
8|847|vc|8|2|69,0,0,-0.135479,0,0,0,0,0,3.03496e-07,0,0,0,False,69.0|69,847
8|474|cc|1|1|276,0,0,-0.024121,0,0,0,0,0,3.37891e-08,0,0,0,False,69.0|276,474
8|474|cc|2|1|276,0,0,-0.119192,0,0,0,0,0,4.54429e-07,0,0,0,False,69.0|276,474
8|474|cc|3|1|276,0,0,-0.1512,0,0,0,0,0,3.68116e-08,0,0,0,False,69.0|276,474
8|474|cc|4|1|276,0,0,0.211427,0,0,0,0,0,2.34649e-07,0,0,0,False,69.0|276,474
8|474|cc|5|1|276,0,0,-0.0108295,0,0,0,0,0,-1.13323e-07,0,0,0,False,69.0|276,474
8|474|cc|6|1|276,0,0,-0.174626,0,0,0,0,0,1.36166e-07,0,0,0,False,69.0|276,474
8|474|cc|7|1|276,0,0,-0.0384426,0,0,0,0,0,-3.33364e-07,0,0,0,False,69.0|276,474
8|474|cc|8|1|276,0,0,0.0343704,0,0,0,0,0,-9.26174e-08,0,0,0,False,69.0|276,474
8|474|sample|10|276,0,0,2.03247,0,0,0,0,0,2.17735,0,0,0,True,32.0|276,474
8|474|sample|11|276,0,0,0.0819817,0,0,0,0,0,0.0989221,0,0,0,True,22.0|276,474
8|474|sample|12|276,0,0,0.0649308,0,0,0,0,0,0.0765277,0,0,0,True,22.0|276,474
8|474|sample|3|276,0,0,-1.29491,0,0,0,0,0,-1.1843,0,0,0,True,55.0|276,474
8|474|sample|4|276,0,0,-1.16794,0,0,0,0,0,-1.11868,0,0,0,True,55.0|276,474
8|474|sample|5|276,0,0,-1.15266,0,0,0,0,0,-1.04334,0,0,0,True,55.0|276,474
8|474|sample|6|276,0,0,-1.08136,0,0,0,0,0,-1.05645,0,0,0,True,55.0|276,474
8|474|sample|7|276,0,0,1.95723,0,0,0,0,0,1.9599,0,0,0,True,32.0|276,474
8|474|sample|8|276,0,0,1.84598,0,0,0,0,0,1.89974,0,0,0,True,32.0|276,474
8|474|sample|9|276,0,0,2.21267,0,0,0,0,0,2.18745,0,0,0,True,32.0|276,474
8|474|vc|1|2|276,0,0,0.0900126,0,0,0,0,0,1.28151e-07,0,0,0,False,69.0|276,474
8|474|vc|2|2|276,0,0,0.0106677,0,0,0,0,0,1.53683e-07,0,0,0,False,69.0|276,474
8|474|vc|3|2|276,0,0,0.243089,0,0,0,0,0,2.54117e-07,0,0,0,False,69.0|276,474
8|474|vc|4|2|276,0,0,0.0425721,0,0,0,0,0,-2.34934e-08,0,0,0,False,69.0|276,474
8|474|vc|5|2|276,0,0,0.0518588,0,0,0,0,0,3.73817e-07,0,0,0,False,69.0|276,474
8|474|vc|6|2|276,0,0,-0.286593,0,0,0,0,0,-4.44744e-08,0,0,0,False,69.0|276,474
8|474|vc|7|2|276,0,0,0.0535861,0,0,0,0,0,-3.42188e-07,0,0,0,False,69.0|276,474
8|474|vc|8|2|276,0,0,-0.11338,0,0,0,0,0,2.05421e-07,0,0,0,False,69.0|276,474
8|462|cc|1|1|292,0,0,0.111118,0,0,0,0,0,2.56731e-07,0,0,0,False,69.0|292,462
8|462|cc|2|1|292,0,0,-0.141882,0,0,0,0,0,-1.48277e-08,0,0,0,False,69.0|292,462
8|462|cc|3|1|292,0,0,0.54434,0,0,0,0,0,-2.3435e-07,0,0,0,False,69.0|292,462
8|462|cc|4|1|292,0,0,0.035107,0,0,0,0,0,4.10944e-08,0,0,0,False,69.0|292,462
8|462|cc|5|1|292,0,0,-0.160736,0,0,0,0,0,3.37648e-07,0,0,0,False,69.0|292,462
8|462|cc|6|1|292,0,0,0.0581687,0,0,0,0,0,-2.85058e-07,0,0,0,False,69.0|292,462
8|462|cc|7|1|292,0,0,-0.0404947,0,0,0,0,0,-1.46641e-07,0,0,0,False,69.0|292,462
8|462|cc|8|1|292,0,0,0.0732264,0,0,0,0,0,1.4344e-07,0,0,0,False,69.0|292,462
8|462|sample|10|292,0,0,2.09989,0,0,0,0,0,2.16723,0,0,0,True,32.0|292,462
8|462|sample|11|292,0,0,-0.622506,0,0,0,0,0,-0.527679,0,0,0,True,22.0|292,462
8|462|sample|12|292,0,0,-0.50162,0,0,0,0,0,-0.462981,0,0,0,True,22.0|292,462
8|462|sample|3|292,0,0,-1.90737,0,0,0,0,0,-1.76673,0,0,0,True,55.0|292,462
8|462|sample|4|292,0,0,-1.8693,0,0,0,0,0,-1.72821,0,0,0,True,55.0|292,462
8|462|sample|5|292,0,0,-1.97962,0,0,0,0,0,-1.9262,0,0,0,True,55.0|292,462
8|462|sample|6|292,0,0,-1.95584,0,0,0,0,0,-1.8726,0,0,0,True,55.0|292,462
8|462|sample|7|292,0,0,1.81246,0,0,0,0,0,1.91342,0,0,0,True,32.0|292,462
8|462|sample|8|292,0,0,1.89713,0,0,0,0,0,1.90203,0,0,0,True,32.0|292,462
8|462|sample|9|292,0,0,1.99215,0,0,0,0,0,2.16163,0,0,0,True,32.0|292,462
8|462|vc|1|2|292,0,0,-0.381369,0,0,0,0,0,1.9327e-07,0,0,0,False,69.0|292,462
8|462|vc|2|2|292,0,0,0.107269,0,0,0,0,0,1.29293e-07,0,0,0,False,69.0|292,462
8|462|vc|3|2|292,0,0,-0.162341,0,0,0,0,0,6.73184e-08,0,0,0,False,69.0|292,462
8|462|vc|4|2|292,0,0,-0.214537,0,0,0,0,0,5.11917e-09,0,0,0,False,69.0|292,462
8|462|vc|5|2|292,0,0,0.26089,0,0,0,0,0,-1.46243e-07,0,0,0,False,69.0|292,462
8|462|vc|6|2|292,0,0,-0.188026,0,0,0,0,0,-2.03573e-07,0,0,0,False,69.0|292,462
8|462|vc|7|2|292,0,0,-0.21489,0,0,0,0,0,9.41224e-08,0,0,0,False,69.0|292,462
8|462|vc|8|2|292,0,0,0.019454,0,0,0,0,0,5.17278e-08,0,0,0,False,69.0|292,462
8|75|cc|1|1|65,0,0,0.0819921,0,0,0,0,0,-2.32233e-07,0,0,0,False,69.0|65,75
8|75|cc|2|1|65,0,0,0.136014,0,0,0,0,0,3.12756e-07,0,0,0,False,69.0|65,75
8|75|cc|3|1|65,0,0,0.188919,0,0,0,0,0,-1.30711e-07,0,0,0,False,69.0|65,75
8|75|cc|4|1|65,0,0,0.060103,0,0,0,0,0,2.32663e-07,0,0,0,False,69.0|65,75
8|75|cc|5|1|65,0,0,-0.318538,0,0,0,0,0,-2.00756e-07,0,0,0,False,69.0|65,75
8|75|cc|6|1|65,0,0,0.117285,0,0,0,0,0,-2.26555e-07,0,0,0,False,69.0|65,75
8|75|cc|7|1|65,0,0,-0.229768,0,0,0,0,0,-2.43813e-07,0,0,0,False,69.0|65,75
8|75|cc|8|1|65,0,0,0.0102453,0,0,0,0,0,1.59161e-08,0,0,0,False,69.0|65,75
8|75|sample|10|65,0,0,-1.79031,0,0,0,0,0,-1.72865,0,0,0,True,32.0|65,75
8|75|sample|11|65,0,0,-0.549772,0,0,0,0,0,-0.787952,0,0,0,True,22.0|65,75
8|75|sample|12|65,0,0,1.38431,0,0,0,0,0,1.51379,0,0,0,True,22.0|65,75
8|75|sample|3|65,0,0,-0.748046,0,0,0,0,0,-0.728491,0,0,0,True,55.0|65,75
8|75|sample|4|65,0,0,-0.557264,0,0,0,0,0,-0.546415,0,0,0,True,55.0|65,75
8|75|sample|5|65,0,0,-1.03684,0,0,0,0,0,-0.994624,0,0,0,True,55.0|65,75
8|75|sample|6|65,0,0,-0.952586,0,0,0,0,0,-0.957692,0,0,0,True,55.0|65,75
8|75|sample|7|65,0,0,-1.71501,0,0,0,0,0,-1.5618,0,0,0,True,32.0|65,75
8|75|sample|8|65,0,0,-1.71844,0,0,0,0,0,-1.60802,0,0,0,True,32.0|65,75
8|75|sample|9|65,0,0,-1.86595,0,0,0,0,0,-1.72404,0,0,0,True,32.0|65,75
8|75|vc|1|2|65,0,0,0.201797,0,0,0,0,0,4.47517e-09,0,0,0,False,69.0|65,75
