rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|847|vc|3|2|69,790.603,1.36088,0.0489106,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|4|2|69,790.603,1.21217,0.0489101,2.96387,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|5|2|69,790.603,1.39813,0.0489104,2.96387,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|6|2|69,790.603,1.49325,0.04891,2.96389,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|7|2|69,790.603,1.14936,0.0489103,2.96389,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|8|2|69,790.603,1.43414,0.0489103,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|474|cc|1|1|276,790.603,1.49067,0.08572,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|2|1|276,790.603,1.6423,0.0857189,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|3|1|276,790.603,1.08647,0.0857196,13.1678,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|4|1|276,790.603,1.27193,0.0857196,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|5|1|276,790.603,1.53299,0.0857189,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|6|1|276,790.603,1.30112,0.0857195,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|7|1|276,790.603,1.18409,0.08572,13.1678,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|cc|8|1|276,790.603,1.32182,0.0857196,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|sample|10|276,790.603,0.793983,0.0847669,139.072,-0.0178884,5.29338e-07,True,32.0|276,474
1,8|474|sample|11|276,790.603,0.861737,0.0263617,91.8078,-0.0178884,5.29338e-07,True,22.0|276,474
1,8|474|sample|12|276,790.603,0.782407,0.0263618,91.8082,-0.0178884,5.29338e-07,True,22.0|276,474
1,8|474|sample|3|276,790.603,0.953506,1.71706,1.2691,-0.0178884,5.29338e-07,True,55.0|276,474
1,8|474|sample|4|276,790.603,0.997372,1.71706,1.2691,-0.0178884,5.29338e-07,True,55.0|276,474
1,8|474|sample|5|276,790.603,1.06191,1.71706,1.2691,-0.0178884,5.29338e-07,True,55.0|276,474
1,8|474|sample|6|276,790.603,0.987418,1.71706,1.26911,-0.0178884,5.29338e-07,True,55.0|276,474
1,8|474|sample|7|276,790.603,0.809734,0.0847674,139.072,-0.0178884,5.29338e-07,True,32.0|276,474
1,8|474|sample|8|276,790.603,0.813421,0.0847678,139.072,-0.0178884,5.29338e-07,True,32.0|276,474
1,8|474|sample|9|276,790.603,0.810497,0.0847676,139.073,-0.0178884,5.29338e-07,True,32.0|276,474
1,8|474|vc|1|2|276,790.603,1.73292,0.0857195,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|2|2|276,790.603,1.47943,0.0857189,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|3|2|276,790.603,1.31721,0.0857188,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
1,8|474|vc|4|2|276,790.603,1.59642,0.0857197,13.1677,-0.0178884,5.29338e-07,False,69.0|276,474
