rep,id,f,h,L_gap,mab_virus,run_id
1,8|1159|8|1159|sample|7|292|7|292|65.0,0.258433,1.73488,-21.9936,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0.248558,1.73488,3.77559,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0.211027,1.73488,-1.50273,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0.0542533,1.73488,-6.7683,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,0.0402505,1.73488,-31.6925,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0.0864773,1.73488,-17.6676,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0.0871052,1.73488,-9.79998,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0.298681,1.73488,-21.3665,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0.298279,1.73488,4.46807,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0.0704052,1.73488,7.99807,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0.182771,1.73488,-27.3909,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0.219438,1.73488,-7.12884,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,0.12473,1.73488,-3.97647,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,0.169557,1.73488,6.11047,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0.176623,1.73488,-35.1654,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0.15217,1.73488,-5.7541,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,0.623135,1.73488,5.15942,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,0.392376,1.73488,18.8583,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,0.198021,1.73488,-10.3335,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0.194934,1.73488,-6.61644,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,0.102643,1.73488,-27.7506,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,0.27658,1.73488,-26.0434,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,0.369986,1.73488,-13.0361,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0.11279,1.73488,-13.6331,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,0.198498,1.73488,9.79121,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,0.0321491,1.80841,-37.5458,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,0.0312068,1.80841,-4.78379,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,0.0263233,1.80841,-28.0908,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,0.0300033,1.80841,-24.0271,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,0.0192385,1.80841,-19.3503,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,0.0206324,1.80841,-28.6641,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,0.0249643,1.80841,-14.8737,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,0.0257432,1.80841,-12.3784,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,0.0266123,1.80841,2.62028,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,0.0181548,1.80841,-36.6033,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,0.0276424,1.80841,-31.9399,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,0.0302843,1.80841,-3.72777,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0.0376397,1.80841,-21.459,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,0.0403845,1.80841,-9.57308,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.009839,1.80841,-19.3777,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0.0244053,1.80841,-6.80355,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,0.012778,1.80841,-32.5853,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0.0237697,1.80841,-6.2007,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,0.0287791,1.80841,-31.2863,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,0.0325278,1.80841,4.98625,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0.0180409,1.80841,-19.3429,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,0.022822,1.80841,-34.4085,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,0.0831204,1.80841,-7.43826,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,0.0301838,1.80841,-17.2212,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,0.0350074,1.80841,-5.56373,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,0.0147236,1.80841,7.12947,69.0|103,1197
