id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|cc|1|1|274|1|274|69.0,-2.05895e-09,-1.88016e-09,-1.54285e-09,2.14595e-09,-1.10064,0,0,0,0,-8.32667e-16,2.89076e-07,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-7.94535e-10,-7.27036e-10,4.49517e-10,-1.54693e-09,-0.579871,0,0,-4.72937e-11,-1.33227e-15,-7.77156e-16,-1.23583e-06,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,4.13653e-09,-2.28544e-09,-1.23708e-09,-5.66309e-10,0.646499,0,0,7.27596e-12,-2.89679e-12,-1.14814e-12,0.660417,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,2.37342e-10,-2.41426e-09,-6.60382e-10,7.01491e-10,0.179369,0,0,3.63798e-12,1.23812e-12,-4.30761e-12,0.182431,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,1.70316e-10,9.24272e-10,9.32095e-10,1.20038e-09,1.18411,0,0,-3.63798e-12,4.44089e-16,1.05471e-15,9.0106e-07,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-2.446e-09,-1.50114e-09,-3.87807e-10,2.01149e-09,0.29676,0,0,3.63798e-12,4.35385e-12,1.12355e-12,0.302975,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,1.93744e-10,1.17494e-09,-1.52447e-10,-8.33727e-10,0.0739159,0,0,0,-7.01661e-14,-3.78031e-14,0.0755007,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-1.39303e-09,-2.33546e-09,1.63267e-09,1.18263e-09,0.839307,0,0,0,0,1.44329e-15,-1.24853e-06,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,2.84953e-09,3.84765e-09,-1.52584e-09,-2.56434e-09,0.49805,0,0,0,-1.33227e-15,0,-1.77666e-07,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-4.09794e-09,-1.25002e-09,-5.79111e-10,-1.75996e-11,-0.263597,0,0,1.81899e-11,-3.37508e-14,7.41507e-12,-0.267089,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-1.0769e-09,-2.84126e-12,4.54108e-10,1.58817e-09,-0.994408,0,0,0,1.77636e-15,1.16573e-15,2.01067e-06,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,1.62332e-09,-1.59127e-09,-2.85455e-10,-1.30324e-09,0.00391752,0,0,-3.63798e-12,-6.04139e-12,-8.52818e-12,0.00395927,0,False,69.0|274,411
