rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|433|14|433|sample|3|99|3|99|6.0,4.95314,1.16479,0.0199471,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|6|99|6|99|6.0,1.18699,1.16479,0.663646,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|5|99|5|99|6.0,3.46934,1.16479,0.701665,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|8|99|8|99|6.0,3.86601,1.16479,0.008611,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|7|99|7|99|6.0,1.35446,1.16479,0.00709073,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|10|99|10|99|6.0,1.76745,1.16479,0.0829579,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|9|99|9|99|6.0,3.24966,1.16479,0.0810808,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|11|99|11|99|6.0,-0.240513,1.16479,0.355216,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|sample|12|99|12|99|6.0,6.59983,1.16479,0.200855,0.0807165,0.00660313,True,6.0|99,433
1,14|433|14|433|cc|1|1|99|1|99|69.0,2.2397,1.71645,0.062016,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|2|1|99|1|99|69.0,2.09102,1.71645,0.0877155,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|3|1|99|1|99|69.0,0.155872,1.71645,0.0504889,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|4|1|99|1|99|69.0,3.78207,1.71645,0.0809487,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|5|1|99|1|99|69.0,1.34021,1.71645,0.0977156,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|6|1|99|1|99|69.0,1.38044,1.71645,2.72395,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|7|1|99|1|99|69.0,5.94277,1.71645,0.101714,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|cc|8|1|99|1|99|69.0,3.96675,1.71645,0.0290576,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|1|2|99|2|99|69.0,2.26862,1.71645,0.00586914,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|2|2|99|2|99|69.0,4.74996,1.71645,0.0108062,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|3|2|99|2|99|69.0,-3.12572,1.71645,0.0138157,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|4|2|99|2|99|69.0,3.61377,1.71645,17.7138,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|5|2|99|2|99|69.0,1.48893,1.71645,0.188361,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|6|2|99|2|99|69.0,-2.17635,1.71645,0.11841,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|7|2|99|2|99|69.0,3.29738,1.71645,0.144074,0.0807165,0.00660313,False,69.0|99,433
1,14|433|14|433|vc|8|2|99|2|99|69.0,-3.4627,1.71645,0.0105733,0.0807165,0.00660313,False,69.0|99,433
1,14|297|14|297|sample|3|71|3|71|6.0,7.45342,1.71659,0.609035,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|4|71|4|71|6.0,6.31228,1.71659,1.12919,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|5|71|5|71|6.0,4.72082,1.71659,0.028048,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|6|71|6|71|6.0,3.82362,1.71659,0.0282759,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|8|71|8|71|6.0,-2.06398,1.71659,0.0877503,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|7|71|7|71|6.0,3.85161,1.71659,0.0711262,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|9|71|9|71|6.0,4.31817,1.71659,0.0328889,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|10|71|10|71|6.0,1.13127,1.71659,0.0424154,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|12|71|12|71|6.0,7.05602,1.71659,2.68927,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|sample|11|71|11|71|6.0,3.33742,1.71659,4.21467,0.0806192,0.00695324,True,6.0|71,297
1,14|297|14|297|cc|1|1|71|1|71|69.0,9.64509,1.71646,0.0534665,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|2|1|71|1|71|69.0,5.34639,1.71646,0.387217,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|3|1|71|1|71|69.0,3.26461,1.71646,0.00959912,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|4|1|71|1|71|69.0,6.84787,1.71646,0.0252205,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|5|1|71|1|71|69.0,4.24078,1.71646,0.777755,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|6|1|71|1|71|69.0,1.73976,1.71646,1.15816,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|7|1|71|1|71|69.0,8.1458,1.71646,0.0223334,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|cc|8|1|71|1|71|69.0,4.78729,1.71646,0.0222801,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|1|2|71|2|71|69.0,2.95625,1.71646,0.247384,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|2|2|71|2|71|69.0,2.78823,1.71646,1.3784,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|3|2|71|2|71|69.0,5.99699,1.71646,0.521265,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|4|2|71|2|71|69.0,-4.54463,1.71646,0.609528,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|5|2|71|2|71|69.0,7.89474,1.71646,1.52012,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|6|2|71|2|71|69.0,5.80551,1.71646,0.0558121,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|7|2|71|2|71|69.0,5.02522,1.71646,0.0405423,0.0806192,0.00695324,False,69.0|71,297
1,14|297|14|297|vc|8|2|71|2|71|69.0,5.32099,1.71646,0.895612,0.0806192,0.00695324,False,69.0|71,297
1,14|183|14|183|sample|4|233|4|233|6.0,5.7531,1.71629,0.262574,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|3|233|3|233|6.0,6.22205,1.71629,0.288021,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|6|233|6|233|6.0,1.22205,1.71629,0.215261,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|5|233|5|233|6.0,4.43847,1.71629,0.130712,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|7|233|7|233|6.0,0.616212,1.71629,0.396677,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|8|233|8|233|6.0,4.94526,1.71629,0.402474,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|10|233|10|233|6.0,3.7765,1.71629,0.121034,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|9|233|9|233|6.0,5.14502,1.71629,0.155521,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|12|233|12|233|6.0,4.01677,1.71629,0.860571,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|sample|11|233|11|233|6.0,1.31309,1.71629,1.5203,0.0806944,1.22882,True,6.0|233,183
1,14|183|14|183|cc|1|1|233|1|233|69.0,-2.55374,1.71643,0.203688,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|2|1|233|1|233|69.0,1.46173,1.71643,0.179465,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|3|1|233|1|233|69.0,1.05371,1.71643,0.551816,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|4|1|233|1|233|69.0,2.51274,1.71643,0.0388714,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|5|1|233|1|233|69.0,9.70945,1.71643,0.334034,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|6|1|233|1|233|69.0,5.40632,1.71643,0.00558045,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|7|1|233|1|233|69.0,2.81652,1.71643,0.223966,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|cc|8|1|233|1|233|69.0,1.61854,1.71643,0.00678969,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|1|2|233|2|233|69.0,0.0668483,1.71643,0.0925032,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|2|2|233|2|233|69.0,0.679082,1.71643,0.237672,0.0806944,1.22882,False,69.0|233,183
1,14|183|14|183|vc|3|2|233|2|233|69.0,7.94859,1.71643,0.0319365,0.0806944,1.22882,False,69.0|233,183
