rep,id,U,L,L_gap,h,f,alpha,k,goes_down,mab_virus,run_id
1,8|462|8|462|sample|10|292|10|292|32.0,83918,497.118,0.416036,2.4213,0.0422488,1.26215e-06,1.00235e-09,True,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,83918,497.118,0.416036,1.92076,0.0422488,1.26215e-06,1.00235e-09,True,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,83918,497.118,0.416036,2.31884,0.0422488,1.26215e-06,1.00235e-09,True,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,83918,497.118,0.604835,2.36941,0.502161,1.26215e-06,1.00235e-09,True,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,83918,497.118,0.604835,2.93628,0.502161,1.26215e-06,1.00235e-09,True,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,83918,497.118,5.13281,3.86488,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,83918,497.118,5.13281,-0.0519599,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,83918,497.118,5.13281,0.382919,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,83918,497.118,5.13281,-2.75196,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,83918,497.118,5.13281,-2.79186,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,83918,497.118,5.13281,1.2921,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,83918,497.118,5.13281,-0.41316,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,83918,497.118,5.13281,-0.695586,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,83918,497.118,5.13281,-0.650341,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,83918,497.118,5.13281,-1.09253,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,83918,497.118,5.13281,-0.893552,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,83918,497.118,5.13281,-1.08169,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,83918,497.118,5.13281,2.26035,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,83918,497.118,5.13281,-1.19606,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,83918,497.118,5.13281,-0.682821,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,83918,497.118,5.13281,-0.760027,0.673465,1.26215e-06,1.00235e-09,False,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,83918,497.073,0.0671567,2.0665,0.419,1.26743e-06,1.00231e-09,True,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,83918,497.073,0.0671567,2.42868,0.419,1.26743e-06,1.00231e-09,True,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,83918,497.073,0.0671567,1.85057,0.419,1.26743e-06,1.00231e-09,True,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,83918,497.073,0.0671567,2.03136,0.419,1.26743e-06,1.00231e-09,True,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,83918,497.073,0.270335,2.39025,0.135451,1.26743e-06,1.00231e-09,True,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,83918,497.073,0.270335,2.84373,0.135451,1.26743e-06,1.00231e-09,True,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,83918,497.073,0.270335,2.08063,0.135451,1.26743e-06,1.00231e-09,True,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,83918,497.073,0.270335,1.94648,0.135451,1.26743e-06,1.00231e-09,True,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,83918,497.073,0.604835,2.10374,0.502161,1.26743e-06,1.00231e-09,True,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,83918,497.073,0.604835,2.21129,0.502161,1.26743e-06,1.00231e-09,True,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,83918,497.073,5.13281,0.291854,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,83918,497.073,5.13281,-0.141585,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,83918,497.073,5.13281,0.0250081,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,83918,497.073,5.13281,0.623192,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,83918,497.073,5.13281,-1.6645,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,83918,497.073,5.13281,2.08313,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,83918,497.073,5.13281,1.23641,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,83918,497.073,5.13281,0.635155,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,83918,497.073,5.13281,-2.99151,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,83918,497.073,5.13281,2.54718,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,83918,497.073,5.13281,1.04677,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,83918,497.073,5.13281,1.41128,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,83918,497.073,5.13281,2.60729,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,83918,497.073,5.13281,-0.158626,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,83918,497.073,5.13281,-0.667082,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,83918,497.073,5.13281,0.0705849,0.673465,1.26743e-06,1.00231e-09,False,69.0|292,1159
1,8|75|8|75|sample|6|65|6|65|55.0,83918,497.073,2.15175,0.488102,7.18111e-05,1.26742e-06,1.00232e-09,True,55.0|65,75
1,8|75|8|75|sample|5|65|5|65|55.0,83918,497.073,2.15175,0.509851,7.18111e-05,1.26742e-06,1.00232e-09,True,55.0|65,75
1,8|75|8|75|sample|3|65|3|65|55.0,83918,497.073,2.15175,0.486692,7.18111e-05,1.26742e-06,1.00232e-09,True,55.0|65,75
