id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|433|cc|3|1|99,0.00556339,0.00367021,3.02614e-07,0,0,0,-2.59983e-08,-3.25704e-07,-3.72236e-12,0,0,0,False,69.0|99,433
14|433|cc|4|1|99,0.000924149,0.0154379,-3.24971e-07,0,0,0,2.34948e-07,-1.24746e-07,-9.53593e-12,0,0,0,False,69.0|99,433
14|433|cc|5|1|99,-0.00802348,-0.00568511,2.29239e-07,0,0,0,-3.19034e-08,3.63217e-07,1.97242e-12,0,0,0,False,69.0|99,433
14|433|cc|6|1|99,-0.000870735,-0.00239063,-4.10884e-08,0,0,0,4.97293e-08,-4.16332e-07,2.90656e-12,0,0,0,False,69.0|99,433
14|433|cc|7|1|99,0.000387724,0.0117531,2.65586e-07,0,0,0,4.0171e-08,-2.85849e-07,1.8785e-12,0,0,0,False,69.0|99,433
14|433|cc|8|1|99,0.00126592,0.031957,1.60736e-07,0,0,0,-2.54348e-07,8.00739e-07,2.89901e-12,0,0,0,False,69.0|99,433
14|433|vc|1|2|99,-0.00594808,0.0205717,-1.0495e-08,0,0,0,-3.53816e-05,2.1011e-07,-3.01759e-12,0,0,0,False,69.0|99,433
14|433|vc|2|2|99,-0.0142468,0.0233015,3.93663e-08,0,0,0,-0.000704452,3.31134e-07,-2.14495e-12,0,0,0,False,69.0|99,433
14|433|vc|3|2|99,-0.00551441,0.0190957,2.45229e-07,0,0,0,-0.00126094,-2.66858e-07,5.64171e-12,0,0,0,False,69.0|99,433
14|433|vc|4|2|99,-0.00854236,0.0258191,1.73106e-07,0,0,0,-0.000876673,3.74353e-07,9.75664e-13,0,0,0,False,69.0|99,433
14|433|vc|5|2|99,-0.00970997,-0.0194703,4.30614e-07,0,0,0,-0.00100296,1.18465e-07,6.02496e-12,0,0,0,False,69.0|99,433
14|433|vc|6|2|99,-0.00906613,-0.00631523,-2.36274e-07,0,0,0,-0.00116352,-2.57603e-07,2.25642e-12,0,0,0,False,69.0|99,433
14|433|vc|7|2|99,0.000725479,-0.0295779,-3.98134e-08,0,0,0,-0.00040444,4.20992e-07,-1.68487e-12,0,0,0,False,69.0|99,433
14|433|vc|8|2|99,-0.0145411,-0.0049049,-1.67446e-07,0,0,0,0.000789818,3.60494e-07,-2.77645e-12,0,0,0,False,69.0|99,433
14|297|sample|3|71,0.02312,0.023287,-2.07559e-07,0,0,0,0.0253175,-9.80106e-05,-9.52127e-13,0,0,0,True,6.0|71,297
14|297|sample|4|71,0.0241523,0.0116376,-4.60347e-09,0,0,0,0.025294,-9.93305e-05,-1.88649e-12,0,0,0,True,6.0|71,297
14|297|sample|5|71,0.0307862,-0.0186589,2.32317e-08,0,0,0,0.0332006,-0.000269675,8.8729e-13,0,0,0,True,6.0|71,297
14|297|sample|6|71,0.0318789,-0.0694448,-1.37199e-07,0,0,0,0.033373,-0.000273407,-7.70584e-12,0,0,0,True,6.0|71,297
14|297|sample|8|71,0.0286428,-0.028873,2.24426e-07,0,0,0,0.0329258,-9.69511e-05,5.47473e-12,0,0,0,True,6.0|71,297
14|297|sample|7|71,0.0303076,-0.00177598,1.42297e-07,0,0,0,0.0332479,-0.000138731,4.82281e-13,0,0,0,True,6.0|71,297
14|297|sample|9|71,0.0327742,0.0362844,-4.2544e-07,0,0,0,0.0336345,-0.000282771,-7.05569e-12,0,0,0,True,6.0|71,297
14|297|sample|10|71,0.0320223,0.0260962,-2.11507e-07,0,0,0,0.0334563,-0.000274619,-1.70814e-11,0,0,0,True,6.0|71,297
14|297|sample|12|71,0.0229082,-0.0437606,5.60129e-07,0,0,0,0.025086,8.34954e-05,4.4782e-12,0,0,0,True,6.0|71,297
14|297|sample|11|71,0.0183861,-0.00921985,-5.4673e-08,0,0,0,0.0236172,0.000255681,2.30926e-12,0,0,0,True,6.0|71,297
14|297|cc|1|1|71,-0.00118275,0.00262872,1.31457e-07,0,0,0,-3.39748e-08,4.59307e-07,2.78155e-12,0,0,0,False,69.0|71,297
14|297|cc|2|1|71,-0.00438688,0.00528765,1.07401e-07,0,0,0,8.68926e-08,1.57877e-08,2.65332e-12,0,0,0,False,69.0|71,297
14|297|cc|3|1|71,-0.00329487,0.0154792,-1.55193e-07,0,0,0,1.79496e-08,3.68513e-07,-1.03184e-12,0,0,0,False,69.0|71,297
14|297|cc|4|1|71,0.00136122,-0.020204,-7.8276e-08,0,0,0,1.73275e-07,-4.73103e-07,8.26428e-12,0,0,0,False,69.0|71,297
14|297|cc|5|1|71,-0.00144156,-0.00353018,-1.183e-07,0,0,0,-4.90432e-08,-1.41533e-08,-9.29445e-12,0,0,0,False,69.0|71,297
14|297|cc|6|1|71,-0.00774567,0.0033443,-2.24008e-07,0,0,0,-1.00094e-07,3.72328e-07,1.75926e-12,0,0,0,False,69.0|71,297
14|297|cc|7|1|71,-0.00771731,0.00170862,-4.97995e-08,0,0,0,-2.79377e-08,-8.15886e-07,-1.6191e-11,0,0,0,False,69.0|71,297
14|297|cc|8|1|71,-0.000522939,-0.00901898,-2.34105e-07,0,0,0,1.64169e-07,1.28652e-07,3.4468e-12,0,0,0,False,69.0|71,297
14|297|vc|1|2|71,-0.000216805,0.00162385,-3.06168e-07,0,0,0,0.00590308,-2.73339e-07,4.0784e-12,0,0,0,False,69.0|71,297
14|297|vc|2|2|71,-0.00864784,-0.00405183,4.35175e-07,0,0,0,0.00522357,2.75275e-07,-2.6148e-12,0,0,0,False,69.0|71,297
14|297|vc|3|2|71,0.00605419,0.00922891,1.06039e-07,0,0,0,0.00459742,9.71693e-08,-3.89466e-13,0,0,0,False,69.0|71,297
14|297|vc|4|2|71,-0.00723295,0.0205001,-9.63691e-08,0,0,0,0.00464764,-3.77503e-07,-4.15223e-13,0,0,0,False,69.0|71,297
14|297|vc|5|2|71,-0.000569311,-0.012192,3.40822e-08,0,0,0,0.0140695,-1.17648e-07,1.98397e-12,0,0,0,False,69.0|71,297
14|297|vc|6|2|71,-0.00261339,0.0269176,6.12647e-08,0,0,0,0.00459286,3.58229e-07,1.42597e-12,0,0,0,False,69.0|71,297
14|297|vc|7|2|71,-0.000469454,0.000745465,3.16666e-07,0,0,0,0.0140695,8.59438e-08,-2.46803e-12,0,0,0,False,69.0|71,297
14|297|vc|8|2|71,-0.00995347,0.0136911,2.3305e-07,0,0,0,0.0123294,2.71072e-07,4.5064e-12,0,0,0,False,69.0|71,297
14|183|sample|4|233,-0.146586,-0.0127306,7.54907e-09,0,0,0,-0.145162,-3.13747e-05,-7.66676e-12,0,0,0,True,6.0|233,183
14|183|sample|3|233,-0.145229,0.0302828,2.07142e-07,0,0,0,-0.145162,2.70609e-05,-1.31368e-11,0,0,0,True,6.0|233,183
14|183|sample|6|233,-0.14552,0.00580467,9.44871e-08,0,0,0,-0.145162,-0.00892378,-2.94873e-08,0,0,0,True,6.0|233,183
14|183|sample|5|233,-0.144764,-0.0559461,-5.10518e-07,0,0,0,-0.145162,-0.00875824,-5.15071e-07,0,0,0,True,6.0|233,183
14|183|sample|7|233,-0.146156,-0.0402854,-6.01884e-09,0,0,0,-0.145162,0.000133428,-3.96291e-11,0,0,0,True,6.0|233,183
