id,U_SAEM,L_SAEM,L_gap_SAEM,h_SAEM,f_SAEM,alpha_SAEM,U_mode,L_mode,L_gap_mode,h_mode,f_mode,alpha_mode,goes_down,mab_virus,run_id
9|411|9|411|vc|8|2|274|2|274|69.0,125886,10893.6,35.6488,0.094941,9.62549e+32,0.750516,125886,10893.6,35.6488,0.0949411,0.727129,0.764093,False,69.0|274,411
14|705|14|705|sample|3|233|3|233|6.0,125886,10895.1,8.26254,0.094941,1.52678e-13,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|4|233|4|233|6.0,125886,10895.1,8.26254,0.094941,7.80508e-14,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|5|233|5|233|6.0,125886,10895.1,8.26254,0.0949411,6.53043e-14,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|6|233|6|233|6.0,125886,10895.1,8.26254,0.094941,1.48056e-14,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|7|233|7|233|6.0,125886,10895.1,8.26254,0.094941,5.80481e-14,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|8|233|8|233|6.0,125886,10895.1,8.26254,0.0949411,6.58255e-13,1.88742,125886,10895.1,8.26254,0.0949411,0,1.88462,False,6.0|233,705
14|705|14|705|sample|10|233|10|233|6.0,125886,10895.1,5.70497,0.094941,3.23483e-14,1.88742,125886,10895.1,5.70497,0.0949411,0,1.88462,True,6.0|233,705
14|705|14|705|sample|9|233|9|233|6.0,125886,10895.1,5.70497,0.094941,4.61813e-13,1.88742,125886,10895.1,5.70497,0.0949411,0,1.88462,True,6.0|233,705
14|705|14|705|sample|12|233|12|233|6.0,125886,10895.1,5.70497,0.094941,3.96669e-07,1.88742,125886,10895.1,5.70497,0.0949411,1.44701e-12,1.88462,True,6.0|233,705
14|705|14|705|sample|11|233|11|233|6.0,125886,10895.1,5.70497,0.0949411,6.50914e-10,1.88742,125886,10895.1,5.70497,0.0949411,2.96435e-14,1.88462,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,125886,10893.3,3.92642,0.094941,1.47549e+21,1.88742,125886,10893.3,3.92642,0.0949411,0.895325,1.88462,False,69.0|233,705
