id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|783|sample|11|71,0.0140518,834.219,0.838051,1.54459,13.6147,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,13.5835,-10.7021,316687,True,6.0|71,783
14|783|cc|1|1|71,0.0140518,835.216,0.838852,0.971016,4.89149,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|cc|2|1|71,0.0140518,835.216,0.838852,0.971016,7.7839,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|cc|3|1|71,0.0140518,835.216,0.838852,0.971016,17.3534,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|cc|4|1|71,0.0140518,835.216,0.838852,0.971016,6.15098,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|cc|5|1|71,0.0140518,835.216,0.838852,0.971016,8.63719,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|cc|6|1|71,0.0140518,835.216,0.838852,0.971016,5.57638,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|cc|7|1|71,0.0140518,835.216,0.838852,0.971016,6.90465,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|cc|8|1|71,0.0140518,835.216,0.838852,0.971016,7.00262,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|vc|1|2|71,0.0140518,835.216,0.838852,0.971016,5.32851,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|vc|2|2|71,0.0140518,835.216,0.838852,0.971016,9.31449,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|vc|3|2|71,0.0140518,835.216,0.838852,0.971016,4.23255,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|vc|4|2|71,0.0140518,835.216,0.838852,0.971016,5.43397,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|783|vc|5|2|71,0.0140518,835.216,0.838852,0.971016,6.18499,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|vc|6|2|71,0.0140518,835.216,0.838852,0.971016,5.10361,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|vc|7|2|71,0.0140518,835.216,0.838852,0.971016,4.43845,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.5814,-10.7021,316687,False,69.0|71,783
14|783|vc|8|2|71,0.0140518,835.216,0.838852,0.971016,8.12388,-10.6995,316137,0.0139281,835.216,0.838563,0.971016,0.581399,-10.7021,316687,False,69.0|71,783
14|491|sample|10|99,0.0140518,833.417,0.641476,0.520832,31.2693,-10.6994,316137,0.0139281,833.417,0.640647,0.520831,30.9788,-10.702,316687,True,6.0|99,491
14|491|sample|9|99,0.0140518,833.417,0.641476,0.520832,29.7543,-10.6994,316137,0.0139281,833.417,0.640647,0.520831,30.6145,-10.702,316687,True,6.0|99,491
14|491|sample|12|99,0.0140518,833.417,0.641476,0.520832,13.8464,-10.6994,316137,0.0139281,833.417,0.640647,0.520831,14.1376,-10.702,316687,True,6.0|99,491
14|491|sample|11|99,0.0140518,833.417,0.641476,0.520832,11.501,-10.6994,316137,0.0139281,833.417,0.640647,0.520831,11.5343,-10.702,316687,True,6.0|99,491
14|491|sample|4|99,0.0140518,834.609,0.838719,3.86921,2.64997,-10.6994,316137,0.0139281,834.609,0.83843,3.86921,2.65064,-10.702,316687,True,44.0|99,491
14|491|sample|3|99,0.0140518,834.609,0.838719,3.86921,2.46457,-10.6994,316137,0.0139281,834.609,0.83843,3.86921,2.46128,-10.702,316687,True,44.0|99,491
14|491|sample|6|99,0.0140518,834.609,0.838719,3.86921,2.0206,-10.6994,316137,0.0139281,834.609,0.83843,3.86921,1.98095,-10.702,316687,True,44.0|99,491
14|491|sample|5|99,0.0140518,834.609,0.838719,3.86921,2.08606,-10.6994,316137,0.0139281,834.609,0.83843,3.86921,2.10108,-10.702,316687,True,44.0|99,491
14|491|sample|7|99,0.0140518,831.215,0.838826,1.13489,86.3658,-10.6994,316137,0.0139281,831.215,0.838537,1.13489,84.7759,-10.702,316687,True,63.0|99,491
14|491|sample|8|99,0.0140518,831.215,0.838826,1.13489,79.2049,-10.6994,316137,0.0139281,831.215,0.838537,1.13489,79.3526,-10.702,316687,True,63.0|99,491
14|491|cc|1|1|99,0.0140518,835.174,0.838868,1.54698,4.28834,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|2|1|99,0.0140518,835.174,0.838868,1.54698,4.54601,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|3|1|99,0.0140518,835.174,0.838868,1.54698,4.85585,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|4|1|99,0.0140518,835.174,0.838868,1.54698,4.57176,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|5|1|99,0.0140518,835.174,0.838868,1.54698,3.60176,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|6|1|99,0.0140518,835.174,0.838868,1.54698,7.00984,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|7|1|99,0.0140518,835.174,0.838868,1.54698,5.66043,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|cc|8|1|99,0.0140518,835.174,0.838868,1.54698,3.18072,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|1|2|99,0.0140518,835.174,0.838868,1.54698,5.17619,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|2|2|99,0.0140518,835.174,0.838868,1.54698,4.91142,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|3|2|99,0.0140518,835.174,0.838868,1.54698,5.72045,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|4|2|99,0.0140518,835.174,0.838868,1.54698,7.15309,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|5|2|99,0.0140518,835.174,0.838868,1.54698,4.84111,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|6|2|99,0.0140518,835.174,0.838868,1.54698,3.35048,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|7|2|99,0.0140518,835.174,0.838868,1.54698,5.86342,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|491|vc|8|2|99,0.0140518,835.174,0.838868,1.54698,2.76668,-10.6994,316137,0.0139281,835.174,0.838579,1.54698,0.587417,-10.702,316687,False,69.0|99,491
14|433|sample|4|99,0.0140518,833.417,0.641476,0.520832,14.233,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,14.3607,-10.7021,316687,True,6.0|99,433
14|433|sample|3|99,0.0140518,833.417,0.641476,0.520832,14.2028,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,14.3977,-10.7021,316687,True,6.0|99,433
14|433|sample|6|99,0.0140518,833.417,0.641476,0.520832,2.21129,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,2.24499,-10.7021,316687,True,6.0|99,433
14|433|sample|5|99,0.0140518,833.417,0.641476,0.520832,2.34972,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,2.38574,-10.7021,316687,True,6.0|99,433
14|433|sample|8|99,0.0140518,833.417,0.641476,0.520832,24.3915,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,24.7604,-10.7021,316687,True,6.0|99,433
14|433|sample|7|99,0.0140518,833.417,0.641476,0.520832,24.9135,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,24.4915,-10.7021,316687,True,6.0|99,433
14|433|sample|10|99,0.0140518,833.417,0.641476,0.520832,6.47208,-10.6995,316137,0.0139281,833.417,0.640647,0.520831,6.45602,-10.7021,316687,True,6.0|99,433
