id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|491|cc|1|1|99,0,1.19555e-07,0,-1.98111e-07,0.0405275,0,0,0,2.27374e-13,0,-5.59996e-13,-2.54482e-07,0,0,False,69.0|99,491
14|491|cc|2|1|99,0,2.31787e-07,0,5.27884e-07,0.185921,0,0,0,2.27374e-13,0,-3.43725e-13,9.41608e-08,0,0,False,69.0|99,491
14|491|cc|3|1|99,0,5.63663e-08,0,-1.23871e-07,0.00924101,0,0,0,3.41061e-13,0,-1.9873e-14,-3.44617e-07,0,0,False,69.0|99,491
14|491|cc|4|1|99,0,5.69334e-08,0,-4.83004e-09,0.00608454,0,0,0,-2.27374e-13,0,2.56573e-13,-5.61116e-07,0,0,False,69.0|99,491
14|491|cc|5|1|99,0,5.37783e-08,0,1.68516e-07,-0.0371804,0,0,0,-4.54747e-13,0,5.57054e-13,-3.51865e-07,0,0,False,69.0|99,491
14|491|cc|6|1|99,0,-1.24637e-07,0,-4.3291e-07,0.160351,0,0,0,-7.95808e-13,0,-7.12763e-14,1.20715e-07,0,0,False,69.0|99,491
14|491|cc|7|1|99,0,-1.03945e-07,0,7.17056e-08,0.0396395,0,0,0,0.0,0,-7.26419e-13,2.20047e-07,0,0,False,69.0|99,491
14|491|cc|8|1|99,0,-3.34946e-08,0,-1.36964e-08,-0.172935,0,0,0,-1.13687e-13,0,-6.2278e-13,-2.22797e-07,0,0,False,69.0|99,491
14|491|vc|1|2|99,0,-2.5927e-07,0,9.14426e-08,-0.0485782,0,0,0,-6.82121e-13,0,-2.08777e-13,-2.90418e-07,0,0,False,69.0|99,491
14|491|vc|2|2|99,0,-5.42069e-09,0,-3.90844e-07,0.0554577,0,0,0,-5.68434e-13,0,1.2445e-12,-6.85685e-08,0,0,False,69.0|99,491
14|491|vc|3|2|99,0,2.85875e-07,0,-2.90474e-08,0.405926,0,0,0,0.0,0,6.82288e-13,5.02098e-07,0,0,False,69.0|99,491
14|491|vc|4|2|99,0,1.19945e-07,0,-2.09318e-07,0.236942,0,0,0,5.68434e-13,0,-1.03106e-12,2.80474e-07,0,0,False,69.0|99,491
14|491|vc|5|2|99,0,8.50422e-08,0,-7.49739e-08,0.0118828,0,0,0,2.27374e-13,0,6.21392e-13,-4.02305e-07,0,0,False,69.0|99,491
14|491|vc|6|2|99,0,-1.86865e-07,0,-2.79281e-07,0.0111432,0,0,0,7.95808e-13,0,-1.49547e-13,-2.36996e-07,0,0,False,69.0|99,491
14|491|vc|7|2|99,0,7.93425e-08,0,4.94186e-08,0.195613,0,0,0,-4.54747e-13,0,4.23883e-13,1.14382e-07,0,0,False,69.0|99,491
14|491|vc|8|2|99,0,-3.75179e-08,0,1.04507e-07,-0.106402,0,0,0,7.95808e-13,0,2.53975e-12,-5.83369e-07,0,0,False,69.0|99,491
14|433|sample|4|99,0,-6.16636e-08,0,2.29926e-07,0.748838,0,0,0,-2.10321e-11,0,-8.90621e-13,0.786198,0,0,True,6.0|99,433
14|433|sample|3|99,0,3.67247e-07,0,3.4313e-08,0.746729,0,0,0,-4.54747e-13,0,-4.06186e-12,0.788767,0,0,True,6.0|99,433
14|433|sample|6|99,0,-2.10991e-07,0,-8.70665e-08,-1.11222,0,0,0,-1.47793e-12,0,-3.75664e-11,-1.0696,0,0,True,6.0|99,433
14|433|sample|5|99,0,2.76183e-08,0,1.36925e-07,-1.05179,0,0,0,-2.04636e-11,0,-4.04221e-12,-1.00879,0,0,True,6.0|99,433
14|433|sample|8|99,0,-1.96679e-07,0,3.35611e-07,1.28514,0,0,0,-1.59162e-11,0,8.68539e-12,1.33095,0,0,True,6.0|99,433
