id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|488|sample|4|322,0,4.02849e-08,-1.21618,-1.52397,0,0,0,7.74825e-12,-0.833776,-1.84829,0,0,True,55.0|322,488
8|488|sample|5|322,0,-6.07047e-07,-1.32814,-1.50921,0,0,0,2.14659e-11,-1.26967,-1.54077,0,0,True,55.0|322,488
8|488|sample|6|322,0,5.65056e-07,-1.31445,-1.58161,0,0,0,1.22484e-11,-1.27957,-1.56544,0,0,True,55.0|322,488
8|488|sample|7|322,0,1.57486e-07,-0.351179,-0.582116,0,0,0,6.2654e-10,-0.468232,-0.559087,0,0,True,32.0|322,488
8|488|sample|8|322,0,5.59137e-07,-0.174353,-0.643076,0,0,0,6.77535e-10,-0.47641,-0.543539,0,0,True,32.0|322,488
8|488|sample|9|322,0,-3.37877e-07,0.716206,-0.836538,0,0,0,3.3527e-11,0.547273,-0.783653,0,0,True,32.0|322,488
8|488|vc|1|2|322,0,7.22381e-08,-0.172386,0.0204884,0,0,0,7.56728e-13,-2.92535e-08,-2.37687e-07,0,0,False,69.0|322,488
8|488|vc|2|2|322,0,3.27053e-07,0.0308515,-0.00334309,0,0,0,7.776e-13,-1.68399e-07,-2.46205e-07,0,0,False,69.0|322,488
8|488|vc|3|2|322,0,-1.60148e-07,0.0480473,0.0732694,0,0,0,8.43769e-14,-3.69648e-08,4.02605e-07,0,0,False,69.0|322,488
8|488|vc|4|2|322,0,8.0825e-08,-0.0442291,-0.250175,0,0,0,-5.28466e-14,5.38003e-08,2.7395e-07,0,0,False,69.0|322,488
8|488|vc|5|2|322,0,-5.47785e-08,0.0244013,0.0743829,0,0,0,1.28253e-12,-4.54465e-08,2.11868e-07,0,0,False,69.0|322,488
8|488|vc|6|2|322,0,-4.44379e-07,-0.0522266,0.0619726,0,0,0,-1.84741e-13,8.7287e-08,-4.03969e-07,0,0,False,69.0|322,488
8|488|vc|7|2|322,0,-2.5371e-07,0.0517051,-0.0204308,0,0,0,1.11999e-12,8.40264e-08,-1.39484e-07,0,0,False,69.0|322,488
8|488|vc|8|2|322,0,1.38069e-07,-0.00430744,0.0154183,0,0,0,8.1446e-13,-1.39418e-07,-5.80273e-07,0,0,False,69.0|322,488
