id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_U_mean,eta_L_mean,eta_L_gap_mean,eta_h_mean,eta_f_mean,eta_alpha_mean,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_U_sd,eta_L_sd,eta_L_gap_sd,eta_h_sd,eta_f_sd,eta_alpha_sd,goes_down,mab_virus,run_id
14|705|14|705|sample|11|233|11|233|6.0,2.8139e-09,-7.62622e-10,4.10978e-10,2.31341e-09,-17.196,0,-1.70836e-09,-1.0445e-09,4.25029e-10,-8.04324e-10,-17.4207,0,0,0,4.96714e-13,-5.78204e-13,-7.24372,0,4.50139e-08,3.82501e-08,2.88524e-08,4.33701e-08,10.0338,0,True,6.0|233,705
14|705|14|705|cc|1|1|233|1|233|69.0,-8.37579e-10,-2.65077e-09,-1.10588e-09,2.37977e-09,0.276564,0,3.4646e-11,-5.6497e-10,3.71305e-10,5.08443e-10,0.31426,0,2.91038e-11,3.63798e-12,9.76996e-15,4.88498e-14,1.99444e-05,0,4.66147e-08,3.9037e-08,3.01913e-08,4.17342e-08,18.7675,0,False,69.0|233,705
14|705|14|705|cc|2|1|233|1|233|69.0,-1.32481e-10,1.30032e-09,4.09565e-10,1.81273e-10,0.525681,0,-9.51933e-10,-2.07086e-09,1.19051e-10,2.50345e-10,0.185512,0,0,-3.63798e-12,-1.11022e-15,-8.88178e-16,-1.31308e-06,0,4.6081e-08,3.94357e-08,3.03605e-08,3.98959e-08,18.2339,0,False,69.0|233,705
14|705|14|705|cc|3|1|233|1|233|69.0,2.21713e-10,1.84442e-10,1.31527e-09,-1.04149e-09,-0.496731,0,-3.44992e-10,-1.80905e-10,6.03829e-10,-2.45747e-10,-0.180278,0,-2.91038e-11,-1.81899e-12,7.50888e-12,1.75011e-11,-0.180326,0,4.50674e-08,3.97015e-08,2.93183e-08,4.23214e-08,18.7096,0,False,69.0|233,705
14|705|14|705|cc|4|1|233|1|233|69.0,-3.35681e-09,-4.41887e-10,-1.65245e-09,-1.0253e-10,0.0114119,0,-1.58783e-09,5.15895e-10,4.14871e-10,-2.84308e-10,-0.509361,0,0,1.09139e-11,-4.44089e-16,6.66134e-16,-7.83636e-07,0,4.80081e-08,3.96209e-08,2.93228e-08,4.17738e-08,18.2304,0,False,69.0|233,705
14|705|14|705|cc|5|1|233|1|233|69.0,1.75321e-09,1.43973e-09,-1.34417e-09,6.73106e-10,1.78054,0,-2.29718e-10,-5.81019e-10,-2.30783e-11,9.1478e-11,0.612295,0,0,0,-4.44089e-16,2.22045e-15,-8.0388e-07,0,4.52873e-08,3.78778e-08,3.00004e-08,4.20461e-08,18.3408,0,False,69.0|233,705
14|705|14|705|cc|6|1|233|1|233|69.0,1.35347e-09,1.62493e-09,-1.89933e-09,-4.17353e-09,0.0775362,0,2.40925e-10,-6.65969e-10,1.01048e-10,-2.67502e-09,-0.824846,0,0,0,-4.44089e-16,-1.77636e-15,6.16143e-07,0,4.62921e-08,3.79746e-08,2.95817e-08,4.17307e-08,18.4821,0,False,69.0|233,705
14|705|14|705|cc|7|1|233|1|233|69.0,4.44415e-11,1.99045e-09,1.66454e-09,-2.83506e-09,0.807162,0,2.0152e-09,8.13069e-10,-2.08856e-10,-4.32724e-10,0.735996,0,0,-3.63798e-12,-6.66134e-16,-3.9968e-15,-2.16363e-06,0,4.53002e-08,3.81765e-08,2.99563e-08,4.17441e-08,19.2885,0,False,69.0|233,705
14|705|14|705|cc|8|1|233|1|233|69.0,4.62169e-10,1.36459e-09,1.38817e-09,2.56963e-10,-0.280462,0,-7.65171e-10,1.38753e-09,-7.62761e-10,7.18702e-11,0.08586,0,0,0,1.33227e-15,2.66454e-15,-5.60178e-07,0,4.67415e-08,3.84979e-08,2.97718e-08,4.22097e-08,18.7892,0,False,69.0|233,705
14|705|14|705|vc|1|2|233|2|233|69.0,3.20462e-10,-2.5272e-09,1.66456e-09,8.94392e-10,0.214906,0,-1.71718e-09,8.0088e-10,9.42052e-10,-6.97434e-10,-0.260817,0,0,0,1.11022e-15,-2.88658e-15,-5.04365e-07,0,4.60332e-08,3.76422e-08,2.99935e-08,4.0852e-08,18.7324,0,False,69.0|233,705
14|705|14|705|vc|2|2|233|2|233|69.0,-2.80366e-09,-1.36665e-09,2.51532e-09,1.5325e-09,0.929899,0,-7.42093e-10,-3.56102e-10,6.87483e-10,-1.57579e-09,-0.415069,0,0,0,-4.44089e-16,-8.88178e-16,-2.28673e-06,0,4.76803e-08,3.90182e-08,2.97618e-08,4.17984e-08,18.6037,0,False,69.0|233,705
14|705|14|705|vc|3|2|233|2|233|69.0,8.08213e-10,-2.69981e-09,2.54849e-09,-1.3814e-09,0.952563,0,-2.15982e-09,7.72412e-10,-1.28841e-09,-4.34026e-10,0.567013,0,1.45519e-11,-1.45519e-11,-3.05445e-12,-1.523e-11,-0.00383131,0,4.64192e-08,3.81137e-08,2.97133e-08,4.03948e-08,18.1815,0,False,69.0|233,705
14|705|14|705|vc|4|2|233|2|233|69.0,1.0017e-09,5.71603e-10,-5.48032e-10,2.36986e-09,-1.3068,0,-2.56025e-10,2.71741e-10,3.81521e-10,8.85264e-10,-0.225509,0,1.45519e-11,-7.27596e-12,-1.11782e-11,1.00608e-11,-0.00201696,0,4.65195e-08,3.91933e-08,2.87871e-08,3.99627e-08,18.7366,0,False,69.0|233,705
14|705|14|705|vc|5|2|233|2|233|69.0,6.98317e-10,5.11718e-11,-6.29568e-10,1.07931e-09,0.559183,0,-2.25623e-09,-6.42788e-10,5.47775e-11,-6.42807e-11,0.0553757,0,0,0,1.11022e-15,-2.22045e-15,-6.55424e-07,0,4.56856e-08,3.79168e-08,2.88194e-08,4.18065e-08,18.6181,0,False,69.0|233,705
14|705|14|705|vc|6|2|233|2|233|69.0,-2.52083e-09,-4.95435e-10,-1.05487e-09,1.48111e-09,0.21238,0,3.08608e-10,1.59148e-10,8.09963e-10,-1.13822e-09,0.4571,0,1.45519e-10,0,-4.94691e-11,6.32912e-11,0.0544773,0,4.58951e-08,3.81148e-08,2.98088e-08,4.1457e-08,19.0281,0,False,69.0|233,705
14|705|14|705|vc|7|2|233|2|233|69.0,-1.56355e-09,1.8203e-10,-1.48285e-09,4.91856e-09,-0.283638,0,2.09592e-11,-1.26274e-09,-5.60632e-10,-4.30976e-10,0.695107,0,-1.45519e-11,-1.81899e-12,5.30642e-12,-8.61533e-12,-0.00385407,0,4.7564e-08,3.79026e-08,2.95986e-08,4.18738e-08,18.5352,0,False,69.0|233,705
14|705|14|705|vc|8|2|233|2|233|69.0,-1.39681e-09,1.49415e-09,3.32963e-10,-8.37367e-10,-0.508296,0,-1.31505e-09,2.99817e-10,9.52601e-10,6.63599e-11,-0.264962,0,2.91038e-11,-3.63798e-12,-2.07079e-12,1.53511e-11,-0.266632,0,4.73807e-08,3.77566e-08,2.92835e-08,4.18404e-08,18.2793,0,False,69.0|233,705
8|152|8|152|sample|8|322|8|322|65.0,4.42253e-09,5.55153e-09,4.28207e-09,2.55901e-09,-2.69144,0,-2.32395e-09,-2.04226e-09,7.83592e-10,2.26173e-09,-2.64802,0,0,0,-3.76144e-13,-1.0032e-12,-2.69749,0,4.57517e-08,3.82444e-08,2.99736e-08,4.29622e-08,0.43534,0,True,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,5.50051e-09,1.11106e-09,2.28845e-09,1.08105e-09,-2.61334,0,-2.1042e-09,2.25226e-09,-1.02039e-09,-7.46608e-10,-2.61658,0,0,-1.81899e-12,-9.23706e-14,2.8777e-13,-2.6645,0,4.60936e-08,3.86565e-08,2.82588e-08,4.17267e-08,0.427003,0,True,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,-3.18585e-09,2.4068e-09,-3.35176e-09,1.63625e-09,-2.64768,0,-4.84287e-10,1.21569e-10,-7.10734e-10,6.46895e-11,-2.72586,0,0,-1.81899e-12,-1.24345e-14,4.68514e-14,-2.76857,0,4.5421e-08,3.80832e-08,2.94568e-08,4.11171e-08,0.421858,0,True,65.0|322,152
