id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
8|1056|8|1056|vc|4|2|276|2|276|69.0,0,0,0.153428,0,0,1.93704e-07,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,0,0,0.0965133,0,0,-1.68533e-07,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0,0,0.232654,0,0,-9.62961e-08,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,0,0,0.0748322,0,0,3.27122e-07,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,0,0,0.187883,0,0,1.93608e-07,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,0,0,-0.104907,0,0,-0.103903,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,0,0,-0.0243779,0,0,-0.0704426,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,0,0,0.0929326,0,0,0.0365951,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,0,0,0.0725504,0,0,0.0321361,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,0,0,-0.0734387,0,0,-0.000199066,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,0,0,-0.111055,0,0,-0.000146175,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,0,0,0.192778,0,0,-2.78395e-05,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,0,0,0.0119861,0,0,-9.2827e-05,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,0,0,2.48367,0,0,2.51824,22.0|292,462
8|462|8|462|sample|12|292|12|292|22.0,0,0,2.50072,0,0,2.45526,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,0,0,0.163346,0,0,1.09356e-07,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0,0,-0.209794,0,0,1.05492e-07,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,0,0,0.040485,0,0,-1.41147e-07,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0,0,0.00322647,0,0,2.23621e-07,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,0,0,-0.0203024,0,0,-1.63206e-07,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,0,0,0.161132,0,0,-1.41162e-07,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,0,0,-0.22116,0,0,-1.03364e-07,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,0,0,-0.0236949,0,0,-2.02362e-07,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,0,0,-0.122145,0,0,-1.84707e-08,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,0,0,0.0860653,0,0,7.90942e-08,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,0,0,0.320785,0,0,9.88366e-08,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,0,0,-0.041295,0,0,2.48812e-07,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,0,0,-0.245628,0,0,-2.00653e-07,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,0,0,-0.0514521,0,0,-2.12845e-07,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,0,0,0.167581,0,0,2.03251e-07,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,0,0,0.0146758,0,0,2.32389e-08,69.0|292,462
8|1159|8|1159|sample|8|292|8|292|65.0,0,0,-0.153889,0,0,-0.000346707,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,0,0,-0.0371483,0,0,-0.000342547,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,0,0,0.0251294,0,0,-6.8964e-05,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,0,0,-0.073843,0,0,-3.73551e-06,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,0,0,-0.0936618,0,0,-7.43964e-05,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,0,0,-0.115344,0,0,0.000250162,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,0,0,0.190274,0,0,-9.88075e-05,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,0,0,-0.156211,0,0,-8.73262e-05,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,0,0,-2.55516,0,0,-2.40099,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,0,0,-2.48904,0,0,-2.53602,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,0,0,0.0196606,0,0,-2.04633e-07,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,0,0,-0.092345,0,0,-2.71878e-07,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,0,0,0.00674367,0,0,2.20221e-07,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,0,0,-0.0316868,0,0,1.32052e-07,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,0,0,0.124484,0,0,-2.23255e-07,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,0,0,-0.0258526,0,0,-2.2739e-08,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,0,0,0.0742171,0,0,-2.53082e-07,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,0,0,-0.105073,0,0,-1.90321e-07,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,0,0,-0.121088,0,0,8.01408e-09,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,0,0,0.0384442,0,0,2.86856e-07,69.0|292,1159
8|1159|8|1159|vc|3|2|292|2|292|69.0,0,0,0.0706887,0,0,1.96727e-07,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,0,0,0.0229015,0,0,-2.9166e-07,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,0,0,-0.17153,0,0,2.26284e-07,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,0,0,-0.0451209,0,0,-3.42625e-09,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,0,0,0.284154,0,0,6.79003e-08,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,0,0,0.00955431,0,0,-1.36216e-07,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,0,0,-0.0567531,0,0,-5.24546e-08,65.0|103,1197
8|1197|8|1197|sample|8|103|8|103|65.0,0,0,0.162426,0,0,-4.86085e-07,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,0,0,-0.129962,0,0,-4.57434e-07,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,0,0,0.155795,0,0,-3.38441e-07,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,0,0,-0.0214219,0,0,0.0116668,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,0,0,-0.0785049,0,0,-0.0170896,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,0,0,-0.0220185,0,0,-0.0183041,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,0,0,0.0208578,0,0,-0.00106104,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,0,0,-0.0318828,0,0,-0.00156079,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,0,0,0.068212,0,0,-0.0138472,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,0,0,0.0380813,0,0,-1.85684e-07,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,0,0,-0.182089,0,0,-2.00826e-07,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,0,0,0.0870157,0,0,-1.06095e-07,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,0,0,-0.0931089,0,0,2.77151e-07,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,0,0,-0.111484,0,0,-3.47333e-07,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,0,0,0.000778477,0,0,-3.35739e-07,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,0,0,0.159756,0,0,-2.03596e-09,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,0,0,-0.0388206,0,0,-1.3756e-07,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,0,0,-0.1786,0,0,2.09733e-07,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,0,0,-0.0694716,0,0,-2.31698e-07,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,0,0,0.19393,0,0,1.27215e-07,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,0,0,0.0997471,0,0,2.06693e-07,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,0,0,-0.0373027,0,0,2.37042e-07,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,0,0,0.0428075,0,0,1.82598e-07,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,0,0,-0.1814,0,0,-1.95377e-07,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,0,0,-0.066268,0,0,3.56435e-07,69.0|103,1197
