rep,id,eta_U,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|719|sample|11|274,0,0,0,0.287589,0,0,True,22.0|274,719
1,8|719|sample|12|274,0,0,0,0.517584,0,0,True,22.0|274,719
1,8|719|sample|3|274,0,0,0,-2.17116,0,0,True,55.0|274,719
1,8|719|sample|4|274,0,0,0,-1.9831,0,0,True,55.0|274,719
1,8|719|sample|5|274,0,0,0,-2.36485,0,0,True,55.0|274,719
1,8|719|sample|6|274,0,0,0,-2.03723,0,0,True,55.0|274,719
1,8|719|sample|7|274,0,0,0,0.10519,0,0,True,32.0|274,719
1,8|719|sample|8|274,0,0,0,0.123402,0,0,True,32.0|274,719
1,8|719|sample|9|274,0,0,0,0.140299,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,0,0,0,-1.15111,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,0,0,0,0.160708,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,0,0,0,-4.28483,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,0,0,0,-3.25226,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,0,0,0,4.56019,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,0,0,0,0.564221,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,0,0,0,2.45291,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,0,0,0,-2.36629,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,0,0,0,-0.28143,0,0,False,69.0|322,488
1,8|488|cc|2|1|322,0,0,0,1.13436,0,0,False,69.0|322,488
1,8|488|cc|3|1|322,0,0,0,2.38769,0,0,False,69.0|322,488
1,8|488|cc|4|1|322,0,0,0,0.344672,0,0,False,69.0|322,488
1,8|488|cc|5|1|322,0,0,0,1.6999,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,0,0,0,2.72231,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,0,0,0,3.91911,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,0,0,0,0.0278924,0,0,False,69.0|322,488
1,8|488|sample|10|322,0,0,0,-3.22763,0,0,True,32.0|322,488
1,8|488|sample|11|322,0,0,0,-0.504903,0,0,True,22.0|322,488
1,8|488|sample|12|322,0,0,0,-0.3917,0,0,True,22.0|322,488
1,8|488|sample|3|322,0,0,0,-4.3499,0,0,True,55.0|322,488
1,8|488|sample|4|322,0,0,0,-3.29136,0,0,True,55.0|322,488
1,8|488|sample|5|322,0,0,0,-3.5987,0,0,True,55.0|322,488
1,8|488|sample|6|322,0,0,0,-3.47751,0,0,True,55.0|322,488
1,8|488|sample|7|322,0,0,0,-2.04706,0,0,True,32.0|322,488
1,8|488|sample|8|322,0,0,0,-1.94795,0,0,True,32.0|322,488
1,8|488|sample|9|322,0,0,0,-2.97213,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,0,0,0,0.486274,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,0,0,0,-2.6128,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,0,0,0,-2.8135,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,0,0,0,-2.97453,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,0,0,0,-1.39867,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,0,0,0,-1.76622,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,0,0,0,1.53153,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,0,0,0,-0.805603,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,0,0,0,-0.691951,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,0,0,0,-0.835223,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,0,0,0,-2.83922,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,0,0,0,0.237479,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,0,0,0,2.01208,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,0,0,0,0.794102,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,0,0,0,-0.348678,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,0,0,0,0.0220085,0,0,False,69.0|69,847
1,8|847|sample|10|69,0,0,0,0.952776,0,0,True,32.0|69,847
