id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|491|cc|4|1|99,2.16744e-07,-0.0135113,0.179982,0,0,-2.27374e-13,-1.0931e-07,-8.49844e-09,0,0,False,69.0|99,491
14|491|cc|5|1|99,-1.88662e-07,0.0616589,-0.0608495,0,0,3.41061e-13,-5.9073e-08,1.95951e-07,0,0,False,69.0|99,491
14|491|cc|6|1|99,9.65049e-08,0.00201856,0.238122,0,0,2.27374e-13,-4.07552e-08,2.67202e-07,0,0,False,69.0|99,491
14|491|cc|7|1|99,-1.36335e-09,0.0180825,0.013454,0,0,-2.27374e-13,8.18804e-08,1.99334e-09,0,0,False,69.0|99,491
14|491|cc|8|1|99,4.28125e-09,-0.0249448,-0.414587,0,0,4.54747e-13,1.07182e-07,1.2109e-07,0,0,False,69.0|99,491
14|491|vc|1|2|99,1.72792e-08,-0.0152286,-0.103007,0,0,0.0,3.41702e-08,3.54082e-07,0,0,False,69.0|99,491
14|491|vc|2|2|99,8.3412e-09,-0.0102569,-0.197518,0,0,0.0,-6.07083e-09,-2.68431e-07,0,0,False,69.0|99,491
14|491|vc|3|2|99,2.52012e-07,0.0569609,0.404287,0,0,0.0,-3.39489e-08,-3.41595e-07,0,0,False,69.0|99,491
14|491|vc|4|2|99,1.15162e-07,-0.0204819,0.145927,0,0,6.82121e-13,4.90486e-08,-6.0821e-07,0,0,False,69.0|99,491
14|491|vc|5|2|99,3.6377e-07,-0.0330772,-0.228197,0,0,-4.54747e-13,5.76696e-08,-3.93052e-07,0,0,False,69.0|99,491
14|491|vc|6|2|99,4.1758e-07,-0.0185258,0.174489,0,0,-2.27374e-13,1.02563e-07,2.70688e-07,0,0,False,69.0|99,491
14|491|vc|7|2|99,-9.74228e-08,-0.0363311,0.186537,0,0,6.82121e-13,2.83343e-08,1.37999e-07,0,0,False,69.0|99,491
