id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|491|sample|3|99,754.307,1.78487,0.105927,154.811,0.015316,754.307,1.72787,0.103992,154.893,0.0152976,True,44.0|99,491
14|491|sample|6|99,754.307,1.119,0.0982022,154.811,0.015316,754.307,1.10405,0.0951542,154.893,0.0152976,True,44.0|99,491
14|491|sample|5|99,754.307,1.08791,0.0821802,154.811,0.015316,754.307,1.05223,0.0781236,154.893,0.0152976,True,44.0|99,491
14|491|sample|7|99,759.884,1.69329,0.00325104,154.811,0.015316,759.884,1.54237,0.00299612,154.893,0.0152976,True,63.0|99,491
14|491|sample|8|99,759.884,1.72816,0.00356322,154.811,0.015316,759.884,1.71694,0.00345507,154.893,0.0152976,True,63.0|99,491
14|491|cc|1|1|99,756.597,2.4113,1642.41,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|2|1|99,756.597,2.34637,945.543,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|3|1|99,756.597,2.39279,882.807,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|4|1|99,756.597,2.37287,843.123,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|5|1|99,756.597,2.44804,608.499,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|6|1|99,756.597,2.3884,1182.78,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|7|1|99,756.597,2.40446,1737.3,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|cc|8|1|99,756.597,2.36144,660.083,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|1|2|99,756.597,2.37115,768.168,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|2|2|99,756.597,2.37612,593.175,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|3|2|99,756.597,2.44334,1956.43,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|4|2|99,756.597,2.3659,3239.85,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
14|491|vc|5|2|99,756.597,2.3533,719.01,154.811,0.015316,756.597,2.38916,108.259,154.893,0.0152976,False,69.0|99,491
