rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|433|sample|4|99,0,-9.79561e-07,0,1.75539e-06,0.727644,0,0,True,6.0|99,433
1,14|433|sample|3|99,0,1.18607e-06,0,-2.14102e-06,0.74128,0,0,True,6.0|99,433
1,14|433|sample|6|99,0,3.12837e-07,0,-3.923e-07,-1.02266,0,0,True,6.0|99,433
1,14|433|sample|5|99,0,1.18424e-06,0,-3.04576e-06,-0.975969,0,0,True,6.0|99,433
1,14|433|sample|8|99,0,-5.39845e-07,0,2.40852e-06,1.32085,0,0,True,6.0|99,433
1,14|433|sample|7|99,0,1.01204e-06,0,1.39238e-06,1.24889,0,0,True,6.0|99,433
1,14|433|sample|10|99,0,1.95213e-08,0,2.59821e-06,-0.0168365,0,0,True,6.0|99,433
1,14|433|sample|9|99,0,-8.77624e-07,0,-5.47444e-07,-0.168873,0,0,True,6.0|99,433
1,14|433|sample|11|99,0,8.05472e-07,0,-2.17637e-06,-0.796532,0,0,True,6.0|99,433
1,14|433|sample|12|99,0,1.98587e-07,0,3.54126e-06,-0.598364,0,0,True,6.0|99,433
1,14|433|cc|1|1|99,0,-1.61036e-06,0,-2.53588e-07,-2.83629,0,0,False,69.0|99,433
1,14|433|cc|2|1|99,0,-1.96944e-06,0,3.55418e-06,1.52164,0,0,False,69.0|99,433
1,14|433|cc|3|1|99,0,2.18518e-06,0,2.32519e-08,-0.270282,0,0,False,69.0|99,433
1,14|433|cc|4|1|99,0,4.6499e-07,0,3.44478e-06,-1.16428,0,0,False,69.0|99,433
1,14|433|cc|5|1|99,0,5.08099e-06,0,1.69582e-06,2.47332,0,0,False,69.0|99,433
1,14|433|cc|6|1|99,0,1.84313e-06,0,1.12973e-06,-1.02116,0,0,False,69.0|99,433
1,14|433|cc|7|1|99,0,-1.85206e-06,0,-1.25155e-06,0.155343,0,0,False,69.0|99,433
1,14|433|cc|8|1|99,0,-3.72781e-07,0,-1.51752e-07,-0.998518,0,0,False,69.0|99,433
1,14|433|vc|1|2|99,0,1.05041e-06,0,-2.27575e-06,-1.35595,0,0,False,69.0|99,433
1,14|433|vc|2|2|99,0,7.40747e-07,0,2.85636e-07,3.46537,0,0,False,69.0|99,433
1,14|433|vc|3|2|99,0,5.49483e-08,0,2.7288e-06,-0.32705,0,0,False,69.0|99,433
1,14|433|vc|4|2|99,0,1.98841e-06,0,1.63529e-06,1.57141,0,0,False,69.0|99,433
1,14|433|vc|5|2|99,0,-4.51141e-06,0,-2.23572e-06,-1.15377,0,0,False,69.0|99,433
1,14|433|vc|6|2|99,0,4.80521e-06,0,4.71898e-07,0.463273,0,0,False,69.0|99,433
1,14|433|vc|7|2|99,0,-2.2356e-07,0,1.63842e-06,-2.62377,0,0,False,69.0|99,433
1,14|433|vc|8|2|99,0,8.07954e-07,0,9.86529e-07,-1.07693,0,0,False,69.0|99,433
1,14|297|sample|3|71,0,1.15916e-06,0,2.54814e-06,-1.37023,0,0,True,6.0|71,297
1,14|297|sample|4|71,0,1.71529e-06,0,-7.81074e-07,-1.43792,0,0,True,6.0|71,297
1,14|297|sample|5|71,0,1.60376e-06,0,1.31079e-06,0.591751,0,0,True,6.0|71,297
1,14|297|sample|6|71,0,-7.28181e-07,0,9.66022e-07,0.38688,0,0,True,6.0|71,297
1,14|297|sample|8|71,0,-3.84326e-06,0,-1.4518e-06,-0.319728,0,0,True,6.0|71,297
1,14|297|sample|7|71,0,-1.33461e-06,0,1.77646e-06,-0.117077,0,0,True,6.0|71,297
1,14|297|sample|9|71,0,-1.15882e-06,0,2.13188e-06,0.210894,0,0,True,6.0|71,297
1,14|297|sample|10|71,0,3.10278e-07,0,-8.15529e-07,0.349859,0,0,True,6.0|71,297
1,14|297|sample|12|71,0,1.62105e-06,0,3.98096e-06,-1.90114,0,0,True,6.0|71,297
1,14|297|sample|11|71,0,2.7162e-07,0,2.12161e-06,-2.05553,0,0,True,6.0|71,297
1,14|297|cc|1|1|71,0,2.54547e-06,0,-1.42419e-06,-0.215099,0,0,False,69.0|71,297
1,14|297|cc|2|1|71,0,-2.80531e-07,0,-3.04586e-06,0.617272,0,0,False,69.0|71,297
1,14|297|cc|3|1|71,0,1.17489e-07,0,-1.23708e-06,-0.571693,0,0,False,69.0|71,297
1,14|297|cc|4|1|71,0,2.20151e-06,0,-4.11444e-06,-1.43235,0,0,False,69.0|71,297
1,14|297|cc|5|1|71,0,-1.43035e-06,0,-2.87408e-07,0.543211,0,0,False,69.0|71,297
1,14|297|cc|6|1|71,0,-5.25438e-07,0,2.81334e-06,-3.22549,0,0,False,69.0|71,297
1,14|297|cc|7|1|71,0,3.46278e-06,0,-1.16854e-06,0.576656,0,0,False,69.0|71,297
1,14|297|cc|8|1|71,0,-3.46502e-07,0,2.68245e-06,3.82352,0,0,False,69.0|71,297
1,14|297|vc|1|2|71,0,-9.74493e-07,0,2.49693e-06,1.85855,0,0,False,69.0|71,297
1,14|297|vc|2|2|71,0,-1.56059e-06,0,-1.50523e-06,-0.84649,0,0,False,69.0|71,297
1,14|297|vc|3|2|71,0,2.65636e-06,0,-1.89882e-06,-0.379726,0,0,False,69.0|71,297
1,14|297|vc|4|2|71,0,-3.3012e-06,0,-1.69702e-06,-1.01671,0,0,False,69.0|71,297
1,14|297|vc|5|2|71,0,1.85599e-07,0,3.13226e-06,1.79812,0,0,False,69.0|71,297
1,14|297|vc|6|2|71,0,2.57456e-06,0,1.899e-06,-1.15566,0,0,False,69.0|71,297
1,14|297|vc|7|2|71,0,2.09639e-06,0,4.56809e-06,1.3219,0,0,False,69.0|71,297
1,14|297|vc|8|2|71,0,1.14593e-06,0,-2.01182e-06,-1.2401,0,0,False,69.0|71,297
1,14|183|sample|4|233,0,8.84106e-07,0,2.94912e-07,0.612008,0,0,True,6.0|233,183
1,14|183|sample|3|233,0,-7.73738e-07,0,1.36307e-06,0.309475,0,0,True,6.0|233,183
1,14|183|sample|6|233,0,5.87052e-07,0,1.19654e-06,0.875266,0,0,True,6.0|233,183
1,14|183|sample|5|233,0,9.21199e-07,0,-2.65627e-06,0.984505,0,0,True,6.0|233,183
1,14|183|sample|7|233,0,-2.01962e-06,0,-8.9502e-07,-0.0362392,0,0,True,6.0|233,183
1,14|183|sample|8|233,0,9.83489e-07,0,1.54783e-06,0.161593,0,0,True,6.0|233,183
1,14|183|sample|10|233,0,9.46367e-07,0,-1.26041e-06,1.42555,0,0,True,6.0|233,183
1,14|183|sample|9|233,0,-8.36509e-08,0,2.38176e-08,0.769094,0,0,True,6.0|233,183
1,14|183|sample|12|233,0,-2.68862e-06,0,-1.85699e-07,0.116083,0,0,True,6.0|233,183
1,14|183|sample|11|233,0,-6.05075e-07,0,-2.32053e-06,-0.494282,0,0,True,6.0|233,183
1,14|183|cc|1|1|233,0,-1.1392e-06,0,2.24565e-06,2.51341,0,0,False,69.0|233,183
1,14|183|cc|2|1|233,0,-6.63548e-07,0,-1.79877e-06,-0.622071,0,0,False,69.0|233,183
1,14|183|cc|3|1|233,0,3.14013e-06,0,1.04515e-06,1.86176,0,0,False,69.0|233,183
