rep,id,U_offset,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,14|297|sample|9|71,0.0139281,834.219,0.837798,1.54459,8.46983,-10.702,316687,True,6.0|71,297
1,14|297|sample|10|71,0.0139281,834.219,0.837798,1.54459,9.73255,-10.702,316687,True,6.0|71,297
1,14|297|sample|12|71,0.0139281,834.219,0.837798,1.54459,1.02478,-10.702,316687,True,6.0|71,297
1,14|297|sample|11|71,0.0139281,834.219,0.837798,1.54459,0.878168,-10.702,316687,True,6.0|71,297
1,14|297|cc|1|1|71,0.0139281,835.216,0.838563,0.971015,0.468876,-10.702,316687,False,69.0|71,297
1,14|297|cc|2|1|71,0.0139281,835.216,0.838563,0.971013,1.07784,-10.702,316687,False,69.0|71,297
1,14|297|cc|3|1|71,0.0139281,835.216,0.838563,0.971015,0.32824,-10.702,316687,False,69.0|71,297
1,14|297|cc|4|1|71,0.0139281,835.216,0.838563,0.971012,0.138808,-10.702,316687,False,69.0|71,297
1,14|297|cc|5|1|71,0.0139281,835.216,0.838563,0.971016,1.00089,-10.702,316687,False,69.0|71,297
1,14|297|cc|6|1|71,0.0139281,835.216,0.838563,0.971019,0.0231026,-10.702,316687,False,69.0|71,297
1,14|297|cc|7|1|71,0.0139281,835.216,0.838563,0.971015,1.03494,-10.702,316687,False,69.0|71,297
1,14|297|cc|8|1|71,0.0139281,835.216,0.838563,0.971019,26.6078,-10.702,316687,False,69.0|71,297
1,14|297|vc|1|2|71,0.0139281,835.216,0.838563,0.971018,3.72936,-10.702,316687,False,69.0|71,297
1,14|297|vc|2|2|71,0.0139281,835.216,0.838563,0.971015,0.249373,-10.702,316687,False,69.0|71,297
1,14|297|vc|3|2|71,0.0139281,835.216,0.838563,0.971014,0.397706,-10.702,316687,False,69.0|71,297
1,14|297|vc|4|2|71,0.0139281,835.216,0.838563,0.971014,0.21034,-10.702,316687,False,69.0|71,297
1,14|297|vc|5|2|71,0.0139281,835.216,0.838563,0.971019,3.51067,-10.702,316687,False,69.0|71,297
1,14|297|vc|6|2|71,0.0139281,835.216,0.838563,0.971018,0.183054,-10.702,316687,False,69.0|71,297
1,14|297|vc|7|2|71,0.0139281,835.216,0.838563,0.97102,2.18056,-10.702,316687,False,69.0|71,297
1,14|297|vc|8|2|71,0.0139281,835.216,0.838563,0.971014,0.16823,-10.702,316687,False,69.0|71,297
1,14|183|sample|4|233,0.0139281,833.71,0.838615,0.159087,12.8339,-10.702,316687,True,6.0|233,183
1,14|183|sample|3|233,0.0139281,833.71,0.838615,0.159087,9.48351,-10.702,316687,True,6.0|233,183
1,14|183|sample|6|233,0.0139281,833.71,0.838615,0.159087,16.6989,-10.702,316687,True,6.0|233,183
1,14|183|sample|5|233,0.0139281,833.71,0.838615,0.159087,18.6265,-10.702,316687,True,6.0|233,183
1,14|183|sample|7|233,0.0139281,833.71,0.838615,0.159087,6.71161,-10.702,316687,True,6.0|233,183
1,14|183|sample|8|233,0.0139281,833.71,0.838615,0.159087,8.17984,-10.702,316687,True,6.0|233,183
1,14|183|sample|10|233,0.0139281,833.71,0.838615,0.159087,28.9516,-10.702,316687,True,6.0|233,183
1,14|183|sample|9|233,0.0139281,833.71,0.838615,0.159087,15.0168,-10.702,316687,True,6.0|233,183
1,14|183|sample|12|233,0.0139281,833.71,0.838615,0.159087,7.81591,-10.702,316687,True,6.0|233,183
1,14|183|sample|11|233,0.0139281,833.71,0.838615,0.159087,4.24523,-10.702,316687,True,6.0|233,183
1,14|183|cc|1|1|233,0.0139281,835.275,0.838653,0.349419,4.54484,-10.702,316687,False,69.0|233,183
1,14|183|cc|2|1|233,0.0139281,835.275,0.838653,0.349418,0.197604,-10.702,316687,False,69.0|233,183
1,14|183|cc|3|1|233,0.0139281,835.275,0.838653,0.349419,2.36871,-10.702,316687,False,69.0|233,183
1,14|183|cc|4|1|233,0.0139281,835.275,0.838653,0.349418,0.0845922,-10.702,316687,False,69.0|233,183
1,14|183|cc|5|1|233,0.0139281,835.275,0.838653,0.349418,0.0735802,-10.702,316687,False,69.0|233,183
1,14|183|cc|6|1|233,0.0139281,835.275,0.838653,0.349419,1.66968,-10.702,316687,False,69.0|233,183
1,14|183|cc|7|1|233,0.0139281,835.275,0.838653,0.349419,0.135095,-10.702,316687,False,69.0|233,183
1,14|183|cc|8|1|233,0.0139281,835.275,0.838653,0.349418,0.366064,-10.702,316687,False,69.0|233,183
1,14|183|vc|1|2|233,0.0139281,835.275,0.838653,0.349418,0.920696,-10.702,316687,False,69.0|233,183
1,14|183|vc|2|2|233,0.0139281,835.275,0.838653,0.349418,0.484839,-10.702,316687,False,69.0|233,183
1,14|183|vc|3|2|233,0.0139281,835.275,0.838653,0.349418,0.0348002,-10.702,316687,False,69.0|233,183
1,14|183|vc|4|2|233,0.0139281,835.275,0.838653,0.349417,0.0380749,-10.702,316687,False,69.0|233,183
1,14|183|vc|5|2|233,0.0139281,835.275,0.838653,0.349418,0.201345,-10.702,316687,False,69.0|233,183
1,14|183|vc|6|2|233,0.0139281,835.275,0.838653,0.349418,2.64663,-10.702,316687,False,69.0|233,183
1,14|183|vc|7|2|233,0.0139281,835.275,0.838653,0.349419,0.173564,-10.702,316687,False,69.0|233,183
1,14|183|vc|8|2|233,0.0139281,835.275,0.838653,0.349419,0.270629,-10.702,316687,False,69.0|233,183
1,14|705|sample|3|233,0.0139281,836.48,0.838639,11.6767,0.0082881,-10.7021,316687,False,6.0|233,705
1,14|705|sample|4|233,0.0139281,836.48,0.838639,11.6767,0.0224866,-10.7021,316687,False,6.0|233,705
1,14|705|sample|5|233,0.0139281,836.48,0.838639,11.6767,0.0587835,-10.7021,316687,False,6.0|233,705
1,14|705|sample|6|233,0.0139281,836.48,0.838639,11.6767,0.0228455,-10.7021,316687,False,6.0|233,705
1,14|705|sample|7|233,0.0139281,836.48,0.838639,11.6766,0.0411969,-10.7021,316687,False,6.0|233,705
1,14|705|sample|8|233,0.0139281,836.48,0.838639,11.6767,0.0142114,-10.7021,316687,False,6.0|233,705
1,14|705|sample|10|233,0.0139281,833.71,0.838615,0.159087,16.5149,-10.7021,316687,True,6.0|233,705
1,14|705|sample|9|233,0.0139281,833.71,0.838615,0.159087,10.7268,-10.7021,316687,True,6.0|233,705
1,14|705|sample|12|233,0.0139281,833.71,0.838615,0.159087,22.5405,-10.7021,316687,True,6.0|233,705
1,14|705|sample|11|233,0.0139281,833.71,0.838615,0.159087,8.13958,-10.7021,316687,True,6.0|233,705
1,14|705|cc|1|1|233,0.0139281,835.275,0.838653,0.34942,0.258985,-10.7021,316687,False,69.0|233,705
1,14|705|cc|2|1|233,0.0139281,835.275,0.838653,0.349419,0.097455,-10.7021,316687,False,69.0|233,705
1,14|705|cc|3|1|233,0.0139281,835.275,0.838653,0.349419,0.0450441,-10.7021,316687,False,69.0|233,705
1,14|705|cc|4|1|233,0.0139281,835.275,0.838653,0.349419,2.43674,-10.7021,316687,False,69.0|233,705
1,14|705|cc|5|1|233,0.0139281,835.275,0.838653,0.349419,0.395296,-10.7021,316687,False,69.0|233,705
1,14|705|cc|6|1|233,0.0139281,835.275,0.838653,0.349417,0.482219,-10.7021,316687,False,69.0|233,705
1,14|705|cc|7|1|233,0.0139281,835.275,0.838653,0.349418,0.18959,-10.7021,316687,False,69.0|233,705
1,14|705|cc|8|1|233,0.0139281,835.275,0.838653,0.349418,0.113497,-10.7021,316687,False,69.0|233,705
1,14|705|vc|1|2|233,0.0139281,835.275,0.838653,0.349418,0.275828,-10.7021,316687,False,69.0|233,705
1,14|705|vc|2|2|233,0.0139281,835.275,0.838653,0.349419,0.724557,-10.7021,316687,False,69.0|233,705
1,14|705|vc|3|2|233,0.0139281,835.275,0.838653,0.349418,0.212417,-10.7021,316687,False,69.0|233,705
1,14|705|vc|4|2|233,0.0139281,835.275,0.838653,0.349419,0.913674,-10.7021,316687,False,69.0|233,705
1,14|705|vc|5|2|233,0.0139281,835.275,0.838653,0.349417,4.91317,-10.7021,316687,False,69.0|233,705
1,14|705|vc|6|2|233,0.0139281,835.275,0.838653,0.34942,3.82376,-10.7021,316687,False,69.0|233,705
1,14|705|vc|7|2|233,0.0139281,835.275,0.838653,0.34942,1.20466,-10.7021,316687,False,69.0|233,705
1,14|705|vc|8|2|233,0.0139281,835.275,0.838653,0.349419,0.189435,-10.7021,316687,False,69.0|233,705
1,14|555|sample|4|233,0.0139281,833.71,0.838615,0.159087,1.8706,-10.702,316687,True,6.0|233,555
1,14|555|sample|3|233,0.0139281,833.71,0.838615,0.159087,1.69237,-10.702,316687,True,6.0|233,555
1,14|555|sample|5|233,0.0139281,833.71,0.838615,0.159088,1.60583,-10.702,316687,True,6.0|233,555
1,14|555|sample|6|233,0.0139281,833.71,0.838615,0.159087,1.47943,-10.702,316687,True,6.0|233,555
1,14|555|sample|7|233,0.0139281,833.71,0.838615,0.159087,11.962,-10.702,316687,True,6.0|233,555
1,14|555|sample|8|233,0.0139281,833.71,0.838615,0.159088,14.3571,-10.702,316687,True,6.0|233,555
1,14|555|sample|9|233,0.0139281,833.71,0.838615,0.159087,1.76258,-10.702,316687,True,6.0|233,555
1,14|555|sample|10|233,0.0139281,833.71,0.838615,0.159087,1.65968,-10.702,316687,True,6.0|233,555
1,14|555|sample|12|233,0.0139281,833.71,0.838615,0.159087,30.1325,-10.702,316687,True,6.0|233,555
1,14|555|sample|11|233,0.0139281,833.71,0.838615,0.159087,26.9862,-10.702,316687,True,6.0|233,555
1,14|555|cc|1|1|233,0.0139281,835.275,0.838653,0.349419,0.168678,-10.702,316687,False,69.0|233,555
1,14|555|cc|2|1|233,0.0139281,835.275,0.838653,0.349417,3.06317,-10.702,316687,False,69.0|233,555
1,14|555|cc|3|1|233,0.0139281,835.275,0.838653,0.34942,0.0443153,-10.702,316687,False,69.0|233,555
1,14|555|cc|4|1|233,0.0139281,835.275,0.838653,0.349418,0.00718157,-10.702,316687,False,69.0|233,555
