rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|433|sample|9|99,1.63184,769.009,0.243851,7667.98,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|11|99,1.63184,769.009,0.243851,7668.02,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|12|99,1.63185,769.009,0.243851,7668.0,37614.3,13.3658,True,6.0|99,433
1,14|433|cc|1|1|99,5.25706,771.281,0.0697395,4.20925,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|2|1|99,5.25704,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|3|1|99,5.25708,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|4|1|99,5.25705,771.281,0.0697395,4.20923,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|5|1|99,5.25708,771.281,0.0697395,4.20923,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|6|1|99,5.25707,771.281,0.0697395,4.20927,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|7|1|99,5.25706,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,433
1,14|433|cc|8|1|99,5.25702,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|1|2|99,5.25705,771.281,0.0697395,4.20923,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|2|2|99,5.25704,771.281,0.0697395,4.20929,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|3|2|99,5.25704,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|4|2|99,5.25708,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|5|2|99,5.25705,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|6|2|99,5.25706,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|7|2|99,5.25706,771.281,0.0697395,4.20927,37614.3,13.3658,False,69.0|99,433
1,14|433|vc|8|2|99,5.25707,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,433
1,14|297|sample|3|71,0.776106,770.204,0.250867,331.199,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|4|71,0.776105,770.204,0.250867,331.199,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|5|71,0.776108,770.204,0.250867,331.204,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|6|71,0.776107,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|8|71,0.776103,770.204,0.250867,331.201,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|7|71,0.776105,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|9|71,0.776108,770.204,0.250867,331.2,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|10|71,0.776104,770.204,0.250867,331.201,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|12|71,0.776106,770.204,0.250867,331.199,37614.3,13.3658,True,6.0|71,297
1,14|297|sample|11|71,0.776107,770.204,0.250867,331.204,37614.3,13.3658,True,6.0|71,297
1,14|297|cc|1|1|71,7.95938,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|2|1|71,7.95939,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|3|1|71,7.9594,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|4|1|71,7.95943,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|5|1|71,7.9594,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|6|1|71,7.95939,771.425,0.0697391,1.21918,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|7|1|71,7.9594,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|297|cc|8|1|71,7.9594,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|1|2|71,7.95942,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|2|2|71,7.95941,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|3|2|71,7.9594,771.425,0.0697391,1.21918,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|4|2|71,7.9594,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|5|2|71,7.95938,771.425,0.0697391,1.21918,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|6|2|71,7.95943,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|7|2|71,7.95941,771.425,0.0697391,1.21917,37614.3,13.3658,False,69.0|71,297
1,14|297|vc|8|2|71,7.95943,771.425,0.0697391,1.21916,37614.3,13.3658,False,69.0|71,297
1,14|183|sample|4|233,2.28277,768.611,0.191983,2465.28,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|3|233,2.28277,768.611,0.191983,2465.27,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|6|233,2.28276,768.611,0.191983,2465.25,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|5|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|7|233,2.28277,768.611,0.191983,2465.24,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|8|233,2.28277,768.611,0.191983,2465.27,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|10|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|9|233,2.28276,768.611,0.191983,2465.25,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|12|233,2.28275,768.611,0.191983,2465.27,37614.3,13.3658,True,6.0|233,183
1,14|183|sample|11|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3658,True,6.0|233,183
1,14|183|cc|1|1|233,4.27191,770.841,0.0697405,0.46274,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|2|1|233,4.27193,770.841,0.0697405,0.462741,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|3|1|233,4.27196,770.841,0.0697405,0.462737,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|4|1|233,4.27193,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|5|1|233,4.27193,770.841,0.0697405,0.462739,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|6|1|233,4.27192,770.841,0.0697405,0.462736,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|7|1|233,4.27193,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|183|cc|8|1|233,4.27191,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|1|2|233,4.27194,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|2|2|233,4.27194,770.841,0.0697405,0.46274,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|3|2|233,4.27193,770.841,0.0697405,0.462741,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|4|2|233,4.27196,770.841,0.0697405,0.46274,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|5|2|233,4.27194,770.841,0.0697405,0.462736,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|6|2|233,4.27193,770.841,0.0697405,0.462736,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|7|2|233,4.27194,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|183|vc|8|2|233,4.27196,770.841,0.0697405,0.462738,37614.3,13.3658,False,69.0|233,183
1,14|705|sample|3|233,1.8779,769.023,0.010856,86.9871,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|4|233,1.8779,769.023,0.010856,86.9872,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|5|233,1.8779,769.023,0.010856,86.9871,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|6|233,1.87789,769.023,0.010856,86.9867,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|7|233,1.87789,769.023,0.010856,86.9866,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|8|233,1.8779,769.023,0.010856,86.9867,37614.3,13.3659,False,6.0|233,705
1,14|705|sample|10|233,2.28276,768.611,0.191983,2465.26,37614.3,13.3659,True,6.0|233,705
1,14|705|sample|9|233,2.28277,768.611,0.191983,2465.25,37614.3,13.3659,True,6.0|233,705
1,14|705|sample|12|233,2.28277,768.611,0.191983,2465.26,37614.3,13.3659,True,6.0|233,705
1,14|705|sample|11|233,2.28276,768.611,0.191983,2465.27,37614.3,13.3659,True,6.0|233,705
1,14|705|cc|1|1|233,4.27194,770.841,0.0697405,0.462744,37614.3,13.3659,False,69.0|233,705
1,14|705|cc|2|1|233,4.27193,770.841,0.0697405,0.462738,37614.3,13.3659,False,69.0|233,705
