id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|847|vc|2|2|69,272.892,9.48608,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|3|2|69,272.846,9.5626,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|4|2|69,273.231,9.42918,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|5|2|69,272.735,9.15347,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|6|2|69,272.979,9.26605,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|7|2|69,272.955,9.7338,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|847|vc|8|2|69,272.838,9.31303,6.96569,50304.6,13.4672,272.916,9.39302,6.97851,50066.6,13.4598,False,69.0|69,847
8|474|cc|1|1|276,273.166,9.29992,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|2|1|276,273.175,9.3988,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|3|1|276,272.914,9.28359,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|4|1|276,273.065,9.53761,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|5|1|276,272.673,9.49688,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|6|1|276,272.63,9.26276,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|7|1|276,272.759,9.48439,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|cc|8|1|276,273.224,9.3727,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|sample|10|276,274.713,7.49844,6.9657,50304.6,13.4678,274.437,8.07513,6.97852,50066.6,13.4605,True,32.0|276,474
8|474|sample|11|276,274.799,2.35337,6.9657,50304.6,13.4678,274.433,2.28676,6.97852,50066.6,13.4605,True,22.0|276,474
8|474|sample|12|276,274.558,2.33504,6.9657,50304.6,13.4678,274.432,2.17401,6.97852,50066.6,13.4605,True,22.0|276,474
8|474|sample|3|276,274.089,0.651793,6.9657,50304.6,13.4678,274.426,0.651778,6.97852,50066.6,13.4605,True,55.0|276,474
8|474|sample|4|276,274.374,0.592436,6.9657,50304.6,13.4678,274.426,0.697767,6.97852,50066.6,13.4605,True,55.0|276,474
8|474|sample|5|276,274.427,0.769548,6.9657,50304.6,13.4678,274.425,0.770314,6.97852,50066.6,13.4605,True,55.0|276,474
8|474|sample|6|276,274.49,0.770439,6.9657,50304.6,13.4678,274.425,0.758875,6.97852,50066.6,13.4605,True,55.0|276,474
8|474|sample|7|276,274.562,6.88949,6.9657,50304.6,13.4678,274.433,7.59677,6.97852,50066.6,13.4605,True,32.0|276,474
8|474|sample|8|276,274.282,6.93177,6.9657,50304.6,13.4678,274.433,7.40006,6.97852,50066.6,13.4605,True,32.0|276,474
8|474|sample|9|276,274.768,7.47382,6.9657,50304.6,13.4678,274.437,8.09919,6.97852,50066.6,13.4605,True,32.0|276,474
8|474|vc|1|2|276,272.937,9.10334,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|2|2|276,272.9,9.35639,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|3|2|276,272.95,9.5891,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|4|2|276,272.883,9.51838,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|5|2|276,272.879,9.16111,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|6|2|276,272.94,9.6102,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|7|2|276,272.973,9.63731,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
8|474|vc|8|2|276,273.092,9.5103,6.96569,50304.6,13.4678,272.916,9.39302,6.97851,50066.6,13.4605,False,69.0|276,474
