id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
8|1197|8|1197|sample|8|103|8|103|65.0,0.00730394,0,0,0.00183173,0,0,65.0|103,1197
8|1197|8|1197|sample|6|103|6|103|65.0,-0.0220181,0,0,-0.0329583,0,0,65.0|103,1197
8|1197|8|1197|sample|5|103|5|103|65.0,0.00213177,0,0,-0.00285658,0,0,65.0|103,1197
8|1197|8|1197|sample|12|103|12|103|28.0,-0.0562645,0,0,-0.0499033,0,0,28.0|103,1197
8|1197|8|1197|sample|10|103|10|103|28.0,0.0385467,0,0,0.0328268,0,0,28.0|103,1197
8|1197|8|1197|sample|9|103|9|103|28.0,0.0499264,0,0,0.049528,0,0,28.0|103,1197
8|1197|8|1197|sample|3|103|3|103|22.0,0.0145046,0,0,0.0134588,0,0,22.0|103,1197
8|1197|8|1197|sample|4|103|4|103|22.0,-0.0252354,0,0,-0.0258295,0,0,22.0|103,1197
8|1197|8|1197|sample|11|103|11|103|28.0,-0.0613788,0,0,-0.0703967,0,0,28.0|103,1197
8|1197|8|1197|cc|1|1|103|1|103|69.0,-0.00341316,0,0,-2.05822e-08,0,0,69.0|103,1197
8|1197|8|1197|cc|2|1|103|1|103|69.0,0.00115783,0,0,-8.09456e-09,0,0,69.0|103,1197
8|1197|8|1197|cc|3|1|103|1|103|69.0,0.00280321,0,0,2.15924e-07,0,0,69.0|103,1197
8|1197|8|1197|cc|4|1|103|1|103|69.0,0.00308644,0,0,-1.44719e-07,0,0,69.0|103,1197
8|1197|8|1197|cc|5|1|103|1|103|69.0,-0.000860965,0,0,-3.50453e-08,0,0,69.0|103,1197
8|1197|8|1197|cc|6|1|103|1|103|69.0,-0.00513172,0,0,6.68965e-08,0,0,69.0|103,1197
8|1197|8|1197|cc|7|1|103|1|103|69.0,0.001194,0,0,-2.28829e-07,0,0,69.0|103,1197
8|1197|8|1197|cc|8|1|103|1|103|69.0,-0.00383058,0,0,-2.80739e-08,0,0,69.0|103,1197
8|1197|8|1197|vc|1|2|103|2|103|69.0,-0.00074573,0,0,1.33703e-07,0,0,69.0|103,1197
8|1197|8|1197|vc|2|2|103|2|103|69.0,-0.000807128,0,0,-3.73447e-08,0,0,69.0|103,1197
8|1197|8|1197|vc|3|2|103|2|103|69.0,0.00315808,0,0,-1.89374e-07,0,0,69.0|103,1197
8|1197|8|1197|vc|4|2|103|2|103|69.0,-0.00167761,0,0,6.85321e-09,0,0,69.0|103,1197
8|1197|8|1197|vc|5|2|103|2|103|69.0,-0.00383399,0,0,2.6144e-07,0,0,69.0|103,1197
8|1197|8|1197|vc|6|2|103|2|103|69.0,-1.78662e-05,0,0,2.36129e-07,0,0,69.0|103,1197
8|1197|8|1197|vc|7|2|103|2|103|69.0,-0.00193108,0,0,-2.18057e-08,0,0,69.0|103,1197
8|1197|8|1197|vc|8|2|103|2|103|69.0,0.0110231,0,0,-2.21165e-08,0,0,69.0|103,1197
